English_Sentence,Tamazight_Tifinagh,license,Tamazight_Latin,Tamazight_Arabic
Code Scanner,ⴰⵎⵣⵣⵔⴰⵢ ⵏ ⵉⵏⵉⴳⵍ,CC-BY-SA-4.0,amzzray n inigl,امززراي ن ينيڭل
Scan and create codes,ⴰⵣⵣⵔⴰⵢ ⴷ ⵓⵙⴽⴰⵔ ⵏ ⵉⵏⴰⴳⵍⵉⵡⵏ,CC-BY-SA-4.0,azzray d uskar n inagliwn,اززراي د وسكار ن يناڭليون
Open Source,ⵉⵕⵥⵎ ⵓⵙⴰⴳⵎ,CC-BY-SA-4.0,iṛẓm usagm,يرزّم وساڭم
Contribute on GitHub. AGPLv3+.,ⴰⵡⵙ ⴳ GitHub. AGPLv3+.,CC-BY-SA-4.0,aws g GitHub. AGPLv3+.,اوس ڭ GitHub. AGPLv3+.
Scan code,ⵣⵣⵔⵉ ⵉⵏⵉⴳⵍ,CC-BY-SA-4.0,zzri inigl,ززري ينيڭل
Create code from data,ⵙⴽⵔ ⵉⵏⵉⴳⵍ ⵙⴳ ⵜⵎⵓⵛⴰ,CC-BY-SA-4.0,skr inigl sg tmusha,سكر ينيڭل سڭ تموشا
Scan,ⵣⵣⵔⵉ,CC-BY-SA-4.0,zzri,ززري
History,ⴰⵎⵣⵔⵓⵢ,CC-BY-SA-4.0,amzruy,امزروي
Create,ⵙⴽⵔ,CC-BY-SA-4.0,skr,سكر
Unknown,ⵡⴰⵔ ⵉⵙⵎ,CC-BY-SA-4.0,war ism,وار يسم
Add Contact,ⵔⵏⵓ ⴰⵎⴰⵡⴰⴹ,CC-BY-SA-4.0,rnu amawaḍ,رنو اماواض
Copy,ⵙⵙⵏⵖⵍ,CC-BY-SA-4.0,ssnghl,سسنغل
Send e-mail,ⴰⵣⵏ ⵉⵎⴰⵢⵍ,CC-BY-SA-4.0,azn imayl,ازن يمايل
Open URL,ⵕⵥⵎ URL,CC-BY-SA-4.0,ṛẓm URL,رزّم URL
Home,ⴰⵙⵏⵓⴱⴳ,CC-BY-SA-4.0,asnubg,اسنوبڭ
Mobile,ⵜⵜⵉⵍⵉⴼⵓⵏ,CC-BY-SA-4.0,ttilifun,تتيليفون
Fax,ⴼⴰⴽⵙ,CC-BY-SA-4.0,faks,فاكس
Work,ⵜⴰⵡⵓⵔⵉ,CC-BY-SA-4.0,tawuri,تاووري
Invalid data.,ⵓⵔ ⵎⵙⴰⵙⴰⵏⵜ ⵜⵎⵓⵛⴰ.,CC-BY-SA-4.0,ur msasant tmusha.,ور مساسانت تموشا.
Error!,ⵜⴰⵣⴳⵍⵜ!,CC-BY-SA-4.0,tazglt!,تازڭلت!
Job Title,ⴰⵣⵡⵍ ⵏ ⵜⵡⵓⵔⵉ,CC-BY-SA-4.0,azwl n twuri,ازول ن تووري
Name,ⵉⵙⵎ,CC-BY-SA-4.0,ism,يسم
Phones,ⵉⴷ ⵜⵜⵉⵍⵉⴼⵓⵏ,CC-BY-SA-4.0,id ttilifun,يد تتيليفون
Organization,ⵜⴰⵎⴰⴷⴷⴰⵙⵜ,CC-BY-SA-4.0,tamaddast,تامادداست
Emails,ⵉⵎⴰⵢⵍⵏ,CC-BY-SA-4.0,imayln,يمايلن
Addresses,ⴰⵏⵙⵉⵡⵏ,CC-BY-SA-4.0,ansiwn,انسيون
Websites,ⵉⵙⵉⵜⵏ,CC-BY-SA-4.0,isitn,يسيتن
E-mail,ⵉⵎⴰⵢⵍ,CC-BY-SA-4.0,imayl,يمايل
Contact,ⴰⵎⴰⵡⴰⴹ,CC-BY-SA-4.0,amawaḍ,اماواض
Text,ⴰⴹⵕⵉⵚ,CC-BY-SA-4.0,aḍṛiṣ,اضريص
To,ⵉ,CC-BY-SA-4.0,i,ي
Subject,ⵉⵎⵔⵙⵉⵜⵏ,CC-BY-SA-4.0,imrsitn,يمرسيتن
Contents,ⵉⴽⵜⵜⵓⵔⵏ,CC-BY-SA-4.0,iktturn,يكتتورن
QR Code,ⵉⵏⵉⴳⵍ ⵏ QR,CC-BY-SA-4.0,inigl n QR,ينيڭل ن QR
Camera permission,ⵜⵓⵔⴰⴳⵜ ⵏ ⴽⴰⵎⵉⵔⴰ,CC-BY-SA-4.0,turagt n kamira,توراڭت ن كاميرا
Colour,ⴰⴽⵍⵓ,CC-BY-SA-4.0,aklu,اكلو
Background colour,ⴰⴽⵍⵓ ⵏ ⵓⵡⵔⵏ,CC-BY-SA-4.0,aklu n uwrn,اكلو ن وورن
Scan from image,ⵣⵣⵔⵉ ⵙⴳ ⵜⵡⵍⴰⴼⵜ,CC-BY-SA-4.0,zzri sg twlaft,ززري سڭ تولافت
Flash,ⴰⵙⵉⴷⴷ,CC-BY-SA-4.0,asidd,اسيدد
Edit Content,ⵙⴳⴳⴷ ⴰⴽⵜⵜⵓⵔ,CC-BY-SA-4.0,sggd akttur,سڭڭد اكتتور
Enter contents…,ⵙⵙⵉⴷⴼ ⵉⴽⵜⵜⵓⵔⵏ…,CC-BY-SA-4.0,ssidf iktturn…,سسيدف يكتتورن…
Enter URL…,ⵙⵙⵉⴷⴼ URL…,CC-BY-SA-4.0,ssidf URL…,سسيدف URL…
Generated QR Image,ⵜⴻⵜⵜⴰⵡⵙⴽⴰⵔ ⵜⵡⵍⴰⴼⵜ ⵏ QR,CC-BY-SA-4.0,tettawskar twlaft n QR,ت°تتاوسكار تولافت ن QR
Share,ⴰⵣⵏ,CC-BY-SA-4.0,azn,ازن
Save,ⵃⴹⵓ,CC-BY-SA-4.0,ḥḍu,حضو
Clear all,ⴽⴽⵙ ⵎⴰⵕⵕⴰ,CC-BY-SA-4.0,kks maṛṛa,ككس ماررا
Image saved,ⵜⴻⵜⵜⵓⵃⴹⵓ ⵜⵡⵍⴰⴼⵜ,CC-BY-SA-4.0,tettuḥḍu twlaft,ت°تتوحضو تولافت
Copy password,ⵙⵙⵏⵖ ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ,CC-BY-SA-4.0,ssngh inigl n wadaf,سسنغ ينيڭل ن واداف
Encryption type,ⴰⵏⴰⵡ ⵏ ⵓⵙⵜⵍ,CC-BY-SA-4.0,anaw n ustl,اناو ن وستل
Open,ⴽⵛⵎ,CC-BY-SA-4.0,kshm,كشم
Password (leave blank if open),ⵉⵏⵉⴳⵍ ⵏ ⵡⴰⴷⴰⴼ (ⴰⵊⵊ ⵜ ⵢⵓⵔⴰ ⵎⵛ ⵢⵓⴷⴼ),CC-BY-SA-4.0,inigl n wadaf (ajj t yura msh yudf),ينيڭل ن واداف (اجج ت يورا مش يودف)
Network name/SSID,ⵉⵙⵎ ⵏ ⵓⵥⵟⵟⴰ/SSID,CC-BY-SA-4.0,ism n uẓṭṭa/SSID,يسم ن وزّططا/SSID
Encryption type:,ⴰⵏⴰⵡ ⵏ ⵓⵙⵜⵍ:,CC-BY-SA-4.0,anaw n ustl:,اناو ن وستل:
Open source licenses,ⵜⵓⵔⴰⴳⵉⵏ ⵎⵓ ⵉⵕⵥⵎ ⵓⵙⴰⴳⵎ,CC-BY-SA-4.0,turagin mu iṛẓm usagm,توراڭين مو يرزّم وساڭم
First name,ⵉⵙⵎ,CC-BY-SA-4.0,ism,يسم
Last name,ⵉⵙⵎ ⵏ ⵜⵡⵊⴰ,CC-BY-SA-4.0,ism n twja,يسم ن توجا
Prefix,ⴰⵣⵡⵉⵔ,CC-BY-SA-4.0,azwir,ازوير
Suffix,ⵓⴹⴼⵉⵕ,CC-BY-SA-4.0,uḍfiṛ,وضفير
Company,ⵜⴰⵎⵙⵙⵓⵔⵜ,CC-BY-SA-4.0,tamssurt,تامسسورت
Job,ⵜⴰⵡⵓⵔⵉ,CC-BY-SA-4.0,tawuri,تاووري
Phone number,ⵓⵟⵟⵓⵏ ⵏ ⵜⵜⵉⵍⵉⴼⵓⵏ,CC-BY-SA-4.0,uṭṭun n ttilifun,وططون ن تتيليفون
Street,ⴰⵙⵓⴽ,CC-BY-SA-4.0,asuk,اسوك
ZIP code,ⵉⵏⵉⴳⵍ ⵏ ZIP,CC-BY-SA-4.0,inigl n ZIP,ينيڭل ن ZIP
Region,ⵜⴰⵙⴳⴰ,CC-BY-SA-4.0,tasga,تاسڭا
Country,ⴰⵡⴰⵏⴽ,CC-BY-SA-4.0,awank,اوانك
Additional notes,ⵜⵉⵏⵥⵉⵡⵉⵏ ⵢⴰⴹⵏ,CC-BY-SA-4.0,tinẓiwin yaḍn,تينزّيوين ياضن
SMS,ⵜⴰⴱⵔⴰⵜ,CC-BY-SA-4.0,tabrat,تابرات
