source_string	target_string
ⵉⵙⵙⵓⵟ ⴰⵙ ⴷⵉ ⵜⵎⵊⵊⵜ	نفخ له في الأذن.
ⵉⵙⵙⵓⵟ ⴰⵙ ⵅ ⵜⴳⵔⵎⴰⵎⵜ	نفخ له على بثرة في الجلد.
ⵉⵚⴼⴰ ⵡⵓⵍ ⵏⵏⵙ	صاف قلبه.
ⵉⵚⵃⵃ ⵓⴽⵉⴹⴰⵕ ⵏⵏⵛ	حصانك قوي.
ⵉⵚⵎⵎⵟ ⵡⵓⵍ ⵏⵏⵙ	قلبه بارد.
ⵉⵛⵍ ⵉⵙ	أمضى يومه به.
ⵉⵛⵎⵟ ⵡⵓⵍ ⵏⵏⵙ	احترق قلبه.
ⵉⵛⵏⵉ ⵢⴰⵙ ⵢⵉⵍⵙ	استقام له اللسان.
ⵉⵛⵔⵙ ⵜⴰⵏⵟⵓⵃⵜ	قطّب الجبين.
ⵉⵛⵔⵙ ⵓⴼⵓⵙ ⵏⵏⵙ	يده مربوطة.
ⵉⵛⵕⵕⵓⵥ ⵡⵓⵍ ⵏⵏⵙ	قلبه ضيق.
ⵉⵛⵛⵉⵔⵔⵡ ⵓⴽⵙⵓⵎ ⵉⵏⵓ	اقشعر لحمي.
ⵉⵛⵛⵉⵔⵔⵡ ⵓⵛⴽⴽⵓⴽ ⵉⵏⵓ	وقف شعري.
ⵉⵛⵛⵉⵟⵟⵡ	رفع أذنيه انتباها.
ⵉⵜⴻⵜⵜ ⴷⴳ ⵢⵉⵅⴼ ⵏⵏⵙ	يأكل في نفسه.
ⵉⵜⴻⵜⵜ, ⵉⵙⵙⵜⵜⵛⴰ	يأكل ويؤكّل.
ⵉⵜⴻⵜⵜ ⵜⵉⴷⵉ ⵏ ⵎⵉⴷⴷⵏ	يأكل عرق الناس.
ⵉⵜⴻⵜⵜ ⵜⵉⴷⵉ ⵏⵏⵙ	يأكل عرقه.
ⵉⵜⵇⵍ ⵓⴼⵓⵙ ⵏⵏⵙ	يده ثقيلة.
ⵉⵜⵜⴰⵜⴼ ⴷⴳ ⵡⵓⵍ	يلج القلب.
ⵉⵜⵜⴰⵜⴼ ⵉⵜⵜⴼⴼⵖ ⴷⵉ ⵍⵀⴹⵔⵜ	يدخل ويخرج في الكلام.
ⵉⵜⵜⴰⵜⴼ ⵊⴰⵔ ⴱⵉⵛⵛⵔ ⴷ ⵓⴽⵙⵓⵎ	يدخل بين الظفر واللحم.
ⵉⵜⵜⴰⵡⵢ ⴷ ⵢⵉⵅⴼ ⵏⵏⵙ	يأتي بنفسه.
ⵉⵜⵜⴱⴷⴷⴰ ⵅ ⵢⵉⴷⵊ ⵓⵟⴰⵕ	يقف على رجل واحدة.
ⵉⵜⵜⵖⵥⵥⴰ ⴳ ⵢⵉⵅⴼ ⵏⵏⵙ	يعض في نفسه.
ⵉⵜⵜⵖⵥⵥⴰ ⵖⴰⵔ-ⵉ ⵜⵖⵎⴰⵙ	يعض عندي الأسنان.
ⵉⵜⵜⵇⵇⵍ ⴳ ⵡⵓⴷⵎⴰⵡⵏ	ينظر في الأوجه.
ⵉⵜⵜⵔⵊⵉⵊⵉ ⵡⵓⵍ ⵏⵏⵙ	يرتجف قلبه.
ⵉⵜⵜⵔⵓ ⵜⵏ ⴷ ⵉⴷⴱⴱⵓⵣⵏ	يبكيهم قبضات.
ⵉⵜⵜⵙⴰⵍ ⵅ ⵉⵥⵓⵕⴰⵏ ⵏ ⵜⴰⵢⵓⵜ	يسأل عن جذور الضباب.
ⵉⵜⵜⵛ ⴰⵙ ⴰⵍⵍⵉ	أكل له الدماغ.
ⵉⵜⵜⵛⴰⵜ ⵖⵔ ⵉⵟⵓⴹⴰⵏ	يضرب للأصابع.
ⵉⵜⵜⵛⴰⵜ ⵙ ⵜⵉⵟⵟ	يضرب بالعين.
ⵉⵜⵜⵛⴰⵜ ⵜⵓⵎⵎⵚⵜ ⵏⵏⵙ	يضرب ملء كفه.
ⵉⵜⵜⵛⴰ ⵅⴰⴼ-ⵙ ⵉⵟⵓⴹⴰⵏ ⵏⵏⵙ	أكل عليه أصابعه.
ⵉⵜⵜⵛⴰ ⵢⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ	أكل رأسه.
ⵉⵜⵜⵛⴰ ⵢⴰⵄⵎⵓⴷ	أكل العصا.
ⵉⵜⵜⵛ ⵉⵜⵜ ⵓⴱⵜⵛⵓⵏ ⵏⵏⵙ	حكها فرجها.
ⵉⵜⵜⵛ ⵉⵜⵜ ⵓⵃⵜⵛⵓⵏ ⵏⵏⵙ	حكها فرجها.
ⵉⵜⵜⵛ ⵉ ⵡⴱⵀⵔⵓⵔ ⵏⵏⵙ	حكه قضيبه.
ⵉⵜⵜⵛ ⵉ ⵡⴱⵍⵍⵓⵛ ⵏⵏⵙ	حكه قضيبه.
ⵉⵜⵜⵛ ⵉ ⵡⵇⵍⵍⵓⵛ ⵏⵏⵙ	حكه قضيبه.
ⵉⵜⵜⵛ ⵉ ⵢⵉⵎⵉ ⵏⵏⵙ	أكله فمه.
ⵉⵜⵜⵛ ⵉⵢⵉ ⵡⵣⵔⵖⵓⴼ ⴰ	حكني هذا الشعر.
ⵉⵜⵜⵛⵓⵕ ⴰⵙ ⴰⵣⵍⵍⵉⴼ	ملأ له الرأس.
ⵉⵜⵜⵛⵓⵕ ⵡⵓⵍ ⵏⵏⵙ	قلبه ممتلئ.
ⵉⵜⵜⵓⴷⴷⵓⵎ ⴰⵙ ⴷ ⵍⴽⵔⵀ ⵣⵣⵉ ⵜⵉⵏⵣⴰⵔ	يقطر له الكره من الأنف.
ⵉⵜⵜⵅⵚⵚⴰ ⵢⴰⵙ ⵛⴰ ⵏ ⵓⵛⵔⴷⵓⵄ	ينقصه شيء من خرقة القماش.
ⵉⵜⵜⵅⵚⵚⴰ ⵢⴰⵙ ⵡⴰⵍⵍⵉ	ينقصه العقل.
ⵉⵟⵃⵃⴽ ⵅⴰⴼ-ⵙ	يضحك عليه.
ⵉⵟⵃⵃⴽ ⵣⴳ ⵉⵎⵊⵊⴰⵏ	يضحك من أذنيه.
ⵉⵡⵛ ⴰⵙ ⴰⵡⴰⵍ	أعطاه الكلام.
ⵉⵡⵛ ⴰⵙ ⴷⴷⵎ ⵏⵏⵙ	منحه دمه.
ⵉⵡⵛ ⴰⵙ ⵉⴽⴰⵕⵓⵕⵏ	أعطاه الخصيتان.
ⵉⵡⵛ ⴰⵙ ⵉⵏⴰⴼⵓⵍⵏ	أعطاه الخصيتان.
ⵉⵡⵜⴰ ⴼⵓⵙ ⵏⵏⵙ	ضرب يده.
ⵉⵡⵜⴰ ⵅⴰⴼ-ⵙ	ضرب عليه.
ⵉⵡⵜⴰ ⵢⵣⴰⴷⵊⵏ	ضرب الأوتاد.
ⵉⵡⵜ ⵉ ⵖⵔ ⵥⵓⵕⴱⵊⵊⵉ	ضربه عند خشاء الأذن.
ⵉⵡⵡⵟ ⴷ ⵡⴰⵙⵙ ⵏⵏⵙ	وصل يومه.
ⵉⵡⵡⵟ ⵉ ⵣⵣⵎⴰⵏ	وصله الزمان.
ⵉⵡⵡⵢ ⵉⵜⵜ ⴳ ⵢⵉⵅⴼ ⵏⵏⵙ	يكترث لنفسه.
ⵉⵡⵡⵢ ⵍⵄⵎⵔ ⵏⵏⵙ	أخذ روحه.
ⵉⵡⵡⵢ ⵉ ⵖⵔ ⵢⵉⵔⵉ ⵏⵏⵙ	أخذه على رقبته.
ⵉⵅⴷⴷⵎ ⵉⵟ ⴷ ⵡⴰⵙⵙ	يعمل ليلا ونهارا.
ⵉⵅⴷⴷⵎ ⵅ ⵓⵄⴷⴷⵉⵙ ⵏⵏⵙ	يعمل على بطنه.
ⵉⵅⵕⴰ ⴷⴰⴳ-ⵙ	تغوط فيه.
ⵉⵅⵕⴰ ⵙⵡⴰⴷⴷⴰ ⵢⴰⵙ	تغوط تحته.
ⵉⵅⵙ ⴰⴷ ⵉⵊⵔ ⵅⴰⴼ-ⵉ ⵜⴱⴰⵔⴷⴰ	أراد أن يضع علي البردعة.
ⵉⵅⵡⴰ ⵡⵣⵍⵍⵉⴼ ⵏⵏⵙ	رأسه فارغ.
ⵉⵅⵡⴰ ⵡⴼⵓⵙ ⵏⵏⵙ	يده فارغة.
ⵉⵢⵢⴰ ⴷⴰⴳ-ⵙ ⴼⵓⵙ	وضع فيه اليد.
ⵉⵢⵢⴰ ⴷⴰⴳ-ⵙ ⵉⵎⵉ	وضع فيه الفم.
ⵉⵢⵢⴰ ⴷⴰⴳ-ⵙ ⵏⵏⴼⵙ	وضع فيه النفس.
ⵉⵢⵢ ⴰⵙ ⵜⵜ ⵓⴱⵜⵛⵓⵏ ⵏⵏⵙ	فعلها لها فرجها.
ⵉⵢⵢ ⴰⵙ ⵜ ⵓⵇⵍⵍⴰⵍ ⵏⵏⵙ	فعلها له قضيبه.
ⵉⵢⵢ ⴰⵙ ⵜ ⵓⵟⴰⵕ ⵏⵏⵙ	فعلها له رجله.
ⵉⵢⵢ ⴰⵙ ⵜ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	فعلها له رأسه.
ⵉⵢⵢ ⴰⵙ ⵜ ⵡⵓⵍ ⵏⵏⵙ	فعلها له قلبه.
ⵉⵢⵢ ⴰⵙ ⵜ ⵉⵎⵉ ⵏⵏⵙ	فعلها له فمه.
ⵉⵢⵢ ⴰⵙ ⵟⴰⴹ ⴷⵉ ⵜⵉⵟⵟ	وضع له الأصبع في العين.
ⵉⵢⵢⴰ ⵙ ⵡⴰⵡⴰⵍ ⵏⵏⵙ	عمل بكلامه.
ⵉⵢⵢⴰ ⵟⴰⵕ ⵅ ⵓⵟⴰⵕ	وضع رجلا على رجل.
ⵉⵢⵢⴰ ⵅⵎⵙⴰ ⵅ ⵢⵉⵎⵉ	وضع خمسة (أصابع) على الفم.
ⵉⵢⵢⴰ ⵢⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ	عمل رأسه.
ⵉⵢⵢⴰ ⵢⵖⵕⵓⵟⵏ	ربى الأكتاف.
ⵉⵢⵢⴰ ⵢⵟⴰⵕⵏ ⴷⴳ ⵡⴰⵍⵓⴹ	وضع الرجلين في الوحل.
ⵉⵢⵢ ⵉⵜⵜ ⵙ ⵜⵉⴷⵉ ⵏⵏⵙ	عملها بعرقه.
ⵉⵢⵢ ⵉⵜⵜ ⵙ ⵓⴼⵓⵙ ⵏⵏⵙ	فعلها بيده.
ⵉⵢⵢ ⵉⵜⵜ ⵣⴳ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	قام بها من رأسه.
ⵉⵣⴳⵔⵜ ⵢⵉⵍⵙ ⵏⵏⵙ	لسانه طويل.
ⵉⵣⵡⴰ ⵢⵉⵎⵉ ⵏⵏⵙ	فمه جاف.
ⵉⵣⵣⵔⵢ ⵡⵓⵙⵙⴰⵏ ⵏⵏⵙ	أمضى أيامه.
ⵊⵉⵏ ⴰⵡⴰⵍ	قاموا بالكلام.
ⴽⵙⵉⵏ ⵉⵢⵉ ⵢⵛⵉⵔⵔⵉⵡⵏ	انتابتني قشعريرة.
ⴽⵙⵉⵏ ⵜ ⵡⴰⵎⴰⵏ	حملته المياه.
ⴽⵙⵉ ⵟⴰⵕ ⵏⵏⵛ	احمل رجلك.
ⵍⵄⵎⵔ ⵏ ⵢⵉⵟⴰⵏ	عمر الكلاب.
ⵎⴰⵏⵉ ⵜⵢⵉⵜ ⴰⵣⵍⵍⵉⴼ ⵏⵏⵛ ?	أين وضعت رأسك؟
ⵎⴰ ⵜⵓⵜⴼⵜ ⵉⵢⵉ ⴷⴳ ⵓⵣⵍⵍⵉⴼ ?	أدخلت في رأسي؟
ⵎⴰ ⵡⵔ ⵉⵙⵙⵉⵡⵍ ⵙⵏⵏⵊ ⴰⴷ ⵉⵙⵙⵉⵡⵍ ⵙⵡⴰⴷⴷⴰ	إذا لم ينطق من أعلى سينطق من أسفل.
ⵎⴰ ⵡⵔ ⵉⵙⵙⵉⵡⵍ ⵣⴳ ⵢⵉⵎⵉ ⴰⴷ ⵉⵙⵙⵉⵡⵍ ⵣⵣⵉ ⵜⵅⵏⴰ	إذا لم ينطق من الفم سينطق من المؤخرة.
ⵎⴰⵢⵏ ⵜⵜⵏⵇⵔⴰⵟⵜ ⴷⴳ ⵢⵉⵟⴰⵕⵏ ⵏⵏⵛ ?	لم تتعثر في رجليك؟
ⵎⵎⵓⵜⵏ ⵉⴼⴰⴷⴷⵏ ⵏⵏⵙ	ماتت ركبتاه.
ⵎⵄⵏ ⴷⴰⴳ-ⵙ	امسك فيه.
ⵎⵄⵏ ⴼⵓⵙ ⵏⵏⵛ	امسك يدك.
ⵎⵄⵏ ⵉⵍⵙ ⵏⵏⵛ	امسك لسانك.
ⵎⵄⵏ ⵉⵎⵉ ⵏⵏⵛ	امسك فمك.
ⵎⵄⵏ ⵉⵅⴼ ⵏⵏⵛ	تمالك نفسك.
ⵎⵄⵏ ⵟⴰⵕ ⵏⵏⵛ	امسك رجلك.
ⵏⵖⵉⵏⵜ ⵢⵉⵅⵙⴰⵏ ⵏⵏⵙ	آلمته عظامه.
ⵏⵛⴰ ⵢⴷⵀⵏ ⵙ ⵜⴰⵎⴻⵎⵜ	ولو دُهن بالعسل.
ⵏⵟⵡⵏⵜ ⴷ ⵜⵉⵟⵟⴰⵡ ⵏⵏⵙ	طفرت عيناه.
ⵇⴱⵃⵏⵜ ⵜⵉⵟⵟⴰⵡ ⵏⵏⵙ	عيناه بشعتان.
ⵇⵇⵏ ⵉⵎⵉ ⵏⵏⵛ	أغلق فمك.
ⵔⵔⵉⵖ ⴷ ⴰⴷⴰⵏ ⵉⵏⵓ	استفرغت أمعائي.
ⵔⵔ ⵍⴱⴰⵍ ⵏⵏⵛ	رد بالك.
ⵕⵥⵎ ⵜⵉⵎⵊⵊⵉⵏ ⵏⵏⵛ	افتح أذنيك.
ⵕⵥⵎ ⵜⵉⵟⵟⴰⵡ ⵏⵏⵛ	افتح عينيك.
ⵙⵔⵙ ⵜⵉⵟⵟ ⵏⵏⵛ ⵅⴰⴼ-ⵙ	ضع عينك عليه.
ⵙⵙⵏⵟⵡⵖ ⵜⵜ ⵣⵣⴰⴳ-ⵙ	طفرتها منه.
ⵙⵡⴰⴷⴷⴰ ⵏ ⵓⴼⵓⵙ ⵉⵏⵓ	تحت يدي.
ⵚⵕⵕⵎ ⵉⵎⵉ ⵏⵏⵛ	ارسن فمك.
ⵛⴷⴷ ⵉⵎⴰⵏ ⵏⵏⵛ	أمسك نفسك.
ⵛⵕⵃ ⵜⴰⵇⵎⵎⵓⵎⵜ ⵏⵏⵛ	ابسط شفتك.
ⵜⴰⵛⵎⵎⵓⵙⵜ ⵏ ⵍⴽⵔⵀ	صرة الكره.
ⵜⴰⵛⵎⵎⵓⵙⵜ ⵏ ⵍⵄⴳⵣ	صرة الكسل.
ⵜⴻⵜⵜⵛ ⵉⵛ ⵜⵅⵏⴰ ⵏⵏⵛ	حكتك مؤخرتك.
ⵜⵖⵟⵍⵜ ⵣⵣⴰⴳ-ⵉ ⵢⴰⵣⴳⵏ	أسقطت مني النصف.
ⵜⵃⵎⴰ	ساخنة.
ⵜⵉⵖⵎⴰⵙ ⵓⵖⵉ	أسنان الحليب.
ⵜⵉⵙⵏⵜ ⵏ ⵓⴼⵓⵙ	ملح اليد.
ⵜⴽⴽⴰ ⵅⴰⴼ-ⵙ	مرت عليه.
ⵜⵍⵍⴰ ⴷⴰⴳ-ⵙ ⵜⵎⴰⵍⵍⴰⵍⵜ	توجد فيه البيضة.
ⵜⵍⵍⴰ ⴳ ⵢⵉⵔⵉ ⵏⵏⵙ	توجد في رقبته.
ⵜⵍⵍⴰ ⵙ ⴷⴷⵉⵙⵜ	إنها بالبطن.
ⵜⵍⵍⴰ ⵜⵜⵏⵏⵟ ⴰⵙ	إنها تحوم حوله.
ⵜⵎⵇⵇⵔ ⴷⴰⴳ-ⵉ	كبرت فيّ.
ⵜⵏⵏⴱⵕⵎ ⵅⴰⴼ-ⵙ ⵜⴱⴰⵔⴷⴰ	انقلبت عليه البردعة.
ⵜⵏⵟⵟⵡ ⵖⵔ ⵢⵉⵜⵔⴰⵏ	تطير عند النجوم.
ⵜⵏⵟⵡ ⴰⵙ	طارت له.
ⵜⵇⵍⵏⵜ ⵜⵎⵊⵊⵉⵏ ⵏⵏⵙ	أذناه ثقيلتان.
ⵜⵇⵇⵉⵎ ⴰⵙ ⴷⴳ ⵓⵣⵍⵍⵉⴼ	بقيت له في الرأس.
ⵜⵇⵇⵉⵎ ⴷⴰⴳ-ⵉ	بقيت في.
ⵜⵇⵇⵉⵎ ⵜⵜⴻⵜⵜ ⴷⴰⴳ-ⵙ	ظلت تأكل فيه.
ⵜⵙⵓⵍ ⵊⴰⵔ ⵜⵉⵟⵟⴰⵡⵉⵏ ⵉⵏⵓ	لا زالت بين عيني.
ⵜⵛⵎⵎⵜ ⵉ ⵢⵖⵕⴹⴰⵏ ⵏⵏⵛ	شممت لأكتافك.
ⵜⵛⵔⵔⴳ ⴰⵛ	مزقت لك.
ⵜⵛⵔⵔⴳ ⵜⵄⴷⴷⵉⵙⵜ ⵉⵏⵓ	شُق بطني.
ⵜⵜⵛⵉⵏ ⵜ ⵢⵉⵅⵙⴰⵏ ⵏⵏⵙ	أكلته عظامه.
ⵜⵜⵡⴰⴷⴳⴷⴳⵏ ⵢⵉⵅⵙⴰⵏ ⵏⵏⵙ	طحنت عظامه.
ⵜⵓⵕⵡ ⴰⵙ ⵜⵊⵟⵉⵟⵜ ⴷⴳ ⵢⵉⵎⵉ	أباضت له العصفورة في فمه.
ⵜⵓⵜⴼ ⴷⴳ ⵓⵣⵍⵍⵉⴼ ⵏⵏⵙ	دخلت في رأسه.
ⵜⵓⵜⴼ ⵓⵍ ⵏⵏⵙ	ولجت قلبه.
ⵜⵓⵟⴰ ⵢⴰⵙ ⴷ ⴷⴳ ⵓⵣⵍⵍⵉⴼ	طاحت له في الرأس.
ⵜⵡⵔⵔⵖⵜ	اصفريت.
ⵜⵡⵡⴰ ⴷⴰⴳ-ⵙ ⵜⵎⵍⵍⴰⵍⵜ	نضجت فيه البيضة.
ⵜⵡⵡⵟ ⴰⵙ ⵉⵖⵙ	وصلت له العظم.
ⵜⵣⵔⵄ ⴷ ⴰⵡⴰⵍ	زرعت الكلام.
ⵓⴷⵎ ⵏ ⵓⵀⵔⴽⵓⵙ	وجه الحذاء.
ⵓⵃⵍⵏ ⴰⵙ ⵉⴼⴰⴷⴷⵏ	تعبت له الركب.
ⵓⵍⵢⵏ ⴰⵙ ⴷ ⵡⴰⵎⴰⵏ ⵅ ⵜⵉⵟⵟⴰⵡ	صعد له المني على العينين.
ⵓⵔ ⵖⴰⵔ-ⵙ ⵓⴷⵎ	ليس لديه وجه.
ⵓⵔ ⵖⴰⵔ-ⵙ ⵢⵓⴼⵉ	لم يجد عنده.
ⵓⵔ ⵉⵍⵍⵉ ⵅ ⵍⴱⴰⵍ ⵏⵏⵙ	ليس على باله.
ⵓⵔ ⵉⵙⵙⵉⵏ ⴰⵣⵍⵍⵉⴼ ⵣⴳ ⵢⵉⵟⴰⵕⵏ	لا يعرف الرأس من الرجلين.
ⵓⵔ ⵉⵜⵜⵔⵔⵉ ⵢⵉⵍⵙ ⵏⵏⵙ ⵖⵔ ⵢⵉⵎⵉ	لا يرجع لسانه إلى فمه.
ⵓⵔ ⵉⵢⵢⵉ ⵙ ⵓⴼⵓⵙ ⵡⴰⵍⴰ ⵙ ⵓⵟⴰⵕ	لم يفعل باليد ولا بالرجل.
ⵓⵔ ⵜ ⵜⵜⴽⴽⵙ ⵉ ⵡⵇⵣⵉⵏ	لن تزيله للكلب.
ⵓⵔ ⵅⴰⴼ-ⵙ ⵜⵉⵙⵏⵜ	ليس عليه ملح.
ⵓⵙⵙⴰⵏ ⵏⵟⵟⵡⵏ	الأيام تطير.
ⵓⵟⴰⵏ ⴷ ⵉⴼⴰⴷⴷⵏ ⵉⵏⵓ	انهارت ركبتاي.
ⵡⴰⵅⵅⴰ  ⵢⵎⵎⵉⵔⴰⵡ  ⵓⵊⵏⵏⴰ  ⴰⴽⴷ  ⵜⵎⵓⵔⵜ	حتى لو التقت السماء مع الأرض.
ⵡⵛ ⵉⵢⵉ ⵢⵎⵊⵊⴰⵏ ⵏⵏⵛ	أعطني أذنيك.
ⵡⵜⵉⵏ ⵜ ⵜⵉⵟⵟⴰⵡ	ضربته الأعين.
ⵢⵉⵏ ⴼⵓⵙ ⴷⴳ ⵓⴼⵓⵙ	وضعوا اليد في اليد.
ⵢⵉⵏⵏⵢ ⵉⵜⵔⴰⵏ ⴷⴳ ⵡⴰⵙⵙ	رأى النجوم في النهار.
ⵢⵓⴷⵔ ⵣⵣⴰⴳ-ⵙ	طأطأ منه.
ⵢⵓⴼⴰ ⴱⴰⴱⴰ-ⵙ	وجد أباه.
ⵢⵓⴼⴰ ⵢⵉⵅⴼ ⵏⵏⵙ	وجد نفسه.
ⵢⵓⵍⵢ ⴰⵙ ⴷⴷⵎ	طلع له الدم.
ⵢⵓⵍⵢ ⴰⵙ ⴷⴳ ⵓⵣⵍⵍⵉⴼ	طلع له في الرأس.
ⵢⵓⵍⵢ ⴰⵙ ⵍⴳⴰⵣ	طلع له الغاز.
ⵢⵓⵍⵢ ⴰⵙ ⵣⵣⵄⴰⴼ	طلع له الغضب.
ⵢⵓⵍⵢ ⵓⵣⵉⵔ	صعد إكليل الجبل.
ⵢⵓⵙ ⵉⵢⵉ ⴷ ⵊⴰⵔ ⵜⵉⵟⵟⴰⵡⵉⵏ	جاءني بين عيناي.
ⵢⵓⵙⵏ ⵅ ⵓⵏⴼⵓⴼ	جاء على شفته.
ⵢⵓⵜⴼ ⴷⴳ ⵉⵥⵓⵕⴰⵏ ⵏⵏⵙ	ولج في عروقه.
ⵢⵓⵜⴼ ⴷⵉ ⴷⴷⵎ ⵏⵏⵙ	دخل في دمه.
ⵢⵓⵜⴼ ⴷⵉ ⵜⵎⵓⵔⵜ	دخل في الأرض.
ⵢⵓⵜⴼ ⵉⵜⵜ ⵙ ⵢⵉⵎⵉ	دخلها بالفم.
ⵢⵓⵟⴰ ⴷⴰⴳ-ⵙ	هوى فيها.
ⵢⵓⵟⴰ ⵅ ⵓⵏⴼⵓⴼ	وقع على الشفة.
ⵢⵓⵟⴰ ⵣⵣⵉ ⵜⵉⵟⵟ ⵉⵏⵓ	سقط من عيني.
ⵢⵓⵢⵍ ⵊⴰⵔ ⵓⵊⵏⵏⴰ ⴷ ⵜⵎⵓⵔⵜ	علّق بين السماء والأرض.
ⵢⵢ ⴼⵓⵙ ⵏⵏⵛ	ضع يدك.
ⵢⵢ ⵟⴰⴹ	ضع الأصبع.
ⵣⴳⵔⵜⵏ ⵉⵟⴰⵕⵏ ⵏⵏⵙ	رجلاه طويلتان.
ⵣⵔⵢⵏⵜ ⵅⴰⴼ-ⵙ	مررن عليه.
ⵄⴷⵍ ⴰⵡⴰⵍ ⵏⵏⵛ	أتقن كلامك.
ⵄⵇⵍ ⵅⴰⴼ-ⵙ	تذكرها.
