Tamazight,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⴰⴱⵔⵔⵣ ⵏ ⵢⵉⵅⵔⴼⵉⵢⵏ ⵖⵉⵔ ⵣⵣⵉ ⵜⵕⵥⵥⵉⵜ ⵏ ⵡⴰⵛⵛⴰⵡⵏ,تناطح الأكباش يؤدي إلى كسر قرونها.,abrrz n yikhrfiyn ghir zzi tṛẓẓit n washshawn,ابررز ن ييخرفيين غير ززي ترزّزّيت ن واششاون,The rams' butting leads to the breaking of their horns.
"ⴰⴷ ⴰⵏⵖ ⵢⵢ ⵕⴱⴱⵉ ⵍⴼⵍⵓⵙ ⴷⵉ ⵊⵊⵉⴱ, ⵉⵍⵉⴷ ⴷⴳ ⵡⵓⵍ",يا رب اجعل  النقود في جيوبنا لا في قلوبنا.,"ad angh yy ṛbbi lflus di jjib, ilid dg wul","اد انغ يي رببي لفلوس دي ججيب, يليد دڭ وول","O Lord, make money in our pockets, not in our hearts."
ⴰⴷⴼⵍ ⵓⵔ ⴷⴰⴳ-ⵙ ⵉⵍⵍⵉ ⵡⵣⵇⵇⴰⵍ,الثلج لا يوجد فيه الدافئ.,adfl ur dag-s illi wzqqal,ادفل ور داڭ-س يللي وزققال,Snow does not have warmth.
"ⴰⴷ ⵎⵍⵛⵖ ⵉ ⵄⵛⵔⴰ, ⵡⴰⵍⴰ ⵎⵍⵛⵖ ⵉ ⵄⵉⵛⴰ",سأزوج عشرة ولا زوجت عائشة.,"ad mlshgh i 3shra, wala mlshgh i 3isha","اد ملشغ ي عشرا, والا ملشغ ي عيشا","""I would marry ten (women) and not marry Aisha."""
ⴰⴷ ⵜⵔⵓ ⵢⵎⵎⴰ-ⵙ ⵢⵉⴼ ⵎⴰ ⵢⴰⴷ ⵜⵔⵓ ⵢⵎⵎⴰ,تبكي أمه أفضل من أن تبكي أمي.,ad tru ymma-s yif ma yad tru ymma,اد ترو يمما-س ييف ما ياد ترو يمما,"""Better his mother cries than my mother."""
ⴰⵖⵉⵎⵉ ⵡⵔ ⵉⵍⵍⵉ ⵖⵔ ⵜⵣⵉⵣⵡⴰ,لا جلوس عند النحل.,aghimi wr illi ghr tzizwa,اغيمي ور يللي غر تزيزوا,No sitting near the bees.
ⴰⵖⵉⵎⵉ ⵢⵙⵙⵖⴰⵔⴰ ⵢⵉⵎⵉ,الجلوس (عاطل عن العمل) يجفف الفم.,aghimi yssghara yimi,اغيمي يسسغارا ييمي,"""Being idle (unemployed) dries the mouth."""
"ⴰⵖⵕⵓⵎ ⵉⵏⵓ ⴷⴳ ⵓⵄⴷⵉⵍ ⵉⵏⵓ, ⵓⵔ ⵉⵙⵍⵍ ⵃⴷⴷ ⵉ ⵢⵖⵓⵢⵢⴰⵏ ⵉⵏⵓ",خبزي في مزودي لم يسمع أحد لصرخاتي.,"aghṛum inu dg u3dil inu, ur isll ḥdd i yghuyyan inu","اغروم ينو دڭ وعديل ينو, ور يسلل حدد ي يغوييان ينو","""My bread is in my basket, yet no one heard my cries."""
"ⴰⵖⵓⴷⵉ ⵅ ⵓⵍⵉⵍⵉ, ⵏⵜⵜⴰ ⴷ ⴰⵎⵃⵃⵉⵕⵕⵓ",الجمال على نبات الدفلى لكنه مر.,"aghudi kh ulili, ntta d amḥḥiṛṛu","اغودي خ وليلي, نتتا د امححيررو","""Beauty is on the oleander plant, but it is bitter."""
"ⴰⵖⵢⵓⵍ ⵉⵏⵓ ⴷⴰ, ⵜⵉⵙⵛⵔⵙⵜ ⵏⵏⵙ ⴷⵉ ⴼⴰⵙ",حماري هنا، لكن مربطه في فاس.,"aghyul inu da, tisshrst nns di fas","اغيول ينو دا, تيسشرست ننس دي فاس","""My donkey is here, but its tether is in Fez."""
"ⴰⵃⵃ ⴷⴳ ⵡⵓⵍ, ⴰⵎⵎⴰ ⴼⵓⴷ ⵉⵍⵍⴰ ⵢⴳⴳⵓⵔ",الأسى في القلب أما الركبة فتسير.,"aḥḥ dg wul, amma fud illa yggur","احح دڭ وول, امما فود يللا يڭڭور","Sorrow is in the heart, but the knee keeps moving."
ⴰⵊⵟⵉⵟ ⴷⴳ ⴼⵓⵙ ⵢⵉⴼ ⵣⵣⵉ ⵄⵛⵔⴰ ⴷⵉ ⵜⵛⵊⵓⵔⵜ,عصفور في اليد أفضل من عشرة في الشجرة.,ajṭiṭ dg fus yif zzi 3shra di tshjurt,اجطيط دڭ فوس ييف ززي عشرا دي تشجورت,A bird in the hand is better than ten in the tree.
"ⴰⴽⵙⵓⵎ ⵉⵎⵛ ⵉⵄⵟⵍ, ⵉⵜⵜⴳⴳ ⵔⵔⵉⵃⵜ",اللحم عندما يتأخر (يحتفظ به) يترك رائحة كريهة.,"aksum imsh i3ṭl, ittgg rriḥt","اكسوم يمش يعطل, يتتڭڭ رريحت","Meat, when left for too long (stored), develops a bad smell."
"ⴰⴽⵛⵛⵓⵟ ⵏ ⵖⴰ ⵜⵃⵇⵔⵜ, ⴰⴷ ⵜ ⵛ ⵉⵙⵙⴷⵔⵖⵍ",العود الذي ستحتقره، سيعميك.,"akshshuṭ n gha tḥqrt, ad t sh issdrghl","اكششوط ن غا تحقرت, اد ت ش يسسدرغل",The stick you disdain will blind you.
ⴰⵍⵖⵎ ⴰⵎⵍⵍⴰⵍ ⵉⵍⵉⴷ ⵇⴰⵄ ⴷ ⵜⴰⴷⵓⵏⵜ,الجمل الأبيض ليس كله دهن (شحم).,alghm amllal ilid qa3 d tadunt,الغم امللال يليد قاع د تادونت,The white camel is not all fat (grease).
ⴰⵍⵖⵎ ⵉⵜⵜⵇⵇⵍ ⵖⵉⵔ ⵜⴰⵄⵔⵓⵔⵜ ⵏ ⵓⵎⴰ-ⵙ,الجمل لا يرى سوى سنام أخيه.,alghm ittqql ghir ta3rurt n uma-s,الغم يتتققل غير تاعرورت ن وما-س,The camel sees only the hump of its brother.
ⴰⵍ ⵜⴰⵕⵡ ⵜⵎⵓⵛⵛⵡⵜ ⴰ ⵖⴰ ⵜⴰⵄⵄⵔ,حتى تنجب القطة تصبح شرسة.,al taṛw tmushshwt a gha ta33r,ال تارو تموششوت ا غا تاععر,"Until the cat gives birth, it becomes fierce."
ⴰⵎⴰⵏ ⵜⵜⴽⴽⵙⵏ ⵊⴷⴰⵎ,الماء يزيل مرض الجذام.,aman ttkksn jdam,امان تتككسن جدام,Water cures leprosy.
"ⴰⵎ ⵃⵎⵎⵓ, ⴰⵎ ⵜⴰⵎⵎⵓ",مثل حمو مثل تمو.,"am ḥmmu, am tammu","ام حممو, ام تاممو","""Like Hamo, like Tamo."" 

(Note: This phrase appears to be a colloquial expression or proverb. Its exact meaning may depend on cultural or regional context.)"
"ⴰⵎ ⵉⵎⵏⴷⵉ, ⴰⵏⵉ ⵜ ⵎⵎⴰ ⵜⵉⵔⵉⵜ ⵜ ⴰⴷ ⵉⵖⵎⵢ",كالشعير أينما رميته سينبت.,"am imndi, ani t mma tirit t ad ighmy","ام يمندي, اني ت مما تيريت ت اد يغمي","""Like barley, wherever you throw it, it will grow."""
"ⴰⵎⴽⵙⴰ ⵢⴰⵙ ⴰⴷ ⵉⵇⵇⵉⵎ ⴼⴰⵔⵖ ⵛⵛⵖⵍ, ⵉⵇⵟⵟⵡ ⵜⵉⵙⵉⵍⴰ ⵏⵏⵙ",الراعي عندما يبقى بدون عمل يمزق نعاله.,"amksa yas ad iqqim fargh shshghl, iqṭṭw tisila nns","امكسا ياس اد يققيم فارغ ششغل, يقططو تيسيلا ننس","""The shepherd, when left without work, tears his sandals."""
"ⴰⵎ ⵏⵏ ⵎⵎⴰ ⵜⵉⵏⵏⵢⵜ ⴰⵔⴳⴰⵣ, ⵉⵙⵉⵏ ⴷ ⵜⴰⵎⵟⵟⵓⵟⵜ",كيفما رأيت الرجل فاعلم بأنها المرأة.,"am nn mma tinnyt argaz, isin d tamṭṭuṭt","ام نن مما تيننيت ارڭاز, يسين د تامططوطت","However you see the man, know that it is the woman."
ⴰⵎⵏⵙⵉ ⵢⴰⵡⵃⴷⵉ ⵢⵜⵜⵏⴻⵏⵏⴰ ⵖⵔ ⵍⵄⴰⵚⵔ,العشاء الجيد يطبخ عصرا.,amnsi yawḥdi yttnenna ghr l3aṣr,امنسي ياوحدي يتتن°ننا غر لعاصر,A good dinner is cooked in the afternoon.
ⴰⵎⵇⵇⵔⴰⵏ ⵏⵏⵙⵏ ⴷ ⴰⴼⵖⵓⵍ ⵏⵏⵙⵏ,كبيرهم أحمقهم.,amqqran nnsn d afghul nnsn,امققران ننسن د افغول ننسن,Their leader is their most foolish.
ⴰⵎⵇⵇⵔⴰⵏ ⵏ ⵓⵄⴷⴷⵉⵙ ⵉⵜⴻⵜⵜ ⵉⵜⵜ ⵇⴰⵄ ⵏⵖ ⵉⵜⵜⴷⵊⴰ ⵜⵜ ⵇⴰⵄ,كبير البطن إما يأكلها كلها أو يتركها كلها.,amqqran n u3ddis itett itt qa3 ngh ittdja tt qa3,امققران ن وعدديس يت°تت يتت قاع نغ يتتدجا تت قاع,A big-bellied person either eats it all or leaves it all.
ⴰⵎⵔⵡⴰⵙ ⵉⵜⵜⴱⴷⴷⴰ ⴷⵉ ⵜⵡⵡⵓⵔⵜ  ⵏ ⵔⵔⵣⵇ,الدين يقف في باب الرزق.,amrwas ittbdda di twwurt  n rrzq,امرواس يتتبددا دي تووورت  ن ررزق,Religion stands at the door of sustenance.
"ⴰⵎⵛⵍⵉ ⵏ ⵡⴰⵣⵜⵛⴰ, ⵉⵜⵜⵏⴻⵏⵏⴰ ⵅ ⵢⵉⵟ",غداء الغد يطبخ ليلا.,"amshli n waztsha, ittnenna kh yiṭ","امشلي ن وازتشا, يتتن°ننا خ ييط",Tomorrow's lunch is being cooked at night.
ⴰⵎ ⵜⴰⵎⴻⵎⵜ ⵏ ⵓⵣⵉⵔ ⵣⵎⴰⵏ,كعسل نبات إكليل الجبل سابقا.,am tamemt n uzir zman,ام تام°مت ن وزير زمان,"""Like the honey of the rosemary plant previously."""
ⴰⵎ ⵜⵃⵔⵉⵔⵜ ⵅ ⵓⴼⵔⴰⴳ,كالحساء على السياج.,am tḥrirt kh ufrag,ام تحريرت خ وفراڭ,"""Like soup on a fence."""
ⴰⵎ ⵜⵉⵊⵏⴰⵡ ⴱⵍⴰ ⵢⴰⴷⵊⴰⵊⵏ,كالعواصف بدون رعود.,am tijnaw bla yadjajn,ام تيجناو بلا يادجاجن,Like storms without thunder.
ⴰⵎ ⵜⵔⵉⵛⵜ ⵅ ⵓⵄⴱⴱⵓⵣ,كالسرج على العجل.,am trisht kh u3bbuz,ام تريشت خ وعببوز,"""Like a saddle on a wheel."""
ⴰⵎ ⵜⵣⵉⵣⵡⴰ ⵜⴰ ⵜⵜⵍⵍⵖ ⵜⴰ,كالنحل واحدة تلعق الأخرى.,am tzizwa ta ttllgh ta,ام تزيزوا تا تتللغ تا,"""Like bees, one licks the other."""
ⴰⵎ ⵓⴱⵍⴱⵓⵍ ⵓⵎⵓⵛⵛ,ككسكس (بلبولة) القط.,am ublbul umushsh,ام وبلبول وموشش,"It seems the sentence contains unclear or repeated characters (""ككسكس"") that might not form a standard word or phrase in Arabic. However, the part ""(بلبولة) القط"" translates to ""(Balbula) the cat."" If you'd like, could you clarify or provide more context?"
ⴰⵎ ⵓⵖⵎⵎⵓⵢ ⵅ ⵢⵉⵎⵉ ⵏ ⵜⵔⴳⴰ,كالنبات على جانب الساقية.,am ughmmuy kh yimi n trga,ام وغمموي خ ييمي ن ترڭا,"""Like the plant by the side of the stream."""
ⴰⵎ ⵓⵇⵣⵉⵏ ⴷⴳ ⴱⵔⵔⵓ,كالكلب في سرب الجراد.,am uqzin dg brru,ام وقزين دڭ بررو,"""Like a dog among a swarm of locusts."""
ⴰⵎ ⵓⵟⵉⵍ ⴷⴳ ⵙⴰⵛⵓ,كالعنب في وعاء من الصوف.,am uṭil dg sashu,ام وطيل دڭ ساشو,"""Like grapes in a bowl of wool."""
ⴰⵎ ⵓⵢⵓⵔ ⵏ ⵍⵄⵉⴷ,كهلال العيد.,am uyur n l3id,ام ويور ن لعيد,Like the crescent of Eid.
ⴰⵎ ⵡⴰⵎⴰⵏ ⵅ ⵢⵉⵥⵕⴰ,كالماء على الصخور.,am waman kh yiẓṛa,ام وامان خ ييزّرا,Like water on rocks.
ⴰⵎ ⵡⴰⵕⴰ ⵏ ⵜⴰⵛⵏⵉⵡⵉⵏ,كأبناء الضرات.,am waṛa n tashniwin,ام وارا ن تاشنيوين,"""Like the children of co-wives."""
ⴰⵎ ⵡⵏⵏ ⵉⴼⴼⴰⵍⵏ ⴰⵥⵟⵟⴰ,كالذي يعد المنسج.,am wnn iffaln aẓṭṭa,ام ونن يففالن ازّططا,"""Like someone who prepares the loom."""
ⴰⵎ ⵡⵏⵏ ⵉⵍⵇⵇⵟⵏ ⴰⵎⴰⵏ ⵙ ⵓⵥⵉⵡ,كالذي يجمع الماء بليف الحلفاء.,am wnn ilqqṭn aman s uẓiw,ام ونن يلققطن امان س وزّيو,"""Like someone trying to collect water with a straw basket."""
ⴰⵎ ⵡⵏⵏ ⵉⵇⵇⵉⵎⵏ ⵅ ⵉⵙⵏⵏⴰⵏⵏ,كالذي يجلس على الشوك.,am wnn iqqimn kh isnnann,ام ونن يققيمن خ يسننانن,"""Like someone sitting on thorns."""
ⴰⵎ ⵡⵏⵏ ⵉⵔⵣⵣⵓⵏ ⵅ ⵜⵅⵉⵢⵢⴰⵟⵜ ⴷⴳ ⵍⵓⵎ,كالذي يبحث عن الإبرة في التبن.,am wnn irzzun kh tkhiyyaṭt dg lum,ام ونن يرززون خ تخييياطت دڭ لوم,"""Like someone searching for a needle in a haystack."""
ⴰⵎ ⵡⵏⵏ ⵉⵙⵙⵉⵃⵎⴰⵏ ⴰⵎⴰⵏ ⵙ ⵓⵥⵉⵡ,كالذي يسخن الماء بليف الحلفاء.,am wnn issiḥman aman s uẓiw,ام ونن يسسيحمان امان س وزّيو,"""Like someone trying to heat water with esparto grass fibers.""  
(An Arabic proverb implying futile or ineffective effort.)"
ⴰⵎ ⵡⵏⵏ ⵉⵛⵟⵟⵃⵏ ⵉ ⵡⴷⵔⵖⴰⵍ,كالذي يرقص للأعمى.,am wnn ishṭṭḥn i wdrghal,ام ونن يشططحن ي ودرغال,"""Like someone dancing for a blind person."""
ⴰⵎ ⵡⵏⵏ ⵉⵜⵜⴼⴼⵥⵏ ⴰⵙⵍⵖⴰⵖ ⵏ ⵓⵇⵉⵕⵕⵊ,"كالذي يمضغ علكة "" قرج"" (نبات غابوي له جذور بيضاء يشبه الجزرة الصغيرة، بعد مضغه يتحول المعجون إلى علكة).",am wnn ittffẓn aslghagh n uqiṛṛj,ام ونن يتتففزّن اسلغاغ ن وقيررج,"""Like someone chewing 'Qaraj' (a forest plant with white roots resembling a small carrot, which turns into gum after being chewed)."""
ⴰⵎ ⵡⵏⵏ ⵉⵜⴳⴳⵏ ⵍⵃⵏⵏⵉ ⵅ ⵔⵜⵛⵉ,كالذي يضع الحناء على الوسخ.,am wnn itggn lḥnni kh rtshi,ام ونن يتڭڭن لحنني خ رتشي,"""Like someone who applies henna over dirt."""
ⴰⵎ ⵡⵏⵏ ⵉⵜⵜⴽⴱⴱⴰⵏ ⴷⴳ ⵓⵙⵓⴼ,كالذي يصب في النهر.,am wnn ittkbban dg usuf,ام ونن يتتكببان دڭ وسوف,"""Like pouring into the river."""
ⴰⵎ ⵡⵏⵏ ⵉⵜⵜⵛⴰ ⵡⵇⵣⵉⵏ,كالذي أكله الكلب.,am wnn ittsha wqzin,ام ونن يتتشا وقزين,"""Like something that was eaten by the dog."""
ⴰⵎ ⵡⵏⵏ ⵉⵥⵥⵓⵖⵖⵓⵕⵏ ⵎⵓⵛⵛ ⴷⴳ ⵓⵊⵔⵜⵉⵍ,كالذي يجر القط على الحصيرة.,am wnn iẓẓughghuṛn mushsh dg ujrtil,ام ونن يزّزّوغغورن موشش دڭ وجرتيل,"""Like someone dragging a cat on a mat."""
ⴰⵎ ⵡⵏⵏ ⵛⵓⵟⵟⴰⵏ ⵉⵊⵓⴷⴰⵔ,كالذي اختطفته العقبان.,am wnn shuṭṭan ijudar,ام ونن شوططان يجودار,"""Like one who has been snatched away by eagles."""
"ⴰⵏⵉ ⴳⴳⵉⵜⵏⵜ, ⵓⵔ ⵇⵇⵉⵣⵏⵜ",أين كثرن لا يحفرن.,"ani ggitnt, ur qqiznt","اني ڭڭيتنت, ور ققيزنت","""Where they are many, they do not dig."""
"ⴰⵏⵉⵙ ⵉⴽⴽⴰ ⵢⵉⵙⵙⵊⵏⵉ, ⵉⵟⴼⴼⵕ ⵉ ⵡⴼⵉⵍⵓ",أينما مر المخياط يتبعه الخيط.,"anis ikka yissjni, iṭffṛ i wfilu","انيس يككا ييسسجني, يطففر ي وفيلو","""Wherever the needle passes, the thread follows."""
"ⴰⵏⵉⵙ  ⴽⴽⵉⵏ  ⵉⵎⵣⵡⵓⵔⴰ,  ⴰⴷ  ⴽⴽⵏ  ⵉⵏⴻⴳⴳⵓⵔⴰ",أينما مر السابقون سيمر اللاحقون.,"anis  kkin  imzwura,  ad  kkn  ineggura","انيس  ككين  يمزوورا,  اد  ككن  ين°ڭڭورا","""Where the predecessors have passed, the successors will pass."""
"ⴰⵏⵉⵙ ⵜⴽⴽⴰ ⵜⵖⵟⵟ, ⵜⵜⴽⴽ ⵜⵖⵉⴹⵜ ⵏⵏⵙ",أينما مرت المعزة تمر ابنتها (بهمة).,"anis tkka tghṭṭ, ttkk tghiḍt nns","انيس تككا تغطط, تتكك تغيضت ننس","""Wherever the goat passes, her kid (young one) follows."""
ⴰⵏⵉⵙ ⵅⵅⵉ ⵜⵡⵙⵙⵄ ⴰⵎ ⵜⵉⵟⵟ ⵏ ⵜⵅⵉⵢⵢⴰⵟⵜ,اتسعت لي كثقب الإبرة.,anis khkhi twss3 am tiṭṭ n tkhiyyaṭt,انيس خخي توسسع ام تيطط ن تخييياطت,"""It widened for me like the eye of a needle."""
"ⴰⵏⵉ ⵢⵜⵜⵛⴰ ⵎⵊⵊⵖⵢⵓⵍ ⴰⵖⵢⵓⵍ, ⵉⴷⴳⴳⵯⵍ ⵖⴰⵔ-ⵙ ⵄⵛⵔⴰ ⵏ ⵍⵎⵕⵕⴰⵜ",أين أكل الضبع الحمار، يرجع إليه عشر مرات.,"ani yttsha mjjghyul aghyul, idggⵯl ghar-s 3shra n lmṛṛat","اني يتتشا مججغيول اغيول, يدڭڭⵯل غار-س عشرا ن لمررات","""Where the hyena eats the donkey, it returns to it ten times."""
ⴰⵇⵣⵉⵏ ⴰⵎⵍⵍⴰⵍ ⵉⵜⵜⴳⴳ ⵉⵅⴼ ⵏⵏⵙ ⵣⴳ ⵡⵓⵍⵍⵉ,الكلب الأبيض يعتبر نفسه من النعاج.,aqzin amllal ittgg ikhf nns zg wulli,اقزين امللال يتتڭڭ يخف ننس زڭ ووللي,The white dog considers itself one of the sheep.
ⴰⵇⵣⵉⵏ ⵏ ⵉⵜⵜⵣⵓⵏ ⵉⵍ ⵣⵣⴰⴳ-ⵙ ⵜⵜⴳⴳⵯⴷ,الكلب الذي ينبح لا تخف منه.,aqzin n ittzun il zzag-s ttggⵯd,اقزين ن يتتزون يل ززاڭ-س تتڭڭⵯد,"The dog that barks, do not fear it."
"ⴰⵙⴰ ⴰⴷ ⴰⵙ ⵜⵍⵍⴼⵜ, ⵉⵍ ⴰⵙ ⵏⵄⵄⵜ ⴰⴱⵔⵉⴷ",عندما تطلقها لا تريها الطريق.,"asa ad as tllft, il as n33t abrid","اسا اد اس تللفت, يل اس نععت ابريد","""When you let her go, do not show her the way."""
"ⴰⵙⴰ ⴰⴷ ⵎⵎⵏⵖⵏ ⵢⵉⵟⴰⵏ, ⵉⴼⵔⵃ ⵢⵉⵎⵙⵄⵉ",عندما تتصارع الكلاب، يفرح المتسول.,"asa ad mmnghn yiṭan, ifrḥ yims3i","اسا اد ممنغن ييطان, يفرح ييمسعي","""When dogs fight, the beggar rejoices."""
"ⴰⵙⴰ ⴰⴷ ⵢⵓⵟⴰ ⵡⴼⵓⵏⴰⵙ, ⵉⵍ ⵜⵜⵙⴰⵍ ⵅ ⵉⴳⵣⵣⴰⵔⵏ",عندما يقع الثور لا تسأل عن الجزارين.,"asa ad yuṭa wfunas, il ttsal kh igzzarn","اسا اد يوطا وفوناس, يل تتسال خ يڭززارن","""When the bull falls, don't ask about the butchers."""
"ⴰⵙⴰ ⴰⴷ ⵄⵟⵍⵏⵜ, ⵎⵓⵏⵏⵜ",عندما يتأخرن، يجتمعن.,"asa ad 3ṭlnt, munnt","اسا اد عطلنت, موننت","When they are late, they gather."
ⴰⵛⵔ ⴰⵙ ⵡⴰⵍⴰ ⵜⴻⵜⵜⵔⵜ ⴰⵙ,اسرقه ولا تستجديه.,ashr as wala tettrt as,اشر اس والا ت°تترت اس,"""Steal it, don't beg for it."""
ⴰⵟⵕⵕⴰⴼ ⵉⵜⵜⵟⵕⵕⴰⴼ ⵏⵜⵜⴰ ⵢⴳⴳⵓⵔ ⵃⴰⴼⵉ,الإسكافي يرتق الأحذية وهو يمشي حافيا.,aṭṛṛaf ittṭṛṛaf ntta yggur ḥafi,اطرراف يتتطرراف نتتا يڭڭور حافي,The cobbler mends shoes while walking barefoot.
ⴰⵡⴰⵍ ⴰⵎⵣⵡⴰⵔ ⴰ ⵜⵣⵉⵣⵡⵉ ⵜⴰⴷⵔⵖⴰⵍⵜ,الكلام الأول أيتها النحلة العمياء.,awal amzwar a tzizwi tadrghalt,اوال امزوار ا تزيزوي تادرغالت,"""The first words, O blind bee."""
ⴰⵡⵔⴰ ⵢⴰ ⵢⵎⵎⴰ ⵢⴰⴷ ⴰⵎ ⵏⵄⵜⵖ ⴰⵅⵅⴰⵎ ⵏ ⵅⵡⴰⵍⵉ,تعالي يا أمي لأريك منزل أخوالي.,awra ya ymma yad am n3tgh akhkham n khwali,اورا يا يمما ياد ام نعتغ اخخام ن خوالي,"Come, Mom, so I can show you my uncles' house."
ⴰⵅⵅⴰⵎ ⴱⵍⴰ ⵜⴰⵎⵟⵟⵓⵟⵜ ⴰⵎ ⵙⵙⵇⴼ ⴱⵍⴰ ⵍⵃⵢⵓⵟ,المنزل بدون امرأة كالسقف بدون جدران.,akhkham bla tamṭṭuṭt am ssqf bla lḥyuṭ,اخخام بلا تامططوطت ام سسقف بلا لحيوط,A house without a woman is like a roof without walls.
"ⴰⵅⵅⴰⵎ ⵉⵏⵓ ⵢⵜⵜⵛⵓⵕ ⵙ ⵢⵉⵖⵣⵣⴰⵍⵏ, ⵏⵜⵛ ⵓⵔ ⵓⴼⵉⵖ ⴰⵢⵏⵏ ⵙ ⵡⵜⵉⵖ",منزلي مليء بالعصي وأنا لم أجد بما أضرب.,"akhkham inu yttshuṛ s yighzzaln, ntsh ur ufigh aynn s wtigh","اخخام ينو يتتشور س ييغززالن, نتش ور وفيغ اينن س وتيغ","""My house is full of sticks, yet I haven't found anything to strike with."""
ⴰⵅⵅⴰⵎ ⵏ ⴷⵉ ⵜⵜⴰⵜⴼ ⵜⴼⵓⵛⵜ ⵓⵔ ⵉⵀⵍⵍⵛ,المنزل الذي تدخله الشمس لن يمرض.,akhkham n di ttatf tfusht ur ihllsh,اخخام ن دي تتاتف تفوشت ور يهللش,The house that sunlight enters will not fall ill.
ⴰⵢⵏⴷⵓⵣ ⴰⵎⵥⵥⵢⴰⵏ ⴰⴳⴳ ⵉⵙⵙⵟⵓⴽⴽⵓⴽⵏ ⵉⴼⵓⵏⴰⵙⵏ,العجل الصغير هو الذي يثير الثيران.,aynduz amẓẓyan agg issṭukkukn ifunasn,ايندوز امزّزّيان اڭڭ يسسطوككوكن يفوناسن,The small calf is the one that stirs up the bulls.
"ⴰⵢⵏⵏ ⴰⵛ ⵜⵙⵙⵖⵔ ⵢⵎⵎⴰ-ⵛ, ⵜⵙⵙⵖⵔ ⵉⵢⵉ ⵜ ⵢⵎⵎⴰ ⵡⵍⴰ ⴷ ⵏⵜⵛ",ما علمته إياك أمك علمته لي أمي أيضا.,"aynn ash tssghr ymma-sh, tssghr iyi t ymma wla d ntsh","اينن اش تسسغر يمما-ش, تسسغر ييي ت يمما ولا د نتش","What your mother taught you, my mother taught me as well."
ⴰⵢⵏⵏ ⴷ ⵉⵜⵜⴰⵡⵢ ⴷⴳ ⵓⵙⴳⴳⵯⴰⵙ ⵉⵜⴻⵜⵜ ⵉ ⴷⴳ ⵡⴰⵙⵙ,ما يكسبه في عام يأكله في يوم.,aynn d ittawy dg usggⵯas itett i dg wass,اينن د يتتاوي دڭ وسڭڭⵯاس يت°تت ي دڭ واسس,"What he earns in a year, he spends in a day."
ⴰⵢⵏⵏ ⵉⵚⴱⵃⵏ ⴰⴳ ⵉⵜⵜⵛⴰⵕⴰⵏ ⵜⵉⵟⵟ,ما هو جميل يملأ العين.,aynn iṣbḥn ag ittshaṛan tiṭṭ,اينن يصبحن اڭ يتتشاران تيطط,What is beautiful fills the eye.
