Tamazight,target_string,Tamazight_Latin,Tamazight_Arabic,English
ⴰⵢⵏⵏ ⵉⵛⵔⵔⵣ ⵓⵍⵖⵎ ⵉⵜⵜⴷⴷⵣ ⵉ,ما يحرثه الجمل يدقه.,aynn ishrrz ulghm ittddz i,اينن يشررز ولغم يتتددز ي,"""What the camel plows, it threshes."""
"ⴰⵢⵏⵏ ⵉⵢⵢⴰ ⵛⵛⵉⵟⴰⵏ ⴷⴳ ⵓⵙⴳⴳⵯⴰⵙ, ⵜⵜⴳⴳ ⵉ ⵜⵎⵖⴰⵔⵜ ⴷⴳ ⵡⴰⵙⵙ",ما فعله الشيطان في عام تفعله العجوز في يوم.,"aynn iyya shshiṭan dg usggⵯas, ttgg i tmghart dg wass","اينن يييا ششيطان دڭ وسڭڭⵯاس, تتڭڭ ي تمغارت دڭ واسس","What the devil does in a year, an old woman can do in a day."
ⴰⵢⵏⵏ ⵉⵥⵉⴹⵏ ⵉⵜⵜⵎⵜⵜⵛⴰ,ما هو حلو يؤكل.,aynn iẓiḍn ittmttsha,اينن يزّيضن يتتمتتشا,What is sweet is eaten.
"ⴰⵢⵏⵏ ⵜⵜⵉⵏⵉⵜ ⵉ ⵢⵡⴷⴰⵏ, ⵉⵏⵉ ⵜ ⵉ ⵡⵣⵍⵍⵉⴼ ⵏⵏⵛ",ما تقوله للناس، قله لنفسك.,"aynn ttinit i ywdan, ini t i wzllif nnsh","اينن تتينيت ي يودان, يني ت ي وزلليف ننش","What you say to others, say to yourself."
"ⴰⵢⵏⵏ ⵜⵢⵉⵜ ⵉ ⵡⴰⵕⴰ ⵏ ⵎⵉⴷⴷⵏ, ⴰⴷ ⵜ ⵢⵏ ⵉ ⵡⴰⵕⴰ ⵏⵏⵛ",ما فعلته لأبناء الناس سيفعلونه لأبنائك.,"aynn tyit i waṛa n middn, ad t yn i waṛa nnsh","اينن تييت ي وارا ن ميددن, اد ت ين ي وارا ننش","""What you have done to others' children will be done to your own children."""
"ⴰⵢⵏⵏ ⵓⵔ ⵉⵏⵇⵇⵏ, ⵉⵚⵚⵉⵃⵃⴰ",ما لا يقتل يقوي.,"aynn ur inqqn, iṣṣiḥḥa","اينن ور ينققن, يصصيححا",What doesn't kill you makes you stronger.
"ⴰⵄⴷⴷⵉⵙ ⵏ ⵉⵛⵡⴰⵏ, ⵓⵔ ⵉⵜⵜⵃⵙⵙⵉ ⵙ ⵡⵏⵏ ⵉⵍⵍⵓⵥⵏ",البطن الشبعان لا يبالي بالبطن الجائع.,"a3ddis n ishwan, ur ittḥssi s wnn illuẓn","اعدديس ن يشوان, ور يتتحسسي س ونن يللوزّن","""A full stomach does not care about a hungry stomach."""
"ⴱⴰⴱ ⵏ ⵢⵉⵛⵜ ⵏ ⵜⵉⵟⵟ, ⵓⵔ ⵉⴷⵊⵉⵏ ⴷⴳ ⵍⵓⵎ",صاحب العين الواحدة لا ينام في التبن.,"bab n yisht n tiṭṭ, ur idjin dg lum","باب ن ييشت ن تيطط, ور يدجين دڭ لوم",The one-eyed man does not sleep in the hay.
"ⴱⴰⴱ ⵓⵣⵍⵍⵉⴼ ⴰ ⴷ ⵎⴻⵎⵎⵉⵙ ⵏ ⵎⴻⵎⵎⵉ, ⴰⵢⴰ ⵏ ⵡⴰ ⴷ ⵎⴻⵎⵎⵉⵙ ⵏ ⵢⵍⵍⵉ",صاحب هذا الرأس هو ابن ابني، أما هذا فابن ابنتي.,"bab uzllif a d memmis n memmi, aya n wa d memmis n ylli","باب وزلليف ا د م°مميس ن م°ممي, ايا ن وا د م°مميس ن يللي","The owner of this head is the son of my son, while this one is the son of my daughter."
ⴱⵟⵓ ⵙⵓⴼ ⴰⴷ ⵉⵇⵇⴰⵔ,قسم النهر وسيجف.,bṭu suf ad iqqar,بطو سوف اد يققار,The river was divided and will dry up.
ⴷ ⵍⵀⵍⵍ ⵏ ⵓⵎⵀⴱⵓⵍ ⴰⴳ ⵉⵜⵜⵙⵜⵃⴰⵏ,عائلة الأحمق هي التي تستحيي.,d lhll n umhbul ag ittstḥan,د لهلل ن ومهبول اڭ يتتستحان,The family of the fool is the one that feels ashamed.
ⴷ ⵍⵄⴳⵣ ⴰⴳ ⵉⴷⵊⵉⵏ ⵜⵢⴰⵥⵉⵟⵜ ⵓⵔ ⵜⵏⵟⵟⵡ,الكسل هو الذي خلى الدجاجة لا تطير.,d l3gz ag idjin tyaẓiṭt ur tnṭṭw,د لعڭز اڭ يدجين تيازّيطت ور تنططو,Laziness is what made the chicken unable to fly.
"ⴷ ⵜⴰⵊⵟⵉⵟⵜ ⴰⴳ ⵉⵜⵜⴳⴳⵏ ⵍⵄⵛⵛ, ⵉⵍⵉⴷ ⴷ ⴰⵊⵟⵉⵟ",العصفورة هي التي تبني العش وليس العصفور.,"d tajṭiṭt ag ittggn l3shsh, ilid d ajṭiṭ","د تاجطيطت اڭ يتتڭڭن لعشش, يليد د اجطيط","The female sparrow is the one who builds the nest, not the male sparrow."
ⴷ ⵜⴰⵎⵟⵟⵓⵟⵜ ⴰⴳ ⵉⵜⵜⴳⴳⵏ ⴰⵔⴳⴰⵣ,المرأة هي التي تصنع الرجل.,d tamṭṭuṭt ag ittggn argaz,د تامططوطت اڭ يتتڭڭن ارڭاز,The woman is the one who shapes the man.
ⴷ ⵜⵉⵎⵙⵙⵉ ⵣⴷⴷⵓ ⵍⵓⵎ,النار تحت التبن.,d timssi zddu lum,د تيمسسي زددو لوم,"""The fire is under the straw."""
"ⴼⴼⵖⵖ ⵛⵎⵎ ⴰ ⵜⴰⴷⵉⵙⵜ ⵏ ⵢⵎⵎⴰ, ⴰⵕⵡ ⴰⵊⵍⵍⵉⴷ ⵏⵖ ⵢⵉⵎⵙⵄⵉ",خرجت منك يا بطن أمي لد ملكا أو متسولا.,"ffghgh shmm a tadist n ymma, aṛw ajllid ngh yims3i","ففغغ شمم ا تاديست ن يمما, ارو اجلليد نغ ييمسعي","""I emerged from you, O womb of my mother, either a king or a beggar."""
ⴳⴰⵢⵎⵔⵓ ⵡⵔ ⵉⵜⵜⴳⴳ ⵜⴰⵎⴻⵎⵜ,اليعسوب لا يصنع عسلا.,gaymru wr ittgg tamemt,ڭايمرو ور يتتڭڭ تام°مت,The dragonfly does not produce honey.
ⵖⵉⵔ ⵉⵙⵍⵎⴰⵏ ⴰⴳ ⵉⵜⵜⴷⴷⵔⵏ ⴷⴳ ⵡⴰⵎⴰⵏ,الأسماك فقط التي تعيش في الماء.,ghir islman ag ittddrn dg waman,غير يسلمان اڭ يتتددرن دڭ وامان,Fish only live in water.
"ⵃⴷⴷ ⴷⵉ ⵜⴰⵣⴰⵔⵜ, ⵃⴷⴷ ⵉⵇⵟⵟⵡ",واحد في شجرة التين والآخر يقطعها.,"ḥdd di tazart, ḥdd iqṭṭw","حدد دي تازارت, حدد يقططو","""One is in the fig tree, and the other is cutting it."""
"ⵃⴷⴷ ⵉⴱⵏⵏⴰ, ⵃⴷⴷ ⵉⵀⴷⴷⵎ",شخص يبني والآخر يهدم.,"ḥdd ibnna, ḥdd ihddm","حدد يبننا, حدد يهددم","One person builds, and another destroys."
"ⵃⴷⴷ ⵉⵎⵍⵛ, ⵃⴷⴷ ⵉⵀⵍⵛ, ⵃⴷⴷ ⵉⵇⵇⵏ ⵎⵊⵊⵖⵢⵓⵍ ⴷⴳ ⵓⵅⵅⴰⵎ",واحد تزوج، وواحد مرض، وآخر ربط ضبعا في المنزل.,"ḥdd imlsh, ḥdd ihlsh, ḥdd iqqn mjjghyul dg ukhkham","حدد يملش, حدد يهلش, حدد يققن مججغيول دڭ وخخام","One got married, another fell ill, and another tied a hyena at home."
"ⵃⴷⴷ ⵉⵜⵜⵛⴰ ⵢⴱⴰⵡⵏ, ⵃⴷⴷ ⵓⴼⵏ ⴷⴰⴳ-ⵙ",واحد أكل الفول والآخر انتفخ فيه.,"ḥdd ittsha ybawn, ḥdd ufn dag-s","حدد يتتشا يباون, حدد وفن داڭ-س","""One ate the beans, and the other got bloated from it."""
"ⵃⴷⴷ ⵉⵣⴷⵖ, ⵃⴷⴷ ⵉⵏⵣⵖ, ⵃⴷⴷ ⵉⵍⵍⴰ ⵢⵜⵜⴰⵣⵖ",واحد ساكن، وواحد تائه، والآخر يجف.,"ḥdd izdgh, ḥdd inzgh, ḥdd illa yttazgh","حدد يزدغ, حدد ينزغ, حدد يللا يتتازغ","One is still, one is lost, and the other dries up."
ⵉⴱⴷⴷ ⵙ ⵜⵙⵉⵍⴰ ⴷⴳ ⵡⴰⵎⴰⵏ,توقف بنعاله في الماء.,ibdd s tsila dg waman,يبدد س تسيلا دڭ وامان,He stopped with his shoe in the water.
"ⵉⴷⵊ ⵉⴱⵏⵏⴰ, ⵉⴷⵊ ⵉⵀⴷⴷⵎ",واحد يبني، وآخر يهدم.,"idj ibnna, idj ihddm","يدج يبننا, يدج يهددم","One builds, and another destroys."
ⵉⴷⵊ ⵏ ⵓⴼⵓⵙ ⵓⵔ ⵉⵜⵜⵛⵉⵜ ⴰⴼⵇⵇⵉⵙ,يد واحدة لا تصفق.,idj n ufus ur ittshit afqqis,يدج ن وفوس ور يتتشيت افققيس,"""One hand does not clap."""
ⵉⴷⵊ ⵏ ⵓⵖⵉⵍ ⵓⵔ ⵉⵙⵙⵉⵎⵉ,ذراع واحدة لا تربي.,idj n ughil ur issimi,يدج ن وغيل ور يسسيمي,"""One arm does not raise (a child)."""
ⵉⴷⵊ ⵏ ⵓⵙⴼⵟ ⵓⵔ ⵉⵙⵙⵔⵓⵖ ⵜⵉⵎⵙⵙⵉ,جمرة واحدة لن تشعل نارا.,idj n usfṭ ur issrugh timssi,يدج ن وسفط ور يسسروغ تيمسسي,"""One ember will not start a fire."""
ⵉⴷⵡⵍ ⴱⴰⴱ ⵏ ⵢⵉⵢⵢⵔ ⴷ ⴰⵅⵎⵎⴰⵙ,أصبح مالك الحقل مؤاكرا بالخمس.,idwl bab n yiyyr d akhmmas,يدول باب ن يييير د اخمماس,The owner of the field became obligated to pay one-fifth.
ⵉⴷⵡⵍ ⵓⴽⵉⴹⴰⵕ ⴰⵏⵉ ⵢⵏⵏⵓⵎ ⵜⵉⵎⵥⵉⵏ ⵏ ⵉⵣⵣⵢⵏ,رجع الحصان أين اعتاد الحبوب المحمصة.,idwl ukiḍaṛ ani ynnum timẓin n izzyn,يدول وكيضار اني يننوم تيمزّين ن يززين,The horse returned to where it was used to the roasted grains.
ⵉⴷⵡⵍ ⵓⵢⵍⵎⵓⵙ ⵖⵔ ⵢⵉⵟⴰⵕⵏ,رجعت القلنسوة عند الأرجل.,idwl uylmus ghr yiṭaṛn,يدول ويلموس غر ييطارن,The cap returned to the feet.
ⵉⴼⴼⵖ ⵓⵅⴷⵎⵉ ⵏⵏⵙ ⵜⵉⵎⵙⵙⵉ,خرج سكينه النار.,iffgh ukhdmi nns timssi,يففغ وخدمي ننس تيمسسي,"The sentence appears to have a grammatical issue or a typo in Arabic. If you meant ""خرجت سكينه النار,"" it translates to:  
""His knife came out of the fire.""  

If this is not the intended meaning, could you clarify or provide more context?"
ⵉⵍⵉ ⴷ ⵉⵣⵎ ⵜⴻⵜⵜⵛⵜ ⵉⵢⵉ,كن أسدا وكلني.,ili d izm tettsht iyi,يلي د يزم ت°تتشت ييي,"""Be a lion and devour me."""
"ⵉⵍⵉⴷ ⵜⵜⵛ, ⵉⵍⵉⴷ ⴽⴽⵙ ⴼⵓⵙ",ليس له أن يأكل ولا أن يزيل يده.,"ilid ttsh, ilid kks fus","يليد تتش, يليد ككس فوس",He is not to eat nor to remove his hand.
ⵉⵍⵙ ⵓⵔ ⴷⴰⴳ-ⵙ ⵉⵍⵍⵉ ⵢⵖⵙ,اللسان لا يوجد فيه عظم.,ils ur dag-s illi yghs,يلس ور داڭ-س يللي يغس,The tongue has no bones.
ⵉⵍ ⵜⵜⴰⵡⵢ ⵅ ⵏⵏⵡⴰⵔ ⵓⵍⵉⵍⵉ,لا يغرنك نوار الدفلى.,il ttawy kh nnwar ulili,يل تتاوي خ ننوار وليلي,"""Do not be deceived by the oleander's blossom."""
"ⵉⵍ ⵜⵜⴳⴳ ⵛⴰⵢ, ⵉⵍ ⵜⵜⴳⴳⵯⴷ ⵣⵣⵉ ⵛⴰⵢ",لا تفعل شيئا، ولا تفزع من شيء.,"il ttgg shay, il ttggⵯd zzi shay","يل تتڭڭ شاي, يل تتڭڭⵯد ززي شاي","Do nothing, and fear nothing."
ⵉⵍ ⵜⵜⵡⵚⵚⴰ ⵢⴰⴳⵓⵊⵉⵍ ⵅ ⵢⵉⵎⵟⵟⴰⵡⵏ,لا توصي اليتيم على الدموع.,il ttwṣṣa yagujil kh yimṭṭawn,يل تتوصصا ياڭوجيل خ ييمططاون,"""Do not advise the orphan to shed tears."""
"ⵉⵎⵉ ⵏ ⵉⵜⵜⵉⵏⵉⵏ ⵙⵓⵟ, ⴰⴷ ⵉⵙⵙⵓⵟ",الفم الذي يقول أنفخ، فلينفخ.,"imi n ittinin suṭ, ad issuṭ","يمي ن يتتينين سوط, اد يسسوط","""The mouth that says 'blow,' let it blow."""
"ⵉⵎⵉ ⵢⵇⵇⵓⵔ, ⵜⴰⵄⴷⴷⵉⵙⵜ ⵜⴻⵜⵜⵛⵓⵕ",الفم جاف والبطن ممتلئ.,"imi yqqur, ta3ddist tettshuṛ","يمي يققور, تاعدديست ت°تتشور","The mouth is dry, and the stomach is full."
ⵉⵎⵔⴰ ⵡⵎⵊⵔ ⴷⴳ ⵓⵛⵔⴷⵓⵄ,أرهقت خرقة القماش المنجل.,imra wmjr dg ushrdu3,يمرا ومجر دڭ وشردوع,The cloth rag tired the sickle.
"ⵉⵎⵙⵄⵉ ⵢⵜⴻⵜⵜⵔ, ⵎⴻⵎⵎⵉⵙ ⵉⵜⵜⵚⴷⴷⴰⵇ",المتسول يتسول وابنه يتصدق.,"ims3i ytettr, memmis ittṣddaq","يمسعي يت°تتر, م°مميس يتتصدداق",Translation Error
"ⵉⵎⵙⵄⵉ ⵢⵜⵜⵙⵄⴰ, ⵎⵔⵣⵓⵇⴰ ⵜⵜⵚⴷⴷⴰⵇ",المتسول يتسول ومرزوقة تتصدق.,"ims3i ytts3a, mrzuqa ttṣddaq","يمسعي يتتسعا, مرزوقا تتصدداق","The beggar begs, and Marzooqah gives charity."
"ⵉⵎⵛ ⵉⵎⵢⵢⵍ ⵍⵃⵎⵍ, ⵖⵉⵔ ⵀⴷⵎ",عندما يميل الحمل أسقطه.,"imsh imyyl lḥml, ghir hdm","يمش يمييل لحمل, غير هدم","""When the load tilts, I drop it."""
"ⵉⵎⵛ ⵎⵟⵍⵖ ⵟⴰⵕ, ⵉⴽⴽⵔ ⴷ ⵓⴼⵓⵙ",عندما أدفن الرجل تنهض اليد.,"imsh mṭlgh ṭaṛ, ikkr d ufus","يمش مطلغ طار, يككر د وفوس","""When I bury the man, the hand rises."""
ⵉⵏⵏⴰ-ⵙ ⵓⴱⵓⵄⴱⵓⵄ: ⵎⴰ ⴷ ⵍⵃⴰⵎⵓ ? ⵉⵙⵓⵍ ⴰⴷ ⵜⵛ ⵉⵏⵏ ⵢⴰⵡⵟ,قال الحلزون: الحرارة؟ مع الوقت ستصلك.,inna-s ubu3bu3: ma d lḥamu ? isul ad tsh inn yawṭ,يننا-س وبوعبوع: ما د لحامو ? يسول اد تش ينن ياوط,"The snail said: ""The heat? In time, it will reach you."""
ⵉⵏⵏⴰ-ⵙ ⵓⵅⵍⵍⴰⴷ: ⵎⴰ ⴷ ⴰⵎⴰⵏ ⵀⴰ ⵢⵢⵉ ⴷⴰⴳ-ⵙⵏ,قال الضفدع: إذا تعلق الأمر بالماء فأنا فيه.,inna-s ukhllad: ma d aman ha yyi dag-sn,يننا-س وخللاد: ما د امان ها ييي داڭ-سن,"The frog said: ""When it comes to water, I am in it."""
ⵉⵔⴷⵏ ⵜⵜⴱⴰⵏⵏ ⵣⴳ ⵖⵎⵎⵓⵢ,القمح يظهر من الإنبات.,irdn ttbann zg ghmmuy,يردن تتبانن زڭ غمموي,Wheat emerges from germination.
"ⵉⵔⵊⵉⵊ ⵢⵉⵛⵛ, ⵢⵓⵕⵡ ⴰⵖⵔⴹⴰ",اهتز الجبل فأنجب فأرا.,"irjij yishsh, yuṛw aghrḍa","يرجيج ييشش, يورو اغرضا","""The mountain trembled and gave birth to a mouse."""
ⵉⵔⵡⵍ ⴰⵙ ⵡⴰⵟⵓ ⵙ ⵓⵣⴳⴰⵡ,هربت له الريح بالقفة.,irwl as waṭu s uzgaw,يرول اس واطو س وزڭاو,The wind carried away the basket.
"ⵉⵕⴰⵃ ⴰⵍ ⵜⵎⵓⵔⵜ ⵏ ⴼⵍⵉⵢⵢⵓ, ⵉⵡⵜ ⵉ ⵕⵕⵡⴰⵃ",ذهب إلى أرض النعناع البري وأصابه بالزكام.,"iṛaḥ al tmurt n fliyyu, iwt i ṛṛwaḥ","يراح ال تمورت ن فليييو, يوت ي ررواح",He went to the land of catnip and caught a cold.
ⵉⵙⴼⵟⴰⵡⵏ ⵙⵙⵜⵜⵛⴰⵏ ⵜⴰⴷⴷⴰⵔⵜ,المشاعل تحرق المنزل.,isfṭawn ssttshan taddart,يسفطاون سستتشان تاددارت,The torches are burning the house.
ⵉⵙⵎⵃ ⵃⴷⴷ ⴷⵉ ⵍⵃⵏⵏⵉ ⴷⵉ ⵜⴰⴷⴷⴰⵔⵜ ⵏ ⵉⵇⵊⵊⵉⵄⵏ,يترك الشخص الحناء بمنزل الصُلع.,ismḥ ḥdd di lḥnni di taddart n iqjji3n,يسمح حدد دي لحنني دي تاددارت ن يقججيعن,The person leaves the henna at the house of baldness.
"ⵉⵙⵔⵃ, ⵓⵔ ⴷ ⵉⵕⵡⵡⵃ",سرح ولم يعد في المساء.,"isrḥ, ur d iṛwwḥ","يسرح, ور د يرووح",He wandered off and did not return in the evening.
ⵉⵙⵙⴰⵖ ⵉⵙⵍⵎⴰⵏ ⴷⴳ ⵡⴰⵎⴰⵏ,يشتري الأسماك في الماء.,issagh islman dg waman,يسساغ يسلمان دڭ وامان,He buys the fish in the water.
ⵉⵙⵙⵔⵡⴰⵟ ⴱⵕⵕⴰ ⵢ ⵓⵏⵕⴰⵕ,يدرس خارج البيدر.,issrwaṭ bṛṛa y unṛaṛ,يسسرواط بررا ي ونرار,He studies outside the barn.
ⵉⵜⴻⵜⵜ ⵍⴱⵚⵍ ⵙ ⵢⵉⵎⵉ ⵏ ⵎⵉⴷⴷⵏ,يأكل البصل بفم الناس.,itett lbṣl s yimi n middn,يت°تت لبصل س ييمي ن ميددن,He eats the onion with people's mouths.
ⵉⵜⵜⴰⵡⵢ ⴷ ⵍⵅⴱⴰⵔ ⴰⵎ ⵡⵏⵏ ⵏ ⵜⵙⴷⵏⴰⵏ,يحضر أخبارا كأخبار النساء.,ittawy d lkhbar am wnn n tsdnan,يتتاوي د لخبار ام ونن ن تسدنان,He brings news like the gossip of women.
ⵉⵜⵜⴰⵅⵎ ⵜⴱⴰⵔⴷⴰ ⵢⵜⵜⵇⴰⵍ ⴰⵖⵢⵓⵍ,يخز البردعة ويدع الحمار.,ittakhm tbarda yttqal aghyul,يتتاخم تباردا يتتقال اغيول,"""He blames the saddle and leaves the donkey.""  

(Note: This is a common Arabic proverb, often implying that someone is blaming the wrong thing or avoiding the real issue.)"
ⵉⵜⵜⴱⴰⵏ ⵓⵇⴱⴱⵉⵛ ⴷ ⴰⵎⵇⵇⵔⴰⵏ ⴷⴳ ⴼⵓⵙ ⵏ ⵓⴳⵓⵊⵉⵍ,تبدو كسرة الخبز كبيرة في يد اليتيم.,ittban uqbbish d amqqran dg fus n ugujil,يتتبان وقببيش د امققران دڭ فوس ن وڭوجيل,A crumb of bread appears large in the hand of an orphan.
ⵉⵜⵜⴳⴳ ⵍⵅⵉⵔ ⵙ ⵓⵖⵕⵓⵎ ⵏ ⵎⵉⴷⴷⵏ,يفعل الخير بخبز الآخرين (الناس).,ittgg lkhir s ughṛum n middn,يتتڭڭ لخير س وغروم ن ميددن,He does good with the bread of others (people).
ⵉⵜⵜⴽⴽⵙ ⵣⵣⵉ ⵜⴱⴰⵔⴷⴰ ⵉⵜⵜⵉⵜⵛ ⵉ ⵡⵖⵢⵓⵍ,يزيل من البردعة ويعطي للحمار.,ittkks zzi tbarda ittitsh i wghyul,يتتككس ززي تباردا يتتيتش ي وغيول,He takes it off the saddle and gives it to the donkey.
"ⵉⵜⵜⵛⴰ ⴱⴰⵣⵉⵏ, ⵉⵕⵥⴰ ⵢⴰⵇⴷⴷⵓⵃ",أكل عصيدة مطبوخة في الزيت فكسر القدر.,"ittsha bazin, iṛẓa yaqdduḥ","يتتشا بازين, يرزّا ياقددوح",He ate porridge cooked in oil and broke the pot.
"ⵉⵜⵜⵛⴰⵜ ⵜⴱⴰⵔⴷⴰ, ⵉⵜⵜⵇⴰⵍ ⴰⵖⵢⵓⵍ",يضرب البردعة ويترك الحمار.,"ittshat tbarda, ittqal aghyul","يتتشات تباردا, يتتقال اغيول",He hits the saddle and leaves the donkey.
ⵉⵜⵜⵣⴰⵢⴰⴷ ⵉⴽⵛⵛⵓⵟⵏ ⵉ ⵜⵎⵙⵙⵉ,يضيف الحطب للنار.,ittzayad ikshshuṭn i tmssi,يتتزاياد يكششوطن ي تمسسي,He adds wood to the fire.
ⵉⵟⵎⵎⵄ ⵍⴱⵔⵇⵓⵇ ⴷⵉ ⵍⵍⵢⴰⵍⵉ,يشتهي البرقوق، في أيام الشتاء الباردة.,iṭmm3 lbrquq di llyali,يطممع لبرقوق دي لليالي,He craves plums on cold winter days.
ⵉⵟⵚ ⴷ ⵍⵎⵓⵜ ⴷ ⴰⵡⵎⴰⵜⵏ,النوم والموت إخوة.,iṭṣ d lmut d awmatn,يطص د لموت د اوماتن,Sleep and death are brothers.
ⵉⵅⴷⴷⵎ ⵉⵟ ⴷ ⵡⴰⵙⵙ ⵎⴰⵛⴰ ⵍⵄⵉⴷ ⵏⵏⵙ ⴷ ⴰⵎⵔⵡⴰⵙ,يعمل ليل نهار لكن عيده بالدين.,ikhddm iṭ d wass masha l3id nns d amrwas,يخددم يط د واسس ماشا لعيد ننس د امرواس,"He works day and night, but his celebration is on credit (or in debt)."
ⵉⵅⵙ ⴰⴷ ⵉⵥⵡⴰ ⵉ ⵡⵙⵓⴼ ⴱⵍⴰ ⵎⴰ ⵢⴰⴷ ⵉⴱⵣⴳ,أراد عبور النهر دون أن يبتل.,ikhs ad iẓwa i wsuf bla ma yad ibzg,يخس اد يزّوا ي وسوف بلا ما ياد يبزڭ,He wanted to cross the river without getting wet.
ⵉⵢⴰⵥⵉⵟⵏ ⵏ ⵔⵔⵃⵉⵍ ⵜⵜⵡⴰⵛⵔⴰⴼⵏ ⵅ ⵢⵉⵟ,ديكة الرحيل تقيد ليلا.,iyaẓiṭn n rrḥil ttwashrafn kh yiṭ,ييازّيطن ن ررحيل تتواشرافن خ ييط,"""The rooster of departure crows at night."""
ⵉⵢⵢⴰ ⵡⵛⵟⵟⵓⴼ ⵏⵏⵛ ⴰⴼⵔⵉⵡⵏ,صار لنملتك أجنحة.,iyya wshṭṭuf nnsh afriwn,يييا وشططوف ننش افريون,"""Your ant has grown wings."""
"ⵉⵢⵢⵔ ⵏ ⵓⵔ ⵉⵙⵙⵉⵡⵏ, ⵓⵔ ⵉⵣⵣⵔⵓⵢ ⴰⵎⴰⵏ ⵉ ⵡⵏⵏ ⵉⵜ ⵉⵊⴰⵕⵏ",الحقل الغير المسقي لا يمرر الماء للذي يجاوره.,"iyyr n ur issiwn, ur izzruy aman i wnn it ijaṛn","ييير ن ور يسسيون, ور يززروي امان ي ونن يت يجارن","""The unwatered field does not pass water to its neighbor."""
ⵉⵣⴰⵏ ⵓⵔ ⵜⵜⵉⵜⴼⵏ ⴷⴳ ⵢⵉⵎⵉ ⵏ ⵉⵇⵇⵏⵏ,الذباب لا يدخل في الفم المغلق.,izan ur ttitfn dg yimi n iqqnn,يزان ور تتيتفن دڭ ييمي ن يققنن,Flies do not enter a closed mouth.
"ⵉⵣⵉⵎⵔ ⵎⴰ ⵜⵏⵏⵊⵍⴰ ⵢⵎⵎⴰ-ⵙ, ⵉⵜⵜⴳⴳ ⵜⵉⵅⵙⵉ ⵏ ⵢⴰⵟⵏⵉⵏ ⴷ ⵢⵎⵎⴰ-ⵙ",الحمل إذا تاهت أمه يعتبر النعجة الأخرى أمه.,"izimr ma tnnjla ymma-s, ittgg tikhsi n yaṭnin d ymma-s","يزيمر ما تننجلا يمما-س, يتتڭڭ تيخسي ن ياطنين د يمما-س","A lamb, if its mother is lost, considers another ewe as its mother."
ⵉⵣⵉⵎⵔ ⵓⵔ ⵉⵜⵜⵓⵔⵉⵔ ⵖⵉⵔ ⵙⵏⵏⵊ ⵉ ⵡⵙⵔⵓⴼ ⵏ ⵢⵎⵎⴰ-ⵙ,الحمل لا يلعب إلا فوق ظهر أمه.,izimr ur itturir ghir snnj i wsruf n ymma-s,يزيمر ور يتتورير غير سننج ي وسروف ن يمما-س,"""The lamb only plays on its mother's back."""
ⵉⵣⵡⴰⵔ ⵍⵃⴹⴰ ⵍⵇⴹⴰ,سبق الحذر القدر.,izwar lḥḍa lqḍa,يزوار لحضا لقضا,Caution precedes fate.
