Tamazight,target_string,Tamazight_Latin,Tamazight_Arabic,English
"ⵜⵉⵟⵟ ⵖⵔ ⵣⵣⵉⵏ, ⵟⴰⵕ ⵉⵜⵜⵛ ⵉ ⵡⵇⵣⵉⵏ",العين عند الجمال والرجل أكلها الكلب.,"tiṭṭ ghr zzin, ṭaṛ ittsh i wqzin","تيطط غر ززين, طار يتتش ي وقزين","The sentence seems to have some ambiguity or might be nonsensical in its structure. A direct translation would be:

""The eye is with the camel, and the man was eaten by the dog.""

However, this might not convey a clear or intended meaning. Could you clarify or provide more context?"
ⵜⵉⵅⵙⵉ ⵜⴰⵔⵉⴷⴰⵍⵜ ⴰⴳ ⵉⵜⴻⵜⵜ ⵡⵓⵛⵛⵏ,النعجة العرجاء هي التي يأكل الذئب.,tikhsi taridalt ag itett wushshn,تيخسي تاريدالت اڭ يت°تت ووششن,"""The lame sheep is the one the wolf eats."""
"ⵜⵉⵣⵉⵎⵔⵜ ⵜⵜⵎⵖⵉⵔ, ⵜⵉⵅⵙⵉ ⵜⵜⵡⵙⵉⵔ",الرخل (الأنثى من أولاد الضأن) تكبر والنعجة تشيخ.,"tizimrt ttmghir, tikhsi ttwsir","تيزيمرت تتمغير, تيخسي تتوسير","The ewe lamb (the female offspring of sheep) grows, and the ewe ages."
"ⵜⵎⵓⵖⵍⵉ ⴷⴳ ⵡⴰⵎⴰⵏ, ⵓⵔ ⵜⵏⵇⵇ ⴼⴰⴷ",النظر في الماء لا يقتل العطش.,"tmughli dg waman, ur tnqq fad","تموغلي دڭ وامان, ور تنقق فاد",Looking at water does not quench thirst.
"ⵜⵏⵏ ⴰⴽⵉⴷ-ⵉ ⵓⵔ ⵉⵥⴹⵉⵏ, ⴰⴷ ⵜⵜ ⵜⵜⵛⵖ",من لم تطحن معي سآكلها.,"tnn akid-i ur iẓḍin, ad tt ttshgh","تنن اكيد-ي ور يزّضين, اد تت تتشغ","""Whoever does not grind with me, I will eat them."""
"ⵜⵏⵏⴰ-ⵙ ⵜⵖⵢⵓⵍⵜ: ⵣⴳ ⵡⴰⵙⵙ ⵏ ⴷⵉ ⵡⵔⵡⵖ, ⵓⵔ ⵜⵜⵛⵉⵖ ⴰⵍ ⵛⵡⵉⵖ, ⵓⵔ ⵙⵡⵉⵖ ⴰⵎⴰⵏ ⵉⵣⴷⴷⴰⴳⵏ",قالت الأتان: منذ اليوم الذي أنجبت فيه لم آكل حتى أشبع ولم أشرب ماءا صافيا.,"tnna-s tghyult: zg wass n di wrwgh, ur ttshigh al shwigh, ur swigh aman izddagn","تننا-س تغيولت: زڭ واسس ن دي وروغ, ور تتشيغ ال شويغ, ور سويغ امان يزدداڭن","The she-donkey said: ""Since the day I gave birth, I have not eaten until I was full, nor have I drunk clean water."""
"ⵜⵔⵊⵍ, ⵜⴽⵙⵉ ⵜⵏⴰⵙⵜ",أقفلت وأخذت المفتاح.,"trjl, tksi tnast","ترجل, تكسي تناست",I locked it and took the key.
"ⵜⵙⵙⵛⵎⵟ ⵉⵢⵢⵔ, ⵜⴱⴷⴰ ⵜⵙⵙⵖⵓⵢⵢⵓ",أحرقت الحقل وبدأت تصرخ.,"tssshmṭ iyyr, tbda tssghuyyu","تسسشمط ييير, تبدا تسسغوييو",She burned the field and started screaming.
ⵜⵜⴰⵙⵉⵄ ⴷⴳ ⵡⵓⵍ,الاتساع في القلب.,ttasi3 dg wul,تتاسيع دڭ وول,The expansion of the heart.
"ⵜⵜⵛ ⴰⵢⵏⵏ ⵜⴻⵜⵜⵛⴰ ⵢⵎⵎⴰ-ⵛ, ⵡⴰⵅⵅⴰ ⴷ ⴰⵔⵎⴰⵚ",كل ما أكلته والدتك ولو رغلا ملحيا.,"ttsh aynn tettsha ymma-sh, wakhkha d armaṣ","تتش اينن ت°تتشا يمما-ش, واخخا د ارماص","""Everything your mother ate, even if it was just salty bread."""
"ⵜⵜⵛ, ⵉⵍ ⵜⵜⵙⴰⵍ",كل ولا تسأل.,"ttsh, il ttsal","تتش, يل تتسال","""Eat and don't ask."""
ⵜⵜⵓⵖ ⵖⴰⵔ-ⵉ ⴱⴰⴱⴰ ⵎⴰⵛⴰ ⵢⵎⵎⵓⵜ,كان لي أب لكنه توفي.,ttugh ghar-i baba masha ymmut,تتوغ غار-ي بابا ماشا يمموت,"I had a father, but he passed away."
ⵜⵓⵊⵔ ⵍⵀⴹⵔⵜ ⵍⵅⴷⵎⵜ,تعدى الكلام العمل.,tujr lhḍrt lkhdmt,توجر لهضرت لخدمت,Words surpassed actions.
"ⵜⵓⵟⴰ ⵣⴳ ⵢⵉⵎⵉ, ⵜⵓⵙⵏ ⴷⴳ ⵢⵉⵙⵉ",سقطت من الفم وجاءت في الحضن.,"tuṭa zg yimi, tusn dg yisi","توطا زڭ ييمي, توسن دڭ ييسي","""It fell from the mouth and landed in the lap."""
"ⵜⵢⴰⵥⵉⵟⵜ ⵜⵙⵎⵎⵃ ⴷⴳ ⵢⵉⵅⴼ  ⵏⵏⵙ, ⵜⵖⵎⵎⵙ ⵉ ⵢⴼⵓⵍⵍⵓⵙⵏ ⵏⵏⵙ ⵙ  ⵡⴰⴼⵔⵉⵡⵏ ⵏⵏⵙ",الدجاجة تتخلى عن نفسها و تغطي كتاكيتها بجناحيها.,"tyaẓiṭt tsmmḥ dg yikhf  nns, tghmms i yfullusn nns s  wafriwn nns","تيازّيطت تسممح دڭ ييخف  ننس, تغممس ي يفوللوسن ننس س  وافريون ننس",The hen sacrifices herself and covers her chicks with her wings.
ⵜⵢⴰⵥⵉⵟⵜ ⵜⵙⵙⵉⵎⴰ ⵢⴼⵓⵍⵍⵓⵙⵏ ⵏⵏⵙ ⵖⵉⵔ ⵙ ⵡⴰⴼⵔⵉⵡⵏ,الدجاجة تربي فراخها فقط بالأجنحة.,tyaẓiṭt tssima yfullusn nns ghir s wafriwn,تيازّيطت تسسيما يفوللوسن ننس غير س وافريون,The hen raises her chicks only with her wings.
"ⵜⵢⴰⵥⵉⵟⵜ ⵜⵜⴰⵕⵡ, ⵢⴰⵥⵉⵟ ⵉⵜⵜⵇⵇⵙ ⴰⵙ ⵏⴰⵏⵏⴰ-ⵙ",الدجاجة تبيض والديك تؤلمه مؤخرته.,"tyaẓiṭt ttaṛw, yaẓiṭ ittqqs as nanna-s","تيازّيطت تتارو, يازّيط يتتققس اس ناننا-س",Translation Error
ⵜⵢⴰⵥⵉⵟⵜ ⵓⵔ ⵜⵜⵉⵕⵡ ⵣⵜⴰⵜ ⵎⵉⴷⴷⵏ,الدجاجة لا تبيض أمام الناس.,tyaẓiṭt ur ttiṛw ztat middn,تيازّيطت ور تتيرو زتات ميددن,The chicken does not lay eggs in front of people.
ⵜⵢ ⴷ ⴰⵟⵉⵍ ⵇⴱⵍ ⴰⵙⵎⵎⵓⵎ,أثمرت العنب قبل الحِصْرِم (العنب غير الناضج).,ty d aṭil qbl asmmum,تي د اطيل قبل اسمموم,The grapes ripened before the sour unripe grapes (ḥiṣrim).
"ⵜⵄⵢⵢⴱ ⵜⵕⴰⵜⵛⴰ ⵜⴰⵍⵍⵓⵏⵜ, ⵉⵟⵃⴽ ⵓⵎⵛⵍⵍⴻⵍ",عيبت الشبكة الغربال فضحكت السلة.,"t3yyb tṛatsha tallunt, iṭḥk umshllel","تعييب تراتشا تاللونت, يطحك ومشلل°ل","""The sieve criticized the net, so the basket laughed."""
"ⵟⴰⵕ ⴷⵉ ⴷⴷⵓⵏⵛⵜ, ⵟⴰⵕ ⴷⵉ ⵍⴰⵅⵔⵜ",رجل في الدنيا ورجل في الآخرة.,"ṭaṛ di ddunsht, ṭaṛ di lakhrt","طار دي ددونشت, طار دي لاخرت","""A man in this world and a man in the Hereafter."""
ⵟⴼⵕ ⴰⵙⵖⵓⵏ ⴰⵍ ⵜⴰⴼⵜ ⵊⵉⵊ,اتبع الحبل حتى تجد الوتد.,ṭfṛ asghun al taft jij,طفر اسغون ال تافت جيج,Translation Error
ⵓⵔ ⴷ ⵉⵖⵎⵎⵢ ⵓⴳⵓⵔⵙⵍ ⴱⵍⴰ ⵡⵎⴰ-ⵙ,لا ينبت الفطر بدون أخيه.,ur d ighmmy ugursl bla wma-s,ور د يغممي وڭورسل بلا وما-س,Mushrooms do not grow without their brother.
"ⵓⵔ ⴷⵊⵉⵏ ⵉⵎⵣⵡⵓⵔⴰ, ⴰⵢⵏⵏ ⵖⴰ ⵢⵏⵉⵏ ⵉⵏⴳⴳⵓⵔⴰ",لم يترك السابقون ما سيقوله اللاحقون.,"ur djin imzwura, aynn gha ynin inggura","ور دجين يمزوورا, اينن غا ينين ينڭڭورا",The predecessors did not leave anything for the successors to say.
ⵓⵔ ⵉⵍⵍⵉ ⴷⴷⵅⵅⴰⵏ ⴱⵍⴰ ⵜⵉⵎⵙⵙⵉ,لا يوجد دخان بدون نار.,ur illi ddkhkhan bla timssi,ور يللي ددخخان بلا تيمسسي,There is no smoke without fire.
ⵓⵔ ⵉⵍⵍⵉ ⵡⴱⵔⵉⴷ ⴱⵍⴰ ⵢⴰⵥⵕⵓ,لا يوجد طريق بدون حجر.,ur illi wbrid bla yaẓṛu,ور يللي وبريد بلا يازّرو,There is no road without a stone.
ⵓⵔ ⵉⵙⵙⵉⵏ ⵎⴰⵢⵏ ⵉⵍⵍⴰⵏ ⴷⵉ ⵜⵎⵣⵉⵜ ⵖⵉⵔ ⵡⵏⵏ ⵉⵉⵙ ⵉⵜⵜⵎⴼⵜⴰⵏ,لا يعرف ما بداخل المزود إلا من يضرب به.,ur issin mayn illan di tmzit ghir wnn iis ittmftan,ور يسسين ماين يللان دي تمزيت غير ونن ييس يتتمفتان,"""Only the one who strikes with the pouch knows what is inside it."""
ⵓⵔ ⵉⵙⵙⵓⵙⵓⵎ ⵖⵉⵔ ⵡⵏⵏ ⵉⵎⵎⵓⵜⵏ,لا يسكت إلا الميت.,ur issusum ghir wnn immutn,ور يسسوسوم غير ونن يمموتن,"""Only the dead remain silent."""
ⵓⵔ ⵉⵙⵙⵄⵇⵉⴷ ⵜⵉⵎⵙⵙⵉ ⵖⵉⵔ ⵜⵉⵎⵙⵙⵉ,لا يشعل النار إلا النار.,ur iss3qid timssi ghir timssi,ور يسسعقيد تيمسسي غير تيمسسي,"""Only fire ignites fire."""
ⵓⵔ ⵉⵙⵡⵉ ⵢⴰⵢⵏⵏ ⵉⵙⵡⴰ ⵍⵇⵏⴷⵉⵍ ⴰⵎⵎⴰⵙ ⵏ ⵡⴰⵙⵙ,لا يساوي ما يساويه القنديل وسط النهار.,ur iswi yaynn iswa lqndil ammas n wass,ور يسوي ياينن يسوا لقنديل امماس ن واسس,It does not equal what a lantern equals in the middle of the day.
ⵓⵔ ⵉⵜⵜⴽⴽⵙ ⵕⴱⴱⵉ ⵎⵓⵛⵛ ⵉ ⵢⵖⵔⴹⴰⵢⵏ,لا تزل يارب القط للفئران.,ur ittkks ṛbbi mushsh i yghrḍayn,ور يتتككس رببي موشش ي يغرضاين,"""Lord, do not give the cat to the mice."""
ⵓⵔ ⵉⵜⵜⵛⵉⵕⵉ ⵊⵊⵓⴼ ⵏ ⴱⵏⴰⴷⵎ ⵖⵉⵔ ⵛⴰⵍ,لا يملأ جوف الإنسان إلا التراب.,ur ittshiṛi jjuf n bnadm ghir shal,ور يتتشيري ججوف ن بنادم غير شال,"""Nothing fills the human's insatiable desire except dust."""
"ⵓⵔ ⵏⵔⴱⵉⵃ ⵏⵜⵜⵥⴰⵍⵍⴰ, ⵓⴷⵊ ⵏⴷⴷⵊⴰⵍⵍⴰ",لم نربح نصلي وبالأحرى نقسم.,"ur nrbiḥ nttẓalla, udj nddjalla","ور نربيح نتتزّاللا, ودج نددجاللا","We did not win; we pray, or rather, we swear."
"ⵓⵔ ⵏⵜⵜⵉⵜⵙ ⵖⵔ ⵡⵊⴷⵉⵔ, ⵓⵔ ⴷ ⵅⴰⴼ-ⵏⵖ ⵉⵜⵜⵓⵟⵉ",لن نقترب من الجرف حتى لا يقع علينا.,"ur nttits ghr wjdir, ur d khaf-ngh ittuṭi","ور نتتيتس غر وجدير, ور د خاف-نغ يتتوطي",We will not approach the edge so it does not collapse on us.
ⵓⵔ ⵜⵜ ⵉⵜⴻⵜⵜ ⵓⵇⵣⵉⵏ ⴰⵍ ⵜⵜ ⵉⵙⵙⵔⵏⵓⵏⵏⵙ,لا يأكلها الكلب حتى يمرغها.,ur tt itett uqzin al tt issrnunns,ور تت يت°تت وقزين ال تت يسسرنوننس,The dog won't eat it until it rolls it around.
ⵓⵔ ⵜⵜⵉⵡⵉⵢⵜ ⵣⵣⵉ ⴷⴷⵓⵏⵛⵜ ⵖⵉⵔ ⵛⴱⵔ,لن تأخذ من الدنيا إلا شبر.,ur ttiwiyt zzi ddunsht ghir shbr,ور تتيوييت ززي ددونشت غير شبر,"""You will take nothing from this world except a small measure."""
"ⵓⵛⵛⵏ ⵉⵎⵛ ⵓⵔ ⵉⵡⵡⵉⵟ ⴰⵟⵉⵍ, ⵉⵜⵜⵉⵏⵉ ⵢⴰⵙ: ⵉⵙⵎⵎⴻⵎ",الذئب عندما لا يصل العنب يقول عنه: حامض.,"ushshn imsh ur iwwiṭ aṭil, ittini yas: ismmem","وششن يمش ور يوويط اطيل, يتتيني ياس: يسمم°م","The wolf, when it cannot reach the grapes, says they are sour."
ⵓⵛⵛⵏ ⵜⵜⴽⴽ ⵅⴰⴼ-ⵙ ⵉⵛⵜ ⵏ ⵍⵎⵕⵕⵜ,الذئب يعاني مرة واحدة.,ushshn ttkk khaf-s isht n lmṛṛt,وششن تتكك خاف-س يشت ن لمررت,The wolf suffers only once.
"ⵓⵜⵜⵛⵓ ⵣⴳ ⵓⵊⴷⵉⵔ, ⵜⵉⵙⴻⵙⵙⵉⵜ ⵣⴳ ⵓⵖⴷⵉⵔ",الأكل من الجرف والشرب من الغدير.,"uttshu zg ujdir, tisessit zg ughdir","وتتشو زڭ وجدير, تيس°سسيت زڭ وغدير",Eating from the cliff and drinking from the stream.
"ⵡⴰⵅⵅⴰ ⵍⵍⵓⵥⵏ ⵉⵊⵓⴷⴰⵔ, ⵓⵔ ⵍⵇⵇⵟⵏ ⵉⵃⵛⵍⴰⴼⵏ",ولو جاعت العقبان لن تلتقط الأعشاب الميتة أو الجافة.,"wakhkha lluẓn ijudar, ur lqqṭn iḥshlafn","واخخا للوزّن يجودار, ور لققطن يحشلافن","Even if the eagles go hungry, they will not pick at dead or dry grass."
"ⵡⵉ ⵛⵎ ⵉⵛⴽⵔⵏ ⴰ ⵜⴰⵙⵍⵉⵜ, ⵢⵎⵎⴰ ⴷ ⵅⴰⵍⵜⵉ",من أثنى عليك يا عروس، أمي وخالتي.,"wi shm ishkrn a taslit, ymma d khalti","وي شم يشكرن ا تاسليت, يمما د خالتي","""Who praised you, oh bride? My mother and my aunt."""
ⵡⵉ ⵜⵜ ⵖⴰ ⵢⴰⵡⵢⵏ ⴷⴰⴳ-ⵎ ⴰ ⵜⴰⴱⵚⵍⵜ ⵖⵉⵔ ⴰⴷ ⵜⵉⵍⵉ ⵜⴰⵎⴻⵎⵜ,من سيكترث بك يا بصلة عند وجود العسل.,wi tt gha yawyn dag-m a tabṣlt ghir ad tili tamemt,وي تت غا ياوين داڭ-م ا تابصلت غير اد تيلي تام°مت,"""Who would care about you, O onion, when there is honey?"""
ⵡⵉ ⵜⵜ ⵖⴰ ⵢⴰⵡⵢⵏ ⴷⴰⴳ- ⵎ ⴰ ⵜⴰⵃⵔⵉⵔⵜ ⵉⵟ ⵏ ⵍⵄⵉⴷ,من سيكترث بك يا حساء ليلة العيد.,wi tt gha yawyn dag- m a taḥrirt iṭ n l3id,وي تت غا ياوين داڭ- م ا تاحريرت يط ن لعيد,"Who will care about you, oh soup of the festive night?"
"ⵡⵏⵏ ⵖⴰ ⵢⵎⵎⵜⵏ ⵉⵍⵍⴰ, ⵡⵏⵏ ⵖⴰ ⵢⵏⵖⵏ ⵓⵔ ⵉⵍⵍⵉ",من سيموت موجود ومن سيقتل غير موجود.,"wnn gha ymmtn illa, wnn gha ynghn ur illi","ونن غا يممتن يللا, ونن غا ينغن ور يللي","""The one who will die exists, and the one who will kill does not exist."""
"ⵡⵏⵏ ⵖⵔ ⵍⵍⴰⵏⵜ ⵢⵙⵙⵉⵙ, ⵄⵎⴷⴰ ⵅⵅⵙ",من له بنات ويل له.,"wnn ghr llant yssis, 3mda khkhs","ونن غر للانت يسسيس, عمدا خخس","""Whoever has daughters, woe to him."""
ⵡⵏⵏ ⵉⵙⵖⵉⵏ ⴰⵡⵙⵙⴰⵔ ⵉⴷⴳⴳⵯⵍ ⵖⵔ ⵙⵙⵓⵇ ⴰⵣⵜⵛⴰ ⵢⵏ,من اشترى الهرم يرجع إلى السوق في الغد.,wnn isghin awssar idggⵯl ghr ssuq aztsha yn,ونن يسغين اوسسار يدڭڭⵯل غر سسوق ازتشا ين,The one who bought the pyramid will return to the market tomorrow.
"ⵡⵏⵏ ⵉⵜⵜⴳⴳⵯⴷⵏ, ⵓⵔ ⵅⴰⴼ-ⵙ ⵜⴻⵜⵜⵔⵓ ⵢⵎⵎⴰ-ⵙ",الذي يخاف لن تبكي عليه أمه.,"wnn ittggⵯdn, ur khaf-s tettru ymma-s","ونن يتتڭڭⵯدن, ور خاف-س ت°تترو يمما-س",He who is afraid will not be mourned by his mother.
"ⵡⵏⵏ ⵉⵜⵜⵛⴰ ⵡⵙⵓⴼ, ⵉⵎⵄⵄⵏ ⴷⵉ ⵜⵣⴳⴳⵯⴰⵔⵜ",من جرفه النهر يمسك بشجرة السدر.,"wnn ittsha wsuf, im33n di tzggⵯart","ونن يتتشا وسوف, يمععن دي تزڭڭⵯارت","""Whoever is swept away by the river clings to the sidr tree."""
"ⵡⵏⵏ ⵉⵜⵜⵛⵉⵏ ⵍⵃⵇⵇ ⵏⵏⵙ, ⵢⵓⴷⵔ ⵉ ⵜⵉⵟⵟⴰⵡⵉⵏ ⵏⵏⵙ",من أكل حقه، فليخفض عينيه.,"wnn ittshin lḥqq nns, yudr i tiṭṭawin nns","ونن يتتشين لحقق ننس, يودر ي تيططاوين ننس","""Whoever has been wronged, let them lower their gaze."""
"ⵡⵏⵏ ⵉⵜⵜ ⵉⵢⵢⵉⵏ ⵙ ⵓⴼⵓⵙ ⵏⵏⵙ, ⴰⴷ ⵜⵜ ⵉⴼⴽⴽ ⵙ ⵜⵖⵎⴰⵙ ⵏⵏⵙ",من فعلها بيده فليفكها بأسنانه.,"wnn itt iyyin s ufus nns, ad tt ifkk s tghmas nns","ونن يتت يييين س وفوس ننس, اد تت يفكك س تغماس ننس","""Whoever did it with their own hands must undo it with their teeth."""
"ⵡⵏⵏ ⵉⵜⵜⵄⴼⴼⴰⵏ, ⵓⵔ ⵉⵜⵜⴳⴳ ⵉⵖⵕⴹⴰⵏ",من يعيف لن يربي الأكتاف.,"wnn itt3ffan, ur ittgg ighṛḍan","ونن يتتعففان, ور يتتڭڭ يغرضان","""Whoever avoids effort will not build strength."""
"ⵡⵏⵏ ⵉⵟⴼⵕⵏ ⵜⵖⵟⵜ, ⴰⴷ ⵢⵓⵟⴰ ⵉ ⵡⵊⴷⵉⵔ",من تبع المعزة سيقع من الجرف.,"wnn iṭfṛn tghṭt, ad yuṭa i wjdir","ونن يطفرن تغطت, اد يوطا ي وجدير","""Whoever follows the goat will fall off the cliff."""
"ⵡⵏⵏ ⵉⵡⵜⴰ ⵡⴼⵓⵙ ⵏⵏⵙ, ⵓⵔ ⵉⵜⵜⵔⵓ",من صفعته يده لا يبكي.,"wnn iwta wfus nns, ur ittru","ونن يوتا وفوس ننس, ور يتترو","""He who is struck by his own hand does not cry."""
"ⵡⵏⵏ ⵉⵅⵙⵏ ⵜⴰⴼⵍⵍⴰⵃⵜ, ⴰⴷ ⵉⴱⵄⵄⴷ ⵜⴰⵎⵍⵍⴰⵃⵜ",من أراد الفلاحة فليبتعد عن التربة المالحة.,"wnn ikhsn tafllaḥt, ad ib33d tamllaḥt","ونن يخسن تافللاحت, اد يبععد تامللاحت","""Whoever seeks farming should stay away from salty soil."""
"ⵡⵏⵏ ⵉⵢⵢⵉⵏ ⵛⴰ, ⴰⴷ ⵜ ⵢⴰⴼ",من فعل شيئا، سيعثر عليه.,"wnn iyyin sha, ad t yaf","ونن يييين شا, اد ت ياف",Whoever does something will be held accountable for it.
ⵡⵏⵏ ⵉⵄⵍⴼⵏ ⵛⴰ ⵢⵏⴷⵀ ⵉ,من علف شيئا فليقده.,wnn i3lfn sha yndh i,ونن يعلفن شا ينده ي,"""Whoever feeds something, let them lead it."""
ⵡⵏⵏ ⵉⵄⵔⵔⵟⵏ ⵢⵍⵍⵉⵙ ⵙⴰⵔ ⵓⵔ ⵜⵎⵍⵉⵛ,من يعرض ابنته لن تتزوج.,wnn i3rrṭn yllis sar ur tmlish,ونن يعررطن يلليس سار ور تمليش,Translation Error
"ⵡⵏⵏ ⵙⵙⵜⵜⵛⴰⵏ ⵎⵉⴷⴷⵏ, ⵓⵔ ⵉⵛⴳⴳⵯⵉ",من يطعمه الناس لن يشبع.,"wnn ssttshan middn, ur ishggⵯi","ونن سستتشان ميددن, ور يشڭڭⵯي","""Whoever is fed by others will never be satisfied."""
"ⵡⵏⵏ ⵓⵎⵉ ⵢⵇⵇⵙ ⵓⵍⴼⵙⴰ, ⵉⵜⵜⴳⴳⵯⴷ ⵣⵣⵉ ⵜⵟⵔⵚⴰ",من لدغه الأفعوان يخاف من حبل الحلفاء.,"wnn umi yqqs ulfsa, ittggⵯd zzi tṭrṣa","ونن ومي يققس ولفسا, يتتڭڭⵯد ززي تطرصا","""Whoever has been bitten by a snake fears a piece of rope."""
"ⵡⵏⵏ ⵓⵔ ⵉⴽⴽⵉⵙⵏ ⵜⵉⵅⵜ ⵉ ⵢⵉⵅⴼ ⵏⵏⵙ, ⵓⵔ ⵜⵜ ⵉⵜⵜⴽⴽⵙ ⵉ ⵎⵉⴷⴷⵏ",من لم يزل الحرقة لنفسه لن يزيلها للناس.,"wnn ur ikkisn tikht i yikhf nns, ur tt ittkks i middn","ونن ور يككيسن تيخت ي ييخف ننس, ور تت يتتككس ي ميددن","""Whoever does not alleviate the pain for themselves will not alleviate it for others."""
ⵡⵏⵏ ⵓⵔ ⵉⵜⵜⵙⵜⵃⵉⵏ ⵉⵜⴻⵜⵜ ⴰⵍ ⵉⵛⵡⴰ,من لا يستحي يأكل حتى يشبع.,wnn ur ittstḥin itett al ishwa,ونن ور يتتستحين يت°تت ال يشوا,"""Whoever does not feel ashamed eats until they are full."""
"ⵡⵡⵜ ⴰⵎⵃⵔⴰⵙ, ⵜⵇⵇⵍⵜ ⵖⵔ ⵡⵓⴷⵎ ⵏ ⴱⴰⴱ ⵏⵏⵙ",اضرب الكلب وانظر في وجه صاحبه.,"wwt amḥras, tqqlt ghr wudm n bab nns","ووت امحراس, تققلت غر وودم ن باب ننس","""Hit the dog and look at its owner's face."""
"ⵢⵉⴼ ⵜⴰⵕⵡⴰ ⵏ ⵜⵎⴰⵍⵍⴰ, ⵡⴰⵍⴰ ⵜⴰⵕⵡⴰ ⵃⴰⵍⵍⴰ",ولادة اليمامة خير من الولادة الكثيرة.,"yif taṛwa n tmalla, wala taṛwa ḥalla","ييف تاروا ن تماللا, والا تاروا حاللا",The birth of a dove is better than many births.
ⵢⵓⴼⵉ ⵜⵜ ⵜⵡⵡⴰ ⵜⵄⴷⵍ,وجدها ناضجة ومعدة.,yufi tt twwa t3dl,يوفي تت تووا تعدل,He found it ripe and ready.
ⵢⵓⵊⵔ ⵍⵀⴹⵔⵜ ⴰⵏⵉⵙ ⴷ ⵜⴽⴽⴰ,تعدى الكلام من أين جاء.,yujr lhḍrt anis d tkka,يوجر لهضرت انيس د تككا,The words exceeded where they came from.
ⵢⵓⵍⵢ ⵓⵙⵓⴼ ⵅ ⵜⵔⴳⴰ,صعد النهر على الساقية.,yuly usuf kh trga,يولي وسوف خ ترڭا,He climbed the river onto the waterwheel.
ⵢⵓⵙⴷ ⵓⵎⴰⴷⵓⵏ ⵅ ⵓⵇⵏⵓⵛ,لاءم الكسكاس القدر.,yusd umadun kh uqnush,يوسد ومادون خ وقنوش,"""The colander fit the pot."""
ⵢⵓⵣⵢ ⵉⵜⵜ ⴰⵍ ⵜⵉⵖⵕⴹⵉⵏ ⵉⵇⴰⵍ ⵉⵜⵜ,سلخها إلى الكتفين وتركها.,yuzy itt al tighṛḍin iqal itt,يوزي يتت ال تيغرضين يقال يتت,He stripped it to the shoulders and left it.
ⵢⵢ ⵍⵅⵉⵔ ⵜⴻⵜⵜⵓⵜ ⵜ,افعل الخير وانسه.,yy lkhir tettut t,يي لخير ت°تتوت ت,Do good and forget about it.
"ⵣⵎⵓⵎⴳ ⵖⵔ ⵜⵎⵟⵟⵓⵟⵜ, ⵓⵔ ⵅⴰⴼ-ⵛ ⵜⵜⵔⵔⵉ ⵢⴰⵡⴰⵍ",ابتسم للمرأة ولن ترد عليك الكلام.,"zmumg ghr tmṭṭuṭt, ur khaf-sh ttrri yawal","زمومڭ غر تمططوطت, ور خاف-ش تترري ياوال","""Smile at the woman, and she will not respond to you."""
"ⵣⵣⵉⵏ ⵉⵍⵍⴰ ⵅ ⵓⵍⵉⵍⵉ, ⵓⵔ ⵅⴰⴼ-ⵙ ⵀⴷⴷⵉⵏⵜ ⵜⵣⵉⵣⵡⴰ, ⵓⵔ ⵜ ⵜⴻⵜⵜⵏ ⵉⵎⵓⵃⴰⵍ",الجمال على نبات الدفلى لن يجرس عليه النحل ولن تأكله الماشية.,"zzin illa kh ulili, ur khaf-s hddint tzizwa, ur t tettn imuḥal","ززين يللا خ وليلي, ور خاف-س هددينت تزيزوا, ور ت ت°تتن يموحال","The beauty of the oleander plant will not attract bees, nor will livestock eat it."
ⵄⴰⵢⵏ ⴰⵇⵎⵎⵓⵎ ⵏ ⵓⵍⵖⵎ ⴰⴷ ⵢⵓⵟⴰ,انتظر شفة الجمل لتسقط.,3ayn aqmmum n ulghm ad yuṭa,عاين اقمموم ن ولغم اد يوطا,"""Wait for the camel's lip to fall."""
