source_string,target_string,latin,arabic_script,english
"ⴰⴱⴷⴷⵉ ⵏ ⵍⵇⴱⵟⴰⵏ, ⵜⴰⵃⵔⴰⵢⵎⵉⵛⵜ ⵏ ⵛⵛⵉⵟⴰⵏ  -ⵜⴰⵃⵕⵓⵕⵜ",وقوف القبطان ومكر الشيطان!– الفلفلة.,"abddi n lqbṭan, taḥraymisht n shshiṭan  -taḥṛuṛt","ابددي ن لقبطان, تاحرايميشت ن ششيطان  -تاحرورت","""The captain's stance and the devil's cunning! – The chili pepper."""
"ⴰⴽⵉⴹⴰⵔ ⵉⵏⵓ ⵢⵖⵎⵙ ⴷⵉ ⵜⵎⵓⵔⵜ, ⵙⵙⴱⵉⴱ ⵏⵏⵙ ⵢⵓⵍⵢ ⴷⴳ ⵓⵊⵏⵏⴰ  -ⵜⴰⴱⵚⵍⵜ / ⵜⴰⵍⵉⴷⴰⵎⵜ",حصاني مغطى في الأرض وشعره طالع في السماء!– البصلة.,"akiḍar inu yghms di tmurt, ssbib nns yuly dg ujnna  -tabṣlt / talidamt","اكيضار ينو يغمس دي تمورت, سسبيب ننس يولي دڭ وجننا  -تابصلت / تاليدامت","""My horse is covered in the ground, and its hair reaches the sky! – The onion."""
ⴰⴽⵙⵓⵎ ⵉⵙⵙⵖⵎⴰⵢ ⵉⵙⵏⵏⴰⵏⵏ  -ⵉⵏⵙⵉ / ⴱⵓⵎⵃⵏⴷ,لحم ينبت الشوك!– القنفذ.,aksum issghmay isnnann  -insi / bumḥnd,اكسوم يسسغماي يسننانن  -ينسي / بومحند,"""Meat that grows thorns! – The hedgehog."""
"ⴰⵎⵣⵡⴰⵔ ⵏⵏⵙ ⴷ ⴰⵎⵍⵍⴰⵍ, ⴰⵖⵎⴰⵢ ⵏⵏⵙ ⴷ ⴰⵣⵉⵣⴰ, ⴰⵏⴳⴳⴰⵔ ⵏⵏⵙ ⴷ ⴰⵎⵍⵍⴰⵍ  -ⵉⵎⵏⴷⵉ",أوله أبيض وإنباته أخضر وآخره أبيض!– الشعير.,"amzwar nns d amllal, aghmay nns d aziza, anggar nns d amllal  -imndi","امزوار ننس د امللال, اغماي ننس د ازيزا, انڭڭار ننس د امللال  -يمندي","""Its beginning is white, its growth is green, and its end is white! – Barley."""
"ⴰⵎⵣⵡⴰⵔ ⵏⵏⵙ ⴷ ⴰⵎⵍⵍⴰⵍ, ⴰⵏⵎⵎⴰⵙ ⵏⵏⵙ ⴷ ⴰⵣⵉⵣⴰ, ⴰⵏⴳⴳⴰⵔ ⵏⵏⵙ ⴷ ⴰⴱⵔⵛⴰⵏ  -ⴰⵣⵛⵜⵓⵏ",أوله أبيض ووسطه أخضر وآخره أسود!– الزيتون.,"amzwar nns d amllal, anmmas nns d aziza, anggar nns d abrshan  -azshtun","امزوار ننس د امللال, انمماس ننس د ازيزا, انڭڭار ننس د ابرشان  -ازشتون","""Its beginning is white, its middle is green, and its end is black! – The olive."""
"ⴰⵏⵉⵙ ⵎⵎⴰ ⵜⴽⴽⴰ, ⵜⵙⵙⵟⴼⴰⵕ ⵉ ⴼⵓⵍⵍⵓⵙⵏ ⵏⵏⵙ  -ⵚⵚⵉⵏⵉⵢⴰ",أينما ذهبت تُتبع كتاكيتها!– الصينية.,"anis mma tkka, tssṭfaṛ i fullusn nns  -ṣṣiniya","انيس مما تككا, تسسطفار ي فوللوسن ننس  -صصينييا","""Wherever she goes, her chicks follow her! – Chinese."""
ⴰⵏⵉⵙ ⵎⵎⴰ ⵜⴽⴽⵉⵜ ⵜⵟⴼⵕ ⵉⵛ  -ⵜⵉⵍⵉ,أينما مررت يتبعك!– الظل.,anis mma tkkit tṭfṛ ish  -tili,انيس مما تككيت تطفر يش  -تيلي,"Wherever you go, it follows you! – The shadow."
"ⴰⵏⵉⵙ ⵎⵎⴰ ⵢⴽⴽⴰ, ⵉⴽⵙⵙⵉ ⵔⵔⵃⵉⵍ ⵏⵏⵙ  -ⴱⵓⵄⴱⵓⵄ",أينما مر يحمل متاعه!– الحلزون.,"anis mma ykka, ikssi rrḥil nns  -bu3bu3","انيس مما يككا, يكسسي ررحيل ننس  -بوعبوع","Wherever it goes, it carries its belongings! – The snail."
"ⴰⵏⵉⵙ ⵎⵎⴰ ⵢⴽⴽⴰ, ⵉⵙⵏⵏⴰⵏⵏ ⵅ ⵓⵙⵔⵓⴼ ⵏⵏⵙ  -ⵉⵏⵙⵉ / ⴱⵓⵎⵃⵏⴷ",أينما مر، الشوك على ظهره!– القنفذ.,"anis mma ykka, isnnann kh usruf nns  -insi / bumḥnd","انيس مما يككا, يسننانن خ وسروف ننس  -ينسي / بومحند","""Wherever it goes, thorns are on its back! – The hedgehog."""
"ⴰⵏⵓ ⵅ ⵡⴰⵏⵓ, ⴰⵎⴰⵏ ⵡⴰⵍⵓ  -ⵖⴰⵏⵉⵎ",بئر على بئر ولا وجود للماء!– القصبة.,"anu kh wanu, aman walu  -ghanim","انو خ وانو, امان والو  -غانيم","A well upon a well, yet no water exists! – The Kasbah."
"ⴰⵏⵥⴰⵕ ⵉⵜⵜⵛⴰⵜ, ⵜⵉⵛⵛⵡⵜ ⵜⵜⴰⵍⵢ  -ⵜⴰⵍⵍⵓⵏⵜ ⴷ ⵡⴰⵔⵏ",المطر يهطل والقمة ترتفع!– الغربال والدقيق.,"anẓaṛ ittshat, tishshwt ttaly  -tallunt d warn","انزّار يتتشات, تيششوت تتالي  -تاللونت د وارن","The rain falls, and the summit rises! – The sieve and the flour."
"ⴰⵔⴳⴰⵣ ⵓⵄⵡⵉⵊ, ⵖⴰⵔ-ⵙ ⵃⴰⵍⵍⴰ ⵏ ⵜⵖⵎⴰⵙ, ⵓⵔ ⵉⵜⵜⵉⵃⵍ ⵙ ⵢⵉⵟ ⵓⵍⴰ ⵙ ⵡⴰⵙⵙ  -ⴰⵎⵊⵔ",رجل مقوس لديه الكثير من الأسنان لا يتعب ليلا ولا نهارا!– المنجل.,"argaz u3wij, ghar-s ḥalla n tghmas, ur ittiḥl s yiṭ ula s wass  -amjr","ارڭاز وعويج, غار-س حاللا ن تغماس, ور يتتيحل س ييط ولا س واسس  -امجر",A curved man with many teeth who never tires day or night! – The sickle.
"ⴰⵙⵔⵓⴼ ⵏⵏⵙ ⵏ ⴹⴹⵓⴼⵜ, ⵜⴰⴷⵉⵙⵜ ⵏⵏⵙ ⴷ ⵢⵉⴼⵔⵉ, ⴰⵛⴼⴼⴰⵢ ⵏⵏⵙ ⵉⵜⵜⴽⴽⵙ ⵍⵀⵍⴰⵛ ⵣⵣⵉ ⴷⴷⵉⵙⵜ  -ⵜⵉⵅⵙⵉ",ظهرها من الصوف وبطنها كهف وحليبها يزيل المرض من البطن!– النعجة.,"asruf nns n ḍḍuft, tadist nns d yifri, ashffay nns ittkks lhlash zzi ddist  -tikhsi","اسروف ننس ن ضضوفت, تاديست ننس د ييفري, اشففاي ننس يتتككس لهلاش ززي دديست  -تيخسي","""Its back is wool, its belly is a cave, and its milk cures stomach ailments! – The sheep."""
"ⴰⵛⵔⵓⵙ ⵅ ⵓⵛⵔⵓⵙ, ⵉⵖⵏⴰⵏ ⵅ ⵢⵉⵅⴼ ⵏ ⵓⵛⵔⵓⵙ  -ⵜⵖⵉⵔⴷⵎⵜ",عقدة على عقدة والألم على رأس العقدة!– العقرب.,"ashrus kh ushrus, ighnan kh yikhf n ushrus  -tghirdmt","اشروس خ وشروس, يغنان خ ييخف ن وشروس  -تغيردمت","A knot upon a knot, and the pain atop the knot! – The Scorpion."
"ⴰⵜⵔⵔⴰⵙ  ⵉⵜⵜⵎⵜⵜⴰ, ⵉⵜⴷⵊⴰ  ⴷ  ⵢⵉⵃⵔⴰⵡⵏ  -ⵍⵇⴰⵍⴱ ⵏ ⵙⵙⴽⴽⵯⴰⵔ",يموت الرجل ويترك الملابس!– قالب السكر.,"atrras  ittmtta, itdja  d  yiḥrawn  -lqalb n sskkⵯar","اترراس  يتتمتتا, يتدجا  د  ييحراون  -لقالب ن سسككⵯار",The man dies and leaves behind his clothes! – A sugar mold.
"ⴰⵡⵍⵉⵡⵏ ⵉⵜⵜⵉⵏⵉ ⵜⵏ, ⴰⵙⵉⵡⵍ ⵓⵔ ⵉⵙⵙⵡⵉⵍ  -ⵙⵙⵜⵉⵍⵓ",التعابير يقولها والكلام لا يتكلم!– القلم الجاف.,"awliwn ittini tn, asiwl ur isswil  -sstilu","اوليون يتتيني تن, اسيول ور يسسويل  -سستيلو","""The expressions speak, but the words remain silent! – The ballpoint pen."""
"ⴰⵅⵔⴼⵉ ⵏ ⴱⴰⵔⵃⵔⴰⵃ, ⵉⴽⴽⴰ ⵢⴰⴷⵔⴰⵔ ⵉⵕⴰⵃ  -ⴰⵟⵓ","كبش ""برحراح"" مر من الجبل وراح!– الريح.","akhrfi n barḥraḥ, ikka yadrar iṛaḥ  -aṭu","اخرفي ن بارحراح, يككا يادرار يراح  -اطو","A ram named ""Barhrah"" passed by the mountain and went away! – The wind."
"ⴰⵅⵔⴼⵉ ⵢⴰⴱⵔⵛⴰⵏ ⵉⵙⵙⵎⵓⵏⵓ ⵜⴰⴹⵓⴼⵜ ⵏⵏⵙ, ⴰⵅⵔⴼⵉ ⵢⴰⵎⵍⵍⴰⵍ ⵉⵜⵜⵣⵍⵍⴰⵄ ⵜⴰⴹⵓⴼⵜ ⵏⵏⵙ  -ⵉⵟ ⴷ ⵡⴰⵙⵙ",الكبش الأسود يجمع صوفه والكبش الأبيض يلقي صوفه!– الليل والنهار.,"akhrfi yabrshan issmunu taḍuft nns, akhrfi yamllal ittzlla3 taḍuft nns  -iṭ d wass","اخرفي يابرشان يسسمونو تاضوفت ننس, اخرفي يامللال يتتزللاع تاضوفت ننس  -يط د واسس","The black ram gathers its wool, and the white ram sheds its wool! – Night and day."
"ⴰⵅⵔⴼⵉ ⵢⵏⵓ ⴷ ⴰⴼⵕⵟⴰⵙ, ⵉⵕⵥⵥⵎ ⵜⴰⵡⵡⵓⵔⵜ ⴰⵎ ⵏⵜⵜⴰ ⴰⵎ ⵓⵜⵔⵔⴰⵙ  -ⵜⵏⴰⵙⵜ",كبشي بدون قرون يفتح الباب كالرجل القوي!– المفتاح.,"akhrfi ynu d afṛṭas, iṛẓẓm tawwurt am ntta am utrras  -tnast","اخرفي ينو د افرطاس, يرزّزّم تاووورت ام نتتا ام وترراس  -تناست","""My ram without horns opens the door like a strong man! – The key."""
ⴰⵢⵏⵏ ⵜⵚⴱⵃⵜ ⴰ ⵢⴰⵖⵣⵣⴰⵍ ⴰ ⵎⵉⵍⵍⵉ ⵜⴻⵜⵜⵡⴰⴽⵙⵉⵜ  -ⴰⵍⴼⵙⴰ / ⵃⵉⵡⵛ,ما أجملك يا أيتها العصا لو تحملين!– الأفعوان.,aynn tṣbḥt a yaghzzal a milli tettwaksit  -alfsa / ḥiwsh,اينن تصبحت ا ياغززال ا ميللي ت°تتواكسيت  -الفسا / حيوش,"How beautiful you are, O stick, if only you could carry! – The serpent."
"ⴰⵢⵏⵏ ⵜⵓⵕⵡ ⵣⴳ ⵉⵃⵟⵉⵟⵏ, ⵜⵖⵎⵙ ⴰⵙⵏ ⵙ ⵉⵡⵔⵉⵇⵏ  -ⵜⴰⵅⵙⴰⵛⵜ",ما أنجبته من أطفال غطتهم بالأوراق!– اليقطينة.,"aynn tuṛw zg iḥṭiṭn, tghms asn s iwriqn  -takhsasht","اينن تورو زڭ يحطيطن, تغمس اسن س يوريقن  -تاخساشت","""The children I gave birth to, I covered them with leaves! – The pumpkin."""
"ⴰⵢⵏⵏ ⵜⵣⴳⵔⵜⵜ ⴰ ⵢⴰⴱⵔⵉⴷ, ⴰⵢⵏⵏ ⵜⵖⴰⵕⵎ ⴰ ⵢⵉⴽⵙⴰⵏ  -ⵙⵓⴼ",كلما طال الطريق كلما ركضت الخيول!– الواد.,"aynn tzgrtt a yabrid, aynn tghaṛm a yiksan  -suf","اينن تزڭرتت ا يابريد, اينن تغارم ا ييكسان  -سوف","""The longer the road, the more the horses run! – The Valley."""
"ⴰⵣⵍⵍⵉⴼ ⵏⵏⵙ ⴷⵉ ⵜⵎⵓⵔⵜ, ⵉⵟⴰⵕⵏ ⵏⵏⵙ ⴷⴳ ⵓⵊⵏⵏⴰ  -ⴰⴱⵕⵡⵉⵟ",رأسه في الأرض ورجلاه في السماء!– عربة اليد.,"azllif nns di tmurt, iṭaṛn nns dg ujnna  -abṛwiṭ","ازلليف ننس دي تمورت, يطارن ننس دڭ وجننا  -ابرويط","""His head is on the ground and his feet are in the sky! – The wheelbarrow."""
"ⴰⵄⴷⴷⵉⵙ ⵏ ⵓⴽⵛⵛⵓⵟ, ⴰⵙⵜⵜⴰⵡ ⵏ ⵍⵃⴷⵉⴷ, ⴰⵣⵍⵍⵉⴼ ⵏ ⵓⵛⴰⵍ ⵉⵜⴻⵜⵜ ⵜⴰⵜⵛⴰ  -ⵙⵙⴱⵙⵉ",بطن من خشب وحزام من حديد ورأس من تراب يأكل القش!– الغليون.,"a3ddis n ukshshuṭ, asttaw n lḥdid, azllif n ushal itett tatsha  -ssbsi","اعدديس ن وكششوط, استتاو ن لحديد, ازلليف ن وشال يت°تت تاتشا  -سسبسي","""A belly of wood, a belt of iron, and a head of clay that eats straw! – The pipe."""
"ⴱⴰⵇⵇⴰⵕ ⵉⵜⵜⴰⵢⵎ ⴰⵎⴰⵏ ⵉ ⴱⵔⵔⴰⵔⵊ, ⴱⵔⵔⴰⵔⵊ ⵉⴱⵟⵟⵓ ⵅ ⵡⴰⵕⴰ ⵏⵏⵙ  -ⴰⵖⵍⵍⴰⵢ ⴷ ⵓⴱⵔⵉⵇ ⴷ ⵍⴽⵉⵙⴰⵏ",يسقي الغراب الماء للقلاق، واللقلاق يوزع على صغاره!– الغلاية والإبريق والكؤوس.,"baqqaṛ ittaym aman i brrarj, brrarj ibṭṭu kh waṛa nns  -aghllay d ubriq d lkisan","باققار يتتايم امان ي بررارج, بررارج يبططو خ وارا ننس  -اغللاي د وبريق د لكيسان","The crow gives water to the stork, and the stork distributes it to its young ones! – The kettle, the jug, and the cups."
ⴷⴰⴷⴷⴰ ⴷ ⴰⵣⵉⵣⴰ ⵏ ⵓⵣⵍⵍⵉⴼ  -ⵍⵓⵇⵉⴷ,جدي أزرق الرأس!– عود الثقاب.,dadda d aziza n uzllif  -luqid,داددا د ازيزا ن وزلليف  -لوقيد,"""My grandpa has a blue head! – The matchstick."""
ⴷⴰⴷⴷⴰ ⴷ ⵓⴼⵜⵉⵃ ⵏ ⵢⵉⴷⵎⴰⵔⵏ  -ⵉⵔⴷⵏ,جدي مفتوح الصدر!– القمح.,dadda d uftiḥ n yidmarn  -irdn,داددا د وفتيح ن ييدمارن  -يردن,"""My grandfather is open-hearted! – The wheat."""
"ⴷⴰⴷⴷⴰ ⵢⵛⵟⵟⵃ, ⵏⴰⵏⵏⴰ ⵜⴱⴱⵓⵟⵟⵃ  -ⵜⴰⵍⵍⵓⵏⵜ ⴷ ⵜⵏⴷⵓⵜ",جدي يرقص وجدتي ممددة!– الغربال وسلة الدوم المنبسطة.,"dadda yshṭṭḥ, nanna tbbuṭṭḥ  -tallunt d tndut","داددا يشططح, ناننا تببوططح  -تاللونت د تندوت","My grandfather is dancing, and my grandmother is lying down! – The sieve and the flat doum basket."
ⴷⴰⴷⴷⴰ ⵢⵓⵢⵍ ⵣⵉ ⵜⴼⵔⵄⵉⵛⵜ  -ⴰⵣⵛⵜⵓⵏ,جدي معلق بغصين!– ثمرة الزيتون.,dadda yuyl zi tfr3isht  -azshtun,داددا يويل زي تفرعيشت  -ازشتون,"""My grandpa is hanging on a twig! – The olive fruit."""
"ⴷ ⴰⵎⵍⵍⴰⵍ ⴰⵎ ⴷⴷⵓⵏⵜ, ⴷ ⴰⴱⵔⵛⴰⵏ ⴰⵎ ⵜⴰⵍⵍⴰⵙⵜ, ⵉⵟⴰⵕⵏ ⵏⵏⵙ ⴰⵎ ⵓⵥⴹⵉ  -ⴱⵔⵔⴰⵔⵊ",أبيض كالشحم وأسود كالظلام ورجلاه كالمغزل!– اللقلاق.,"d amllal am ddunt, d abrshan am tallast, iṭaṛn nns am uẓḍi  -brrarj","د امللال ام ددونت, د ابرشان ام تاللاست, يطارن ننس ام وزّضي  -بررارج","""White as fat, black as darkness, and its legs like a spindle! – The stork."""
"ⴷ ⴰⵎⵍⵍⴰⵍ ⴰⵎ ⵓⴷⴼⵍ, ⵉⵙⴻⵙⵙ ⴰⵎ ⵢⵉⵣⵉⵎⵔ  -ⴰⵔⵛⵜⵉ",أبيض كالثلج ويشرب كالخروف!– العجين.,"d amllal am udfl, isess am yizimr  -arshti","د امللال ام ودفل, يس°سس ام ييزيمر  -ارشتي","""White as snow and drinks like a sheep! – Dough."""
"ⴷ ⴰⵎⵏⴰⵏⵏⴰⵟ ⴰⵎ ⵜⵇⵕⵉⵚⵜ, ⵉⵜⵜⵉⵏⵥⵉ ⵢⴰⵎ ⵜⵖⵟⵟ  -ⴰⵍⵍⵓⵏ",مدور كالخبزة ويصيت كالمعزاة!– الدف.,"d amnannaṭ am tqṛiṣt, ittinẓi yam tghṭṭ  -allun","د امنانناط ام تقريصت, يتتينزّي يام تغطط  -اللون","""Round like bread and bleats like a goat! – The drum."""
"ⴷ ⴰⵎⵏⴰⵏⵏⴰⵟ ⴷ ⴰⵣⴳⵔⴰⵔ, ⵉⵜⵜⵡⴰⴱⵟⵓ ⵅ ⵜⵍⴰⵜⴰ, ⵔⵔⴱⵃ ⵏⵏⵙ ⵖⵔ ⴷⴰⵜ  -ⵜⵜⵙⴱⵉⵃ",مدور وطويل، مقسم على ثلاثة، منفعته في المستقبل!– السبحة.,"d amnannaṭ d azgrar, ittwabṭu kh tlata, rrbḥ nns ghr dat  -ttsbiḥ","د امنانناط د ازڭرار, يتتوابطو خ تلاتا, رربح ننس غر دات  -تتسبيح","Round and long, divided into three, its benefit is in the future! – The prayer beads."
"ⴷ ⴰⵏⵄⵟⴰⵍⵍⴰⵎ ⴷ ⴰⴷⵔⵖⴰⵍ, ⵎⴰⵛⴰ ⵎⴰ ⵢⵎⵄⵏ ⵉⵛ ⵓⵔ ⴰⵛ ⵉⵕⵥⵥⵎ ⴰⵍ ⴷ ⵢⴰⵙ ⴱⴰⴱ ⵏⵏⵙ  -ⵜⴰⵅⵛⴱⵜ",معاق وأعمى إذا أمسك بك لن يطلقك حتى يأتي صاحبه!– الفخ.,"d an3ṭallam d adrghal, masha ma ym3n ish ur ash iṛẓẓm al d yas bab nns  -takhshbt","د انعطاللام د ادرغال, ماشا ما يمعن يش ور اش يرزّزّم ال د ياس باب ننس  -تاخشبت","""Disabled and blind, if it catches you, it won't let go until its owner comes! – The trap."""
"ⴷ ⴰⵡⵎⴰⵜⵏ, ⵎⴰⵛⴰ ⵓⵔ ⵜⵜⵎⵓⵏⵏ ⵅ ⵎⴰⵜⵜⵛⴰ (ⵓⵜⵜⵛⵓ)  -ⵉⵇⵣⵉⵏⵏ",إخوة ولا يجتمعون على طعام!– الكلاب.,"d awmatn, masha ur ttmunn kh mattsha (uttshu)  -iqzinn","د اوماتن, ماشا ور تتمونن خ ماتتشا (وتتشو)  -يقزينن","""Brothers who never gather over food! – Dogs."""
"ⴷⴳ ⵢⵉⵢⵢⵔ ⴷ ⴰⵣⵉⵣⴰ, ⴷⵉ ⵙⵙⵓⵇ ⴷ ⴰⴱⵔⵛⴰⵏ, ⴷⴳ ⵓⵅⵅⴰⵎ ⴷ ⴰⵣⴳⴳⵯⴰⵖ  -ⴰⵜⴰⵢ",في الحقل أخضر وفي السوق أسود وفي المنزل أحمر!– الشاي.,"dg yiyyr d aziza, di ssuq d abrshan, dg ukhkham d azggⵯagh  -atay","دڭ يييير د ازيزا, دي سسوق د ابرشان, دڭ وخخام د ازڭڭⵯاغ  -اتاي","In the field, it's green; in the market, it's black; and at home, it's red! – Tea."
"ⴷⵉ ⵜⵣⴳⵉ ⴷ ⴰⵣⵉⵣⴰ, ⴷⵉ ⵙⵙⵓⵇ ⴷ ⴰⴱⵔⵛⴰⵏ, ⴷⴳ ⵓⵅⵅⴰⵎ ⴷ ⴰⵣⴳⴳⵯⴰⵖ  -ⵍⴼⴰⵅⵔ",في الغابة أخضر وفي السوق أسود وفي المنزل أحمر!– الفحم.,"di tzgi d aziza, di ssuq d abrshan, dg ukhkham d azggⵯagh  -lfakhr","دي تزڭي د ازيزا, دي سسوق د ابرشان, دڭ وخخام د ازڭڭⵯاغ  -لفاخر","In the forest, it is green; in the market, it is black; and at home, it is red! – Charcoal."
"ⴼⵓⵙ ⵉⵏⵓ ⴷⴳ ⵓⴼⵓⵙ ⵏⵏⵙ, ⵉⵎⵉ ⵢⵏⵓ ⴷⴳ ⵢⵉⵎⵉ ⵏⵏⵙ, ⵜⵉⵟⵟⴰⵡ ⵉⵏⵓ ⴷⴳ ⵓⵄⴷⴷⵉⵙ ⵏⵏⵙ  -ⴰⵖⵕⵕⴰⴼ",يدي في يده وفمي في فمه وعيناي في بطنه!– الغراف.,"fus inu dg ufus nns, imi ynu dg yimi nns, tiṭṭaw inu dg u3ddis nns  -aghṛṛaf","فوس ينو دڭ وفوس ننس, يمي ينو دڭ ييمي ننس, تيططاو ينو دڭ وعدديس ننس  -اغرراف","""My hand is in his hand, my mouth is in his mouth, and my eyes are in his belly! – The pitcher."""
"ⴳⴳⴰⵔⵖ ⵜⵜ ⵣⵣⵉ ⵙⵙⵟⵃ, ⵓⵔ ⵜⵕⵥⵥⵉ  -ⵜⴰⴹⵓⴼⵜ",أرميها من السطح ولا تنكسر!– الصوف.,"ggargh tt zzi ssṭḥ, ur tṛẓẓi  -taḍuft","ڭڭارغ تت ززي سسطح, ور ترزّزّي  -تاضوفت",Throw it from the roof and it won't break! – Wool.
"ⵖⴰⵔⴼ ⵅ ⵓⵖⴰⵔⴼ ⵉⵍⵉⴷ ⴷ ⵜⴰⵙⵉⵔⵜ, ⵜⵉⵟⴰⵕⵉⵏ ⵜⴰⵣⵍⵍⵉⴼⵜ ⵉⵍⵉⴷ ⴷ ⵎⵓⵛⵛ -ⴰⴼⴽⵕⵓⵏ",حجر على حجر وليس برحى، أرجل ورأس وليس بقط!– السلحفاة.,"gharf kh ugharf ilid d tasirt, tiṭaṛin tazllift ilid d mushsh -afkṛun","غارف خ وغارف يليد د تاسيرت, تيطارين تازلليفت يليد د موشش -افكرون","""Stone upon stone, but not a millstone; legs and a head, but not a cat! – The turtle."""
