source_string,target_string,latin,arabic_script,english
"ⵜⴽⴽⵔⵏⴻⵏⵏⵉ ⵜⴱⴱⵔⵏⴻⵏⵏⵉ, ⵜⵓⵕⵡ ⵙⵡⴰⴷⴷⴰ ⵢ ⵜⵎⵓⵔⵜ  -ⴱⴰⵟⴰⵟⴰ",تلففت وانتفخت وأثمرت تحت الأرض! – البطاطس.,"tkkrnenni tbbrnenni, tuṛw swadda y tmurt  -baṭaṭa","تككرن°نني تببرن°نني, تورو سواددا ي تمورت  -باطاطا","It wrapped itself, swelled, and bore fruit underground! – The potato."
"ⵜⵍⴰⵜⴰ ⴱⴷⴷⵏ, ⵉⴷⵊ ⵉⵜⵜⵓⵔⴰⵔ ⵊⴰⵔ-ⴰⵙⵏ  -ⵉⵎⵙⵙⵏⴷⴰ ⴷ ⵜⴳⵛⵛⵓⵍⵜ",ثلاثة واقفون وواحد يلعب بينهم!– الأثافي والممخضة.,"tlata bddn, idj itturar jar-asn  -imssnda d tgshshult","تلاتا بددن, يدج يتتورار جار-اسن  -يمسسندا د تڭششولت","""Three standing and one playing among them! – The stones and the churn."""
"ⵜⵍⴰⵜⴰ ⵏ ⵢⵉⵡⴷⴰⵏ, ⴱⵓⵃⴷⵉⴷⴰ ⴷ ⵃⵎⴷ ⴷ ⵓⵔⴷⴷⴰⵃ  -ⵉⵏⵢⴰⵏ ⴷ ⵜⵎⵕⵎⵉⵟⵜ ⴷ ⵓⵖⵏⵊⴰ",ثلاثة أشخاص بوحديدة وأحمد والراقص!– حجر الموقد والطنجرة والمغرفة.,"tlata n yiwdan, buḥdida d ḥmd d urddaḥ  -inyan d tmṛmiṭt d ughnja","تلاتا ن ييودان, بوحديدا د حمد د وردداح  -ينيان د تمرميطت د وغنجا","Three people: Bouhidida, Ahmed, and the dancer! – The hearthstone, the pot, and the ladle."
"ⵜⵍⴰ ⵢⴰⵄⴷⴷⵉⵙ ⴷ ⵢⵉⵎⵉ, ⵎⴰⵛⴰ ⵓⵔ ⵖⴰⵔ-ⵙ ⵉⵚⵕⵎⴰⵏ  -ⵜⴰⵙⵔⴰⴼⵜ",لديها بطن وفم لكن ليس لها أمعاء!– المطمورة.,"tla ya3ddis d yimi, masha ur ghar-s iṣṛman  -tasraft","تلا ياعدديس د ييمي, ماشا ور غار-س يصرمان  -تاسرافت",It has a belly and a mouth but no intestines! – The well.
"ⵜⵏⵏ ⵖⵔ ⵓⵔ ⵍⵍⵉⵏ ⵉⵟⴰⵕⵏ ⵜⵓⵕⵡ ⵍⴰⵍⵍ ⵉⵟⴰⵕⵏ, ⵍⴰⵍⵍ ⵉⵟⴰⵕⵏ ⵜⵓⵕⵡ ⵜⵏⵏ ⵖⵔ ⵓⵔ ⵍⵍⵉⵏ ⵉⵟⴰⵕⵏ  -ⵜⵢⴰⵥⵉⵟⵜ ⴷ ⵜⵎⵍⵍⴰⵍⵜ",التي ليس لها أرجل أنجبت صاحبة الأرجل، وهذه الأخيرة أنجبت من ليس لها أرجل!– الدجاجة والبيضة.,"tnn ghr ur llin iṭaṛn tuṛw lall iṭaṛn, lall iṭaṛn tuṛw tnn ghr ur llin iṭaṛn  -tyaẓiṭt d tmllalt","تنن غر ور للين يطارن تورو لالل يطارن, لالل يطارن تورو تنن غر ور للين يطارن  -تيازّيطت د تمللالت","The one without legs gave birth to the one with legs, and the latter gave birth to the one without legs! – The chicken and the egg."
"ⵜⵕⵥⵥⵎ ⵢⵉⵛⵜ ⵏ ⵜⵙⴰⵄⵄⴰⵜ, ⵜⵜⵔⵔⴰ ⵍⴱⴷⴰ  -ⵜⴰⵎⵟⵍⵜ",يفتح ساعة ويغلق إلى الأبد!– القبر.,"tṛẓẓm yisht n tsa33at, ttrra lbda  -tamṭlt","ترزّزّم ييشت ن تساععات, تتررا لبدا  -تامطلت","""It opens for an hour and closes forever! – The grave."""
"ⵜⵙⵙⵖⵓⵢⵢ, ⵜⵇⵇⵏ ⵜⴰⵡⵡⵓⵔⵜ  -ⵜⴰⵅⵏⴰ",صرخت وأغلقت الباب!– المؤخرة.,"tssghuyy, tqqn tawwurt  -takhna","تسسغويي, تققن تاووورت  -تاخنا",She screamed and slammed the door shut! – The end.
"ⵜⵙⵙⵓ ⴱⵔⴷⵄ, ⵜⵖⵎⵙ ⴱⵔⴷⵄ, ⵜⵖⵔⴰ ⵕⴱⴱⵉ ⵣⴰⵢⴷ ⴱⵔⴷⵄ  -ⵜⴰⵍⵉⴷⴰⵎⵜ / ⵜⴰⴱⵚⵍⵜ",فرشت ووضعت بردعة، غطت ووضعت بردعة، ودعت ربي زد بردعة!– البصلة.,"tssu brd3, tghms brd3, tghra ṛbbi zayd brd3  -talidamt / tabṣlt","تسسو بردع, تغمس بردع, تغرا رببي زايد بردع  -تاليدامت / تابصلت","""I spread and laid a saddlecloth, covered and laid a saddlecloth, and prayed to my Lord: 'Add more saddlecloths!' – The Onion."""
ⵜⵜⴰⵕⵡ ⴰⵢⵏⵏ ⴷⴰⴳ-ⵙ ⵓⵔ ⵉⵔⵡⵉⵙⵏ  -ⵜⴰⵢⵎⴰⵔⵜ,تنجب ما لا يشبه فيها!– الفرس.,ttaṛw aynn dag-s ur irwisn  -taymart,تتارو اينن داڭ-س ور يرويسن  -تايمارت,Translation Error
"ⵜⵜⴻⵜⵜ ⵓⵔ ⵜⵛⴳⴳⵯⵉ, ⵎⴰ ⵜⵙⵡⴰ ⴰⴷ ⵜⵎⵎⵜ  -ⵜⵉⵎⵙⵙⵉ",تأكل ولا تشبع وإذا شربت تموت!– النار.,"ttett ur tshggⵯi, ma tswa ad tmmt  -timssi","تت°تت ور تشڭڭⵯي, ما تسوا اد تممت  -تيمسسي","It eats but never gets full, and if it drinks, it dies! – Fire."
"ⵜⵜⵉⵏⵉ ⵢⴰⵙ: ⵙⵣⵔⵢⵜ ⵉⵢⵉ ⵣⴳ ⵢⴰⵥⵉⵟⵏ, ⴰⵎⵎⴰ ⵢⵇⵣⵉⵏⵏ ⴰⴷ ⵣⵔⵢⵖ ⵉ ⵢⵉⵅⴼ ⵉⵏⵓ  -ⵜⵉⵛⵟⴼⵜ",تقول: مرروني من الدجاج أما الكلاب سأمر بمفردي!– النملة.,"ttini yas: szryt iyi zg yaẓiṭn, amma yqzinn ad zrygh i yikhf inu  -tishṭft","تتيني ياس: سزريت ييي زڭ يازّيطن, امما يقزينن اد زريغ ي ييخف ينو  -تيشطفت","She says: ""Let me pass through the chickens, but as for the dogs, I will pass on my own!"" – The ant."
"ⵜⵜⵉⵜⵛ ⵓⴷⵉ ⵢⵉ ⵡⵏⵏ ⵜⵓⴼⴰ, ⵓⴷⵊⵉ ⵜⵅⵉⵢⵢⵉⵕ  -ⵜⵖⵉⵔⴷⵎⵜ",تعطي السمن لأي شخص دون اختيار!– العقرب.,"ttitsh udi yi wnn tufa, udji tkhiyyiṛ  -tghirdmt","تتيتش ودي يي ونن توفا, ودجي تخيييير  -تغيردمت","""You give butter to anyone without selection! – The Scorpion."""
"ⵜⵜⵛⵉⵖ ⵓⵍ ⵏⵏⵙ, ⴷⵊⵉⵖ ⵉⵔⵎ ⵏⵏⵙ  -ⴰⵍⵡⵉⵣ",أكلتُ قلبها وتركت جلدها!– لوزة.,"ttshigh ul nns, djigh irm nns  -alwiz","تتشيغ ول ننس, دجيغ يرم ننس  -الويز","""I ate its core and left its skin! – A nut."""
"ⵜⵜⵛⵉⵖ ⵓⵍ ⵏⵏⵙ, ⴷⵊⵉⵖ ⵉⵔⵎ ⵏⵏⵙ  -ⵜⴰⴷⵊⵓⵣⵜ",أكلتُ قلبها وتركت جلدها!– جوزة.,"ttshigh ul nns, djigh irm nns  -tadjuzt","تتشيغ ول ننس, دجيغ يرم ننس  -تادجوزت","""I ate its core and left its skin! – A walnut."""
ⵜⵓⵍⵢ ⴰⴽⴷ ⵓⵖⵣⵔ ⵜⴼⵙⵙⵔ ⵉⵃⵔⴰⵡⵏ  -ⵜⴰⴳⵔⵏⵉⵏⵏⴰ,طلعت مع الوادي تنشر ملابسها!– نبتة حليب الشوك.,tuly akd ughzr tfssr iḥrawn  -tagrninna,تولي اكد وغزر تفسسر يحراون  -تاڭرنيننا,She went out with the valley to spread her clothes! – Milk thistle plant.
ⵜⵓⵍⵢ ⴰⴽⴷ ⵓⵖⵣⵔ ⵜⵙⵙⵍⵉⵍⵉⵡ  -ⵜⴰⴱⵔⵖⴳⴳⵯⴰⵍⵜ,طلعت مع الوادي تزغرد!– طائر مغرد صغير يشبه العصفور.,tuly akd ughzr tssliliw  -tabrghggⵯalt,تولي اكد وغزر تسسليليو  -تابرغڭڭⵯالت,"""She went out with the valley, singing joyfully! – A small songbird resembling a sparrow."""
"ⵜⵓⵍⵢ ⵖⵔ ⵓⴷⵔⴰⵔ, ⵜⵙⵙⵀⵏⵓⵏⵏⵉ ⴷ ⵜⵉⵛⵛⵉⵏ  -ⵜⴰⵎⵛⵟⵜ",صعدت إلى الجبل وأسقطت القمل!– المشط.,"tuly ghr udrar, tsshnunni d tishshin  -tamshṭt","تولي غر ودرار, تسسهنونني د تيششين  -تامشطت","""I climbed the mountain and removed the lice! – The comb."""
"ⵜⵓⵕⵡ ⵉⵜⵏ ⵜⵙⵙⵉⵎⴰ ⵜⵏ, ⵜⵢⴰ ⵊⴰⵔ-ⴰⵙⵏ ⵍⵉⵥⴰⵕ  -ⵜⴰⵕⵎⵎⴰⵏⵜ",أثمرتهم وربتهم ووضعت بينهم إزارا!– الرمانة.,"tuṛw itn tssima tn, tya jar-asn liẓaṛ  -taṛmmant","تورو يتن تسسيما تن, تيا جار-اسن ليزّار  -تارممانت","""I bore them, nurtured them, and placed a veil between them! – The pomegranate."""
"ⵜⵓⵙⴷ ⵣⵣⵉ ⵙⵙⵓⴷⴰⵏ, ⵜⵉⵕⵟ ⵍⴽⵜⵜⴰⵏ  -ⵜⴱⵓⵍⴼⴰⴼⵜ",جاءت من السودان مرتدية الكتان!– قطعة كبد ملفوفة بالشحم.,"tusd zzi ssudan, tiṛṭ lkttan  -tbulfaft","توسد ززي سسودان, تيرط لكتتان  -تبولفافت",She came from Sudan wearing linen! – A piece of liver wrapped in fat.
"ⵜⵓⵜⴼ ⴰⵍⵉⵍⵉ, ⵓⵔ ⵜⵙⵙⵅⵔⵅⵛ  -ⵜⵣⵉⵔⵉ",دخل شجرة الدفلى ولم يحدث ضجيجا!– البدر.,"tutf alili, ur tsskhrkhsh  -tziri","توتف اليلي, ور تسسخرخش  -تزيري",He entered the oleander tree without making a noise! – Al-Badr.
"ⵜⵡⵡⵢ ⴰⵡⴰⵍ, ⵜⵙⵜⵃⴰ ⵓⵔ ⵜⵙⵙⵉⵡⵍ  -ⵜⴰⴱⵔⴰⵜ",أخذت الكلام وخجلت لم تتكلم!– الرسالة.,"twwy awal, tstḥa ur tssiwl  -tabrat","تووي اوال, تستحا ور تسسيول  -تابرات",She took the words and became shy; she did not speak! – The message.
ⵜⵡⵡⵟ ⵖⵔ ⵓⵙⵓⴼ ⵜⵙⵜⵃⴰ  -ⵍⴱⵍⵖⵜ,وصلت إلى النهر وخجلت!– البلغة.,twwṭ ghr usuf tstḥa  -lblght,تووط غر وسوف تستحا  -لبلغت,"""I reached the river and felt shy! – The sandals."""
"ⵜⵥⵕ ⵉⵢⵉ ⵥⵕⵉⵖ ⵜⵜ, ⵜⵄⵊⴱ ⵉⵢⵉ ⵙⵖⵉⵖ ⵜⵜ  -ⵜⵉⵙⵉⵜ",رأتني ورأيتها، أعجبتني فاشتريتها!– المرآة.,"tẓṛ iyi ẓṛigh tt, t3jb iyi sghigh tt  -tisit","تزّر ييي زّريغ تت, تعجب ييي سغيغ تت  -تيسيت","She saw me, and I saw her. I liked her, so I bought her! – The mirror."
ⵜⵥⵡⴰ ⵙⵓⴼ ⵓⵔ ⵜⵓⴼ  -ⵜⵉⵍⵉ,عبر الوادي ولم يغرق!– الظل.,tẓwa suf ur tuf  -tili,تزّوا سوف ور توف  -تيلي,He crossed the valley and did not drown! – The shadow.
ⵜⵥⵡⴰ ⵙⵓⴼ  ⵡⴰⵍⵓ ⵖⴰⵔ-ⵙ ⵜⵉⵍⵉ  -ⵜⵉⵍⵉⵍⵡⵜ,عبرت النهر بدون ظل!– الزغرودة.,tẓwa suf  walu ghar-s tili  -tililwt,تزّوا سوف  والو غار-س تيلي  -تيليلوت,"""I crossed the river without a shadow! – The ululation."""
"ⵜⵥⵡⴰ ⵢⴰⵖⵣⵔ, ⵜⴳⴳⵓⵔ ⵜⵙⵙⵍⵉⵍⵉⵡ  -ⵜⴰⵅⴼⵉⴼⵜ",عبرت الوادي تمشي وتزغرد!– الرصاصة.,"tẓwa yaghzr, tggur tssliliw  -takhfift","تزّوا ياغزر, تڭڭور تسسليليو  -تاخفيفت","""She crossed the valley walking and ululating! – The bullet."""
"ⵜⵥⵥⵍ ⵜⴱⵓⵥⵥⵍ, ⵜⵓⵕⵡ ⵜⴰⵢⵏⴷⵓⵣⵜ  -ⵜⴰⵅⵙⴰⵛⵜ",استلقت وتمددت ووضعت عجلة!– القرعة.,"tẓẓl tbuẓẓl, tuṛw taynduzt  -takhsasht","تزّزّل تبوزّزّل, تورو تايندوزت  -تاخساشت","She lay down, stretched out, and put the wheel! – The lottery."
"ⵟⵟⴳⴳ ⴷⴰ, ⵟⵟⴳⴳ ⴷⵉⵀⴰ, ⵟⵟⴳⴳ ⴰⵡⵔⵏ ⵉ ⵍⴱⵃⵕ  -ⴰⵙⵙⴰⵎⵏ",لمع هنا ولمع هناك ولمع وراء البحر!– البرق.,"ṭṭgg da, ṭṭgg diha, ṭṭgg awrn i lbḥṛ  -assamn","ططڭڭ دا, ططڭڭ ديها, ططڭڭ اورن ي لبحر  -اسسامن","""It flashed here, it flashed there, and it flashed beyond the sea! – The lightning."""
"ⵓⴷⵎ ⵏⵏⵙ ⴷ ⵓⴷⵎ ⵏ ⵙⵙⵍⵟⴰⵏ, ⵍⴼⵄⴰⵢⵍ ⴷ ⵍⴼⵄⴰⵢⵍ ⵏ ⵛⵛⵉⵟⴰⵏ -ⵜⴰⵃⵕⵓⵕⵜ",وجهه وجه السلطان وأفعاله أفعال الشيطان!– الفلفلة.,"udm nns d udm n sslṭan, lf3ayl d lf3ayl n shshiṭan -taḥṛuṛt","ودم ننس د ودم ن سسلطان, لفعايل د لفعايل ن ششيطان -تاحرورت","""His face is that of a sultan, but his actions are those of the devil!"" – Al-Falfala."
ⵓⵃⵍⵖ  ⵜⵜⴽⴱⴱⵉⵖ  ⴷⴰⴳ-ⵙ ⵜⴰⴳⴳ  ⴰⴷ  ⵜⵛⵡⴰ  -ⵜⴰⵙⵉⵔⵜ,تعبتُ من الصب فيها ورفضت الشبع!– المطحنة / الرحى.,uḥlgh  ttkbbigh  dag-s tagg  ad  tshwa  -tasirt,وحلغ  تتكببيغ  داڭ-س تاڭڭ  اد  تشوا  -تاسيرت,"""I grew tired of pouring into it and refused to be satisfied! – The millstone/grinder."""
ⵓⵍⵍⵉ ⵢⵏⵓ ⴷⵔⵙⵏⵜ ⵙ ⵓⴼⵉⵍⵓ ⵢⴰⵣⴳⴳⵯⴰⵖ  -ⵜⵉⵖⵎⴰⵙ,نعاجي مرصوفة بخيط أحمر!– الأسنان.,ulli ynu drsnt s ufilu yazggⵯagh  -tighmas,وللي ينو درسنت س وفيلو يازڭڭⵯاغ  -تيغماس,"""My sheep are lined with a red thread! – The teeth."""
ⵓⵔ ⵉⵙⵙⵉⵡⵉⵍ ⵖⵉⵔ ⵙ ⵓⵄⵎⵓⴷ  -ⵟⵟⴱⵍ,لا يتكلم إلا بالعصا!– الطبل.,ur issiwil ghir s u3mud  -ṭṭbl,ور يسسيويل غير س وعمود  -ططبل,"""He speaks only with the stick! – The drum."""
ⵓⵔ ⵉⵜⴻⵜⵜ ⴰⵍ ⵢⵉⵍⵉ ⵢⴳⴳⵓⵔ  -ⵍⵎⵏⵛⴰⵔ,لا يأكل إلا عندما يسير!– المنشار.,ur itett al yili yggur  -lmnshar,ور يت°تت ال ييلي يڭڭور  -لمنشار,"""He only eats while moving! – The saw."""
"ⵓⵜⴼⵖ ⴰⵅⵅⴰⵎ ⵓⴼⵉⵖ ⵜ ⵉⵜⵜⵛⵓⵕ ⵙ ⵡⴰⴷⴰⵏ, ⵓⵔ ⵓⴼⵉⵖ ⵎⴰⵢⵏ ⵜⵜⵛⵉⵖ  -ⵓⵍⵎⴰⵏ",دخلت المنزل ووجدته ممتلئا بالأمعاء ولم أجد ما آكله!– خيوط الصوف المغزولة.,"utfgh akhkham ufigh t ittshuṛ s wadan, ur ufigh mayn ttshigh  -ulman","وتفغ اخخام وفيغ ت يتتشور س وادان, ور وفيغ ماين تتشيغ  -ولمان",Translation Error
"ⵢⴰⵥⵉⵟ ⵉⵏⵓ ⵢⴽⴽⴰⵍ ⵉⵀⴷⴷⴰ, ⵉⴷⴳⴳⵯⵍ ⴷ ⵙ ⵢⵉⵎⵉ ⵏⵏⵙ ⴷ ⴰⵣⵉⵣⴰ  -ⴰⵎⵊⵔ",ديكي يمضي يومه في الرعي ويعود بفمه أخضرا!– المنجل.,"yaẓiṭ inu ykkal ihdda, idggⵯl d s yimi nns d aziza  -amjr","يازّيط ينو يككال يهددا, يدڭڭⵯل د س ييمي ننس د ازيزا  -امجر","""He spends his day grazing and returns with his mouth green! – The sickle."""
"ⵢⵉⵕⵟ ⴰⵕⵕⵓⵟ ⴰⵎⵍⵍⴰⵍ, ⵉⵜⵜⵡⴰⵄⵕⵟ, ⵉⵕⴰⵃ ⵓⵔ ⴷ ⵉⴷⵡⵉⵍ  -ⴰⵎⵜⵜⵉⵏ",لبس لباسا أبيضا ودعي وذهب ولم يعد!– الميت.,"yiṛṭ aṛṛuṭ amllal, ittwa3ṛṭ, iṛaḥ ur d idwil  -amttin","ييرط ارروط امللال, يتتواعرط, يراح ور د يدويل  -امتتين","He wore white clothing, was prayed for, and left, never to return! – The deceased."
"ⵢⵉⵕⵟ ⴰⵢⵏⵏ ⵓⵔ ⵉⵍⵉ, ⵉⴼⴼⵖ ⵓⵔ ⴷ ⵉⴷⵡⵉⵍ  -ⴰⵎⵜⵜⵉⵏ",لبس ما لا يملك وخرج ولم يعد!– الميت.,"yiṛṭ aynn ur ili, iffgh ur d idwil  -amttin","ييرط اينن ور يلي, يففغ ور د يدويل  -امتتين","""Wore what he did not own and left, never to return! – The deceased."""
"ⵢⵉⵕⵟ ⵉⵙⵙⵎⵉⵕⵟ, ⴰⵎⵎⴰⵙ ⵏⵏⵙ ⴷ ⵓⵔⵖ  -ⴰⴹⵕⴰ",لبس وتلبس وسطه ذهب! – الذرة.,"yiṛṭ issmiṛṭ, ammas nns d urgh  -aḍṛa","ييرط يسسميرط, امماس ننس د ورغ  -اضرا","""Wears and is adorned with gold at its core! – The atom."""
ⵢⵉⵕⵟ ⵜⴰⵊⵍⵍⴰⴱⵜ ⵜⴰⵎⵍⵍⴰⵍⵜ ⴷ ⵓⵀⴷⴷⵓⵏ ⴰⵣⵉⵣⴰ  -ⵍⵇⴰⵍⴱ ⵏ ⵙⵙⴽⴽⵯⴰⵔ,لبس الجلباب الأبيض والبرنس الأزرق!– قالب السكر.,yiṛṭ tajllabt tamllalt d uhddun aziza  -lqalb n sskkⵯar,ييرط تاجللابت تامللالت د وهددون ازيزا  -لقالب ن سسككⵯار,He wore the white robe and the blue cloak! – The sugarloaf.
"ⵢⵓⵍⵢ ⵢⴰⴷ ⵉⵡⴷⴷⵏ, ⵉⵙⵙⵎⵓⵏⵙⵓ ⵎⵉⴷⴷⵏ  -ⵎⴰⴷⵓⵏ",صعد كي يؤذن فعشى الناس!– الكسكاس.,"yuly yad iwddn, issmunsu middn  -madun","يولي ياد يوددن, يسسمونسو ميددن  -مادون","He climbed up to call for prayer, but he blinded the people! – Al-Kaskas."
ⵢⵓⵙⴷ ⵖⴰⵔⵏⵖ ⵓⵏⵓⵊⵉ ⵣⵣⵉ ⵜⵎⵓⵔⵜ ⵓⵔ ⴷⴰⴳ-ⵙ ⵛⴰⵍ -ⴰⵃⵟⵉⵟ,جاء إلينا ضيف من بلاد ليس فيها تراب!– المولود الجديد.,yusd gharngh unuji zzi tmurt ur dag-s shal -aḥṭiṭ,يوسد غارنغ ونوجي ززي تمورت ور داڭ-س شال -احطيط,A guest came to us from a land with no dust! – The newborn.
"ⵢⵓⵙⴷ ⵙⵙⵢⴰ, ⵢⵓⵙⴷ ⵙⵙⵉⵀⴰ, ⵎⵍⴰⴳⴰⵏ ⴷⴳ ⵡⴰⵎⵎⴰⵙ  -ⵉⴱⵔⴷⴰⵏ",جاء من هنا وجاء من هناك والتقوا في الوسط!– الطرق.,"yusd ssya, yusd ssiha, mlagan dg wammas  -ibrdan","يوسد سسيا, يوسد سسيها, ملاڭان دڭ وامماس  -يبردان","He came from here, and he came from there, and they met in the middle! – The roads."
"ⵢⵓⵟⴰ ⴷ ⵣⴳ ⵓⵊⴷⵉⵔ ⵓⵔ ⵉⵎⵎⵓⵜ, ⵉⵙⵙⵉⵖ ⴰⵎⴰⵏ ⵉⵎⵎⵓⵜ  -ⴰⵙⴼⵟ",سقط من الجرف ولم يمت وعندما لمس الماء مات!– المشعل.,"yuṭa d zg ujdir ur immut, issigh aman immut  -asfṭ","يوطا د زڭ وجدير ور يمموت, يسسيغ امان يمموت  -اسفط","He fell off the cliff and didn’t die, but when he touched the water, he died! – The torch."
"ⵢⵓⵟⴰ ⴷ ⵣⴳ ⵓⵊⵏⵏⴰ, ⵓⵔ ⵉⵕⵕⵉⵥ  -ⵍⴽⴰⵖⵉⵟ",سقط من الأعلى ولم يكسر!– الورق.,"yuṭa d zg ujnna, ur iṛṛiẓ  -lkaghiṭ","يوطا د زڭ وجننا, ور يرريزّ  -لكاغيط",It fell from above and did not break! – Paper.
"ⵣⵉⵛ ⵜⴳⴳⵓⵔ ⵣⵜⴰⵜ-ⵉ, ⵜⴰⵎⴷⴷⵉⵜ ⵜⴳⴳⵓⵔ ⵣⴷⴼⴼⵔ-ⵉ  -ⵜⵉⵍⵉ",صباحا يمشي أمامي ومساء يمشي ورائي!– الظل.,"zish tggur ztat-i, tamddit tggur zdffr-i  -tili","زيش تڭڭور زتات-ي, تامدديت تڭڭور زدففر-ي  -تيلي","""In the morning, it walks ahead of me, and in the evening, it walks behind me! – The shadow."""
"ⵥⵕⵉⵖ ⵜⵜ ⵜⵥⵕ ⵉⵢⵉ, ⵜⵏⵟⵡ ⴷ ⵅⴰⴼ-ⵉ ⵜⵙⵙⴼⵊⵄ ⵉⵢⵉ  -ⵜⵉⵙⵉⵜ",رأيتها ورأتني، قفزت علي وأخافتني!– المرآة.,"ẓṛigh tt tẓṛ iyi, tnṭw d khaf-i tssfj3 iyi  -tisit","زّريغ تت تزّر ييي, تنطو د خاف-ي تسسفجع ييي  -تيسيت","I saw it, and it saw me; it jumped at me and scared me! – The mirror."
"ⵄⵎⵎⵉ ⴱⵍⴱⵓⴼ, ⵉⵏⵙⵙ ⴱⵕⵕⴰ ⵓⵔ ⵉⵜⵜⵓⴼ  -ⴰⴼⵏⵢⴰⵕ ⵓⵍⵓⵎ","عمي ""بلبوف"" يبيت في العراء ولا يتبلل!– كومة تبن.","3mmi blbuf, inss bṛṛa ur ittuf  -afnyaṛ ulum","عممي بلبوف, ينسس بررا ور يتتوف  -افنيار ولوم","""My uncle 'Balbof' sleeps out in the open and doesn't get wet! – A pile of hay."""
