Tamazight_Tifinagh,Tamazight_Arabic,Tamazight_Latin,Arabic Standard,English_Sentence
ⴰⵢⴷⵉ,ايدي,aydi,كلب,dog
ⴰⵢⴷⵉ,ايدي,aidi,كلب,dog
ⴰⵎⵛⵉⵛ,امشيش,amchich,قط,cat
ⴰⵎⵛⵉⵛ,امشيش,amshish,قط,cat
ⴰⵎⵛⵉⵛ,امشيش,amxix,قط,cat
ⴰⵎⵓⵛ,اموش,amoch,قط,cat
ⴰⵎⵓⵛ,اموش,amosh,قط,cat
ⴰⵎⵓⵛ,اموش,amox,قط,cat
ⴰⵎⴰⵛⵛⵓ,اماشّو,amacho,قط,cat
ⴰⵎⴰⵛⵛⵓ,اماشّو,amasho,قط,cat
ⴰⵖⵉⵢⵓⵍ,اغيول,aghiole,حمار,donkey
ⴰⵎⴷⵖ,امدغ,amdgh,زرافة,giraffe
ⴰⴳⵔⵣⴰⵎ,اكرزام,agrzam,اسد,lion
ⴰⴳⵔⵣⴰⵎ,اغرزام,agrzam,اسد,lion
ⴰⴳⵔⵣⴰⵎ,اڭرزام,agrzam,اسد,lion
ⴰⴼⵓⵍⵍⵓⵙ,افولوس,afullus,ديك,cock
ⴰⴼⵓⵍⵍⵓⵙ,افولّوس,afullus,ديك,cock
ⴰⵢⴰⵥⵉⴹ,ايازيد,ayazid,ديك,cock
ⴰⵎⵓⵊⵊⵓⴹ,امجّود,amjjod,ديك,cock
ⴰⴽⵓⵊⵊⵓⴹ,اكجّود,akjjod,ديك,cock
ⴰⵄⵜⵜⵓⴳ,اعتّوڭ,a3ttog,ديك,cock
ⴰⵄⵜⵜⵓⴳ,اعتّوڭ,a3ttug,ديك,cock
ⴰⵄⵜⵜⵓⴳ,اعتّوك,a3ttog,ديك,cock
ⵜⴰⴼⵓⵍⵍⵓⵙⵜ,تفولّوست,tafullust,دجاجة,chicken
ⵜⴰⵎⵍⴰⵍⵜ,تاملالت,tamlalt,غزالة,gazelle
ⵜⴰⵥⵏⴽⵯⴹⵜ,تازنكت,taznkdt,غزالة,gazelle
ⵜⵉⵖⵉⴷⵜ ⵏ ⵓⵣⴰⵖⴰⵔ,تيغيدت ن اوزاغار,tighidt n uzaghar,غزالة,gazelle
ⴰⵥⵏⴽⵯⴹ,ازنكد,aznkd,غزالة,gazelle
ⴰⵎⵍⴰⵍ,املال,amlal,غزالة,gazelle
ⵉⵣⵎ,ايزم,izm,نمر,tiger
ⴰⴽⵙⵉⵍ,اكسيل,aksil,نمر,tiger
ⴰⵖⵍⵢⴰⵙ,اغلياس,aghlyas,نمر,tiger
ⴰⵖⵉⵍⴰⵙ,اغيلاس,aghilas,نمر,tiger
ⵉⴼⵉⵙ,ايفيس,ifis,ضبع,hyena
ⵎⵊⵖⵢⵓⵍ,مجغيول,mjghyul,ضبع,hyena
ⵜⴰⵣⵓⵔⵉ,تازوري,tazuri,ضبع,hyena
ⴰⵔⵉⴷⴰⵍ,اريدال,aridal,ضبع,hyena
ⵜⵓⵔⵙⵔⴰ,تورسرا,tursra,ضبع,hyena
ⵜⵓⵄⵔⴰ,توعرا,tu3ra,ضبع,hyena
ⵉⵙⵍⵎⴰⵏ,ايسلمان,islman,حوت,fish
ⵜⵉⵣⵎⴽⵜ,تيزمكت,tismkt,حوت,fish
ⵜⵉⵣⵎⴳⵜ,تيزمڭت,tizmgt,حوت,fish
ⵜⴰⵡⵟⵟⵓⴼⵜ,تاوطّوفت,tawttuft,نملة,ant
ⵜⵓⴹⴼⵉⵜ,توضفيت,tudfit,نملة,ant
ⵜⵓⵟⵟⴼⵉⵜ,توطّفيت,tuttfit,نملة,ant
ⵜⵓⵟⴼⵉⵜ,توطفيت,tutfit,نملة,ant
ⵜⴰⴽⵟⵟⵓⴼⵜ,توطفيت,takttuft,نملة,ant
ⴰⵡⵟⵟⵓⴼ,اوطّوف,awttuf,نملة,ant
ⴱⵓⵜⴳⵔⴰ,بوتڭرا,butgra,سلحفاة,turtle
ⵉⴼⴽⵔ,ايفكر,ifkr,سلحفاة,turtle
ⴰⵇⵔⴱⴰⴱ,اقرباب,aqrbab,سلحفاة,turtle
ⵜⵉⴽⴼⵔⵜ,تيكفرت,tikfrt,سلحفاة,turtle
ⵉⴽⴼⵔ,ايكفر,ikfr,سلحفاة,turtle
ⴰⵖⵍⴰⵍ,اغلال,aghlal,حلزون,snail
ⴰⵛⴱⴱⵔⵖⵍⴰⵍ,اكبّرغلال,acbbrghlal,حلزون,snail
ⴰⵊⵖⵓⵍ,اجغول,ajghul,حلزون,snail
ⴰⴱⵄⴱⵓⵄ,ابعبوع,ab3bu3,حلزون,snail
ⴰⴱⵓⵊⵖⵍⴰⵍ,ابوجغلال,abujghlal,حلزون,snail
ⴰⴱⵓⵖⵍⴰⵍ,ابوغلال,abughlal,حلزون,snail
ⴰⴱⵔⵖⵍⴰⵍ,ابرغلال,abrghlal,حلزون,snail
ⴰⵙⵔⴷⵓⵏ,اسردون,asrdun,بغل,mule
ⴰⴳⵎⴰⵔ,اڭمار,agmar,حصان,horse
ⴰⵢⵢⵉⵙ,ايّيس,ayyis,حصان,horse
ⵉⵢⵢⵉⵙ,ايّيس,iyyis,حصان,horse
ⴰⴳⵯⵎⴰⵔ,اڭمار,agwmar,حصان,horse
ⴰⴽⵉⴹⴰⵕ,اكيدار,akidar,حصان,horse
ⵉⵣⵉⵎⵎⵔ,ايزيمّر,izimmr,خروف,sheep
ⴰⴱⵔⵇⵉ,ابرقي,abr9i,خروف,sheep
ⴰⵔⵔⴰⴳ,ارّاڭ,arrag,خروف,sheep
ⴰⵥⵕⵕⵉⴼ,ازرّيف,azrrif,خروف,sheep
ⵜⴰⵀⵔⵓⵢⵜ,تاهرويت,ta8ruyt,نعجة,sheep
ⵜⵉⵅⵙⵉ,تيخسي,ti5si,نعجة,sheep
ⵜⵉⵍⵉ,تيلي,tili,نعجة,sheep
ⵜⴰⵖⴰⴹⵜ,تاغادت,taghadt,معزة,goat
ⵜⴰⵖⵖⴰⴹⵜ,تاغّادت,taghghadt,معزة,goat
ⴰⵖⵓⵛⴰⴼ,اغوشاف,aghuchaf,تمساح,crocodile
ⴰⵖⵓⵛⴰⴼ,اغوشاف,aghushaf,تمساح,crocodile
ⵉⵍⵡ,الو,ilw,فيل,elephant
ⵉⵍⵓ,الو,ilu,فيل,elephant
ⴰⵖⵉ,اغي,aghi,عجل,calf
ⴰⵄⵍⵍⵓⵛ,اعلّوش,a3lluch,عجل,calf
ⴰⵄⵍⵍⵓⵛ,اعلّوش,a3llush,عجل,calf
ⴰⵖⵉⵢ,اغي,aghiy,عجل,calf
ⴰⴳⵏⴷⵓⵣ,اڭندوز,agnduz,عجل,calf
ⵓⵛⵛⵏ,اوشّن,ochchen,ذئب,wolf
ⵓⵛⵛⵏ,اوشّن,oshshen,ذئب,wolf
ⵜⵓⵛⵛⵏⵜ,توشّنت,touchent,ذئب,wolf
ⵜⵓⵛⵛⵏⵜ,توشّنت,toushent,ذئب,wolf
ⴰⵖⵏⵙⵉ,اغنسي,aghnsi,ذئب,wolf
ⴰⵙⵖⴷⴰ,اسغدي,asghdi,ذئب,wolf
ⵉⵍⴼ,ايلف,ilf,خنزير,pig
ⴰⵍⴰⴷⴰⵢ,الاداي,aladay,خنزير,pig
ⴱⵓⵜⴰⴳⴰⵏⵜ,بوتڭانت,butagant,خنزير,pig
ⴰⴱⵓⵍⵅⵉⵔ,ابولخير,abulkhir,خنزير,pig
ⴰⴱⵓⵍⵅⵉⵔ,ابولخير,abul5ir,خنزير,pig
ⴰⵎⵓⵏⵣⵉⵣ,امونزيز,amunziz,خنزير,pig
ⴰⴱⴰⵖⵓⵙ,اباغوس,abaghus,قرد,monkey
ⴰⵥⵄⴹⵓⴹ,ازعضوض,az3dud,قرد,monkey
ⵉⴱⴽⵉ,اِبكي,ibki,قرد,monkey
ⵉⴷⴷⵡ,ايدّو,iddw,قرد,monkey
ⴰⵣⵔⴷⵉ,ازردي,azrdi,جرذ,rat
ⴰⵍⴰⵎⴰ,الاما,alama,اللّاما,llama
ⴰⵔⵄⵎ,ارعم,ar3m,جمل,camel
ⴰⵔⵖⵎ,ارغم,arghm,جمل,camel
ⴰⵕⴰⵎ,ارام,aram,جمل,camel
ⴰⵣⵢⴰⵎ,ازيام,azyam,دلفين,dolphin
ⵜⴰⵡⵡⵄⴽⵜ,تاوّوكت,tawwukt,بومة,owl
ⵎⴳⴳⵯⴷ ⵉⵟⵟⵚ,مڭّد ايطّس,mggd itts,بومة,owl
ⵜⵉⵖⵡⵉⵜ,تيغويت,tighwit,بومة,owl
ⴰⴽⵄⴱ,اكعب,ak3b,ثعلب,fox
ⴰⴱⴰⵖⵓⵖ,اباغوغ,abaghugh,ثعلب,fox
ⵉⴽⵄⴱ,اِكعب,ik3b,ثعلب,fox
ⴱⴰⴽⴽⵏ,باكّْن,bakkn,ثعلب,fox
ⴰⴱⴰⵕⵕⴰⵢ,ابارّاي,abarray,ثعلب,fox
ⴰⵥⵉⴳⴹ,ازيڭد,azigd,ثعلب,fox
ⴰⴱⴰⵢⵕⵕⵓ,ابايرّو,abayrru,ثعلب,fox
ⴰⵔⵓⵃⵔⵓⵃ,اروحروح,aru7ru7,ثعلب,fox
ⴱⴰⵕⵕⵏ,بارّْن,barrn,ثعلب,fox
ⵜⴰⴼⵓⵏⴰⵙⵜ,تافوناست,tafunast,بقرة,cow
ⵜⴰⴽⵏⵟⵓⵕⵜ,تاكنطورت,taknturt,بقرة,cow
ⴰⴱⵓⴱⴱⴰⵣ,ابوبّاز,abubbaz,دبّ,bear
ⴰⵡⵜⵉⵍ,أوتيل,awtil,أرنب,rabbit
ⴰⵇⵏⵏⵉⵏ,أقنّين,a9nnin,أرنب,rabbit
ⴰⴳⵕⵥⵉⵥ,أڭرزيز,agrziz,أرنب,rabbit
ⴰⵡⵜⵓⵍ,أوتول,awtul,أرنب,rabbit
ⴰⵢⵕⵥⵉⵥ,أيرزيز,ayrziz,أرنب,rabbit
ⴰⵎⴰⵢⵍⴰⵍ,أمايلال,amaylal,طائر,bird
ⴰⴼⵔⴰⵔⴰⵢ,أفراراي,afraray,طائر,bird
ⵜⵓⴽⵔⵄⵔⵖ,توكرورغ,tukrurgh,طائر,bird
ⵉⵇⵊⴷⵔ,ايقجدر,i9jdr,سحلية,lizard
ⴰⵎⵃⴱⵉⵛ,أمحبيش,amhbich,سحلية,lizard
ⴰⵎⵃⴱⵉⵛ,أمحبيش,amhbish,سحلية,lizard
ⴰⵎⵉⵇⵇⵙ,أميقّس,ami9s,سحلية,lizard
ⴰⴽⵓ,أكو,aku,ببغاء,parrot
ⴰⴱⴰⵖⵍⵓ,أباغلو,abaghlu,ببغاء,parrot
ⴱⴰⴱⵖⵢⵢⵓ,بابغيّو,babghyyu,ببغاء,parrot
ⴰⵖⵔⴷⴰ,أغردا,aghrda,فأر,mouse
ⵜⴰⴼⵓⵍⵍⵓⵙⵜ ⵏ ⵡⴰⵎⴰⵏ,تفولّوست ن وامان,tafullust n w,بطّة,duck
ⴱⵉⴱⵉ,بيبي,bibi,ديك رومي,turkey
ⵜⵉⵣⵣⵡⵉⵜ,تيزّويت,tizzwit,نحلة,bee
ⴰⴳⴰⵢⵡⴰⵔ,أڭايوار,agaywar,غراب,crow
ⵜⴰⵜⴱⵉⵔ,تاتبيرت,tatbirt,حمامة,pigeon
ⴰⴱⵍⵍⴰⵔⵊ,أبلّارج,abllarj,لقلق,stork
ⴰⴱⵍⵍⵉⵔⵊ,أبلّيرج,abllirj,لقلق,stork
ⴰⵏⵃⵉⵍ,أنحيل,an7il,نعامة,ostrich
ⵜⴰⵏⵃⵉⵍⵜ,تانحيلت,tan7ilt,نعامة,ostrich
ⴰⵙⵢⴷ,أسيد,asyd,نعامة,ostrich
ⴰⵙⵉⴷ,أسيد,asid,نعامة,ostrich
ⴱⵄⵎⵃⵏⴷ,بومحند,bum7nd,قنفذ,hedgehog
ⵉⵏⵙⵉ,إنسي,insi,قنفذ,hedgehog
ⵉⵏⵉⴽⴼ,إنيكف,inikf,قنفذ,hedgehog
ⴰⴱⵍⵍⵕⵡⴰⴹ,أبلّرواض,abllrwad,خفّاش,bat
ⴰⴼⵔⵜⵟⵟⵓ,أفرتطّو,afrtttu,خفّاش,bat
ⴰⴳⵔⵓ,أڭرو,agru,ضفدع,frog
ⴰⵏⵥⵉⴹ,أنزيض,anzid,سنجاب,squirrel
ⴰⵀⵔⴰ,أهرا,a8ra,ثعبان,snake
ⴰⵍⴳⵎⴰⴹ,الڭماض,algmad,ثعبان,snake
ⴰⴱⵍⵉⵏⴽⴰ,أبلينكا,ablika,ثعبان,snake
ⴰⵣⴰⵢⵣ,أزايز,azayz,أُخطبوط,octopus
ⴰⵣⴰⵢⵣ,أزايز,azaiz,أُخطبوط,octopus
ⵉⵎⵙⴽⵔ,إيمسكر,imskr,قرش,shark
ⴰⵡⵇⵇⴰⵙ,أوقّاس,aw99as,قرش,shark
ⴰⵙⵡⵡⴰⵏ,أسوّان,aswwan,نسر,eagle
ⴰⴳⵔⵎⴰⵍ,اڭرمال,agrmal,نسر,eagle
ⴱⴰⵏⴳⵡⴰⵏ,بانڭوان,bangwan,بطريق,penguin
ⴰⴼⵔⵜⵍⵍⵉⵙ,أفرتلّيس,afrtllis,فراشة,butterfly
ⵉⴱⵔⴱⵍⵍⵓ,إبربلّو,ibrbllu,فراشة,butterfly
ⵉⴱⵔⴱⵉⵍⵍⵓ,إبربيلّو,ibrbillu,فراشة,butterfly
ⵜⴰⵃⵍⵉⵊⴰⵜ,تحليجات,ta7lijat,فراشة,butterfly
ⵜⴰⵡⵣⵏⴰⵡⴰⵣⵜ,تاوزناوازت,tawznawazt,فراشة,butterfly
ⴰⴼⵕⵟⴻⵟⵟⵓ,أفرططّو,afrtettu,فراشة,butterfly
ⴰⴱⵍⵓⵍⵍⵓ,أبلولّو,ablullu,فراشة,butterfly
ⵜⵉⴱⵔⴱⵉⵍⵍⵓⵜ,تيبربيلّوت,tibrbillut,فراشة,butterfly
ⴼⵕⵟⴰⵟⵟⵓ,فرطاطّو,frtattu,فراشة,butterfly
ⵜⴰⵢⵙⵉⵙⵓⵜ,تايسيسوت,taysisut,عنكبوت,spider
ⴰⵡⵍⵓⵍⵍⵉ,أولولّي,awlulli,عنكبوت,spider
ⴰⵡⵍⵉⵍⵍⵉ,أوليلّي,awlilli,عنكبوت,spider
ⵉⵙⵙⵉ,إسّي,issi,عنكبوت,spider
ⵜⴰⴱⵖⴰⵢⵏⵓⵙⵜ,تابغاينوست,tabghaynust,عنكبوت,spider
ⵉⵖⵔⴹⵎ,إغردم,ighrdm,عقرب,scorpion
ⵉⵖⵉⵕⴹⵎ,إغيردم,ighirdm,عقرب,scorpion
ⵉⵖⵉⵕⴷⵎ,إغيردم,ighirdm,عقرب,scorpion
ⵡⴰⴱⵉⴱⴰ,وابيبة,wabiba,ناموسة,mosquito
ⵉⵣⵉ,إزي,izi,ذبابة,fly
ⵉⵣⴰⵏ,إزان,izan,ذباب,flies
ⵜⴰⵎⵏⴰ,تامنا,tamna,ذباب,flies
ⴰⵣⵎⴰⵏ,أزمان,azman,جراد,grasshoppers
ⵜⴰⵎⵓⵔⵖⵜ,تامورغت,tamurght,جرادة,grasshopper
ⵜⴰⵎⵎⵓⵔⵖⵜ,تامّورغي,tammurghi,جراد,grasshoppers
ⵜⴰⵡⴽⴽⴰ,تاوكّا,tawkka,دودة,worm
ⵜⴰⵡⴽⴽⴰ,تاوكّا,tawkka,دود,worms
ⴰⵎⵓⴷⵔ,أمودر,amudr,حيوان,animal
ⴰⴱⵅⵅⵓⵛ,أبخّوش,ab55uch,حشرة,insect
ⴰⴱⵅⵅⵓⵛ,أبخّوش,ab55ush,حشرة,insect
ⴰⴱⵅⵅⵓⵢ,أبخّوي,ab55uy,حشرة,insect
ⵉⵎⵓⴷⴰⵔⵏ,إمودارن,imudarn,حيوانات,animals
ⵉⵎⵓⴷⴰⵔ,إمودار,imudar,حيوانات,animals
ⴰⴳⴹⵉⴹ,أڭضيض,agdid,عصفور,bird
ⴰⴼⵓⵏⴰⵙ,أفوناس,afunas,ثور,bull
ⴰⵣⴳⵔ,أزڭر,azgr,ثور,bull
ⴰⵡⵎⵎⴰⵜ,أومّات,awmmat,ثور,bull
ⵜⴰⵙⵍⵎⵜ,تسلمت,taslmt,سمكة,fish
ⴰⵏⵥⵉⴹ ⵏ ⵡⴰⵎⴰⵏ,أنزيض ن وامان,anzid n waman,قندس,beaver
ⴰⵇⵣⵉⵏ ⵏ ⵡⴰⵎⴰⵏ,أقزين ن وامان,a9zin n waman,قندس,beaver
ⴰⵛⵜⴰⵍ,أشتال,achtal,ماشية,cattle
ⴰⵛⵜⴰⵍ,أشتال,ashtal,ماشية,cattle
ⵜⴰⴼⵓⵍⵍⵓⵙⵜ ⵏ ⵡⴰⵎⴰⵏ,تفولّوست ن وامان,tafullust n waman,وزّةإ,goose
ⵜⴰⵢⵊⴰ,تايجا,tayja,طاووس,peafowl
ⴰⴼⵉⵖⵔ ⵏ ⵡⴰⵎⴰⵏ,أفيغر ن وامان,afighr n waman,ثعبان البحر,eel
ⴰⴼⵓⵇⴰ,أفوقا,afu9a,فقمة,seal
ⵉⴱⵏⴷⵔⵉ,إبندري,ibndri,صرصور,cockroach
ⴰⴱⴰⵍⴹⵕⵉⵡ,أبالضريو,abaldriw,صرصور,cockroach
ⵜⴰⴱⴰⵃⵛⵓⵛⵜ,تبحشوشت,tabahchucht,صرصور,cockroach
ⵜⴰⴱⴰⵃⵛⵓⵛⵜ,تبحشوشت,tabahshusht,صرصور,cockroach
ⴰⴱⴰⵏⴹⵕⵉⵡ,أبانضريو,abandriw,صرصور,cockroach
ⴰⴳⵍⴻⵍⵍⵓ,أڭللّو,aglellu,صرصور,cockroach
ⵜⵉⵍⴽⵉⵏ,تلكين,tilkin,قمل,louses
ⵉⵏⴼ,إنف,inf,منقار,beak
ⴰⵖⵏⵣⵓⵔ,أغنزور,aghnzur,منقار,beak
ⴰⵖⵏⴱⵓ,أغنبو,aghnbu,منقار,beak
ⴰⵖⵏⴱⵓⵣ,أغنبوز,aghnbuz,منقار,beak
ⴰⵇⵏⵇⵓⴱ,أقنقوب,a9n9ub,منقار,beak
ⴰⵇⵏⵇⵓⵎ,أقنقوم,a9n9um,منقار,beak
ⵉⴼⵔ,ايفر,ifr,جناح,wing
ⵜⴰⴼⵔⵜ,تافرت,tafrt,جناح,wing
ⵜⵉⴼⵔⵜ,تيفرت,tifrt,جناح,wing
ⵉⴼⵔ,ايفر,ifr,ريشة,feather
ⵜⵉⴼⵔⵜ,تيفرت,tifrt,ريشة,feather
ⵜⴰⴼⵔⵜ,تافرت,tafrt,ريشة,feather
ⵉⵊⵊⵉⵊ,ايجّيج,ijjij,ريشة,feather
ⴰⵔⴰⵎⵢⴰⵔ,اراميار,aramyar,وحش,beast
ⴰⵖⵥⵏ,اغزن,aghzn,وحش,beast
ⴰⵔⴳⵓ,ارڭو,argu,وحش,beast
ⵜⴰⵎⵥⴰ,تامزا,tamza,وحش,beast
ⵜⴰⵔⵉⵔ,تارير,tarir,وحش,beast
ⴰⵢⵢⵉⵙ ⵏ ⵡⴰⵎⴰⵏ,ايّيس ن وامان,ayyis n waman,فرس النهر,hippopotamus
ⴰⵣⵣⵎⵓⵔ,ازّمور,azzmur,فرس النهر,hippopotamus
ⴰⵣⵣⴰⵎⵓⵔ,ازّامور,azzamur,فرس النهر,hippopotamus
ⴰⵣⴰⵎⵓⵔ,ازامور,azamur,فرس النهر,hippopotamus
ⴰⴱⴰⵏⵖⵓ,ابانغو,abanghu,فرس النهر,hippopotamus
ⴰⵎⵖⵊⵓⴷ,امغجود,amghjod,حمار وحشي,zebra
ⴰⵣⵓⵍⵉⵍ,ازوليل,azulil,حمار وحشي,zebra
ⴰⵎⴰⵢⴰⵙ,امياس,amayas,فهد,leopard
ⴰⴳⵔⴰⵔ,اڭرار,agrar,فهد,leopard
ⴱⵄ ⵉⵣⴰⵏ,بو اِيزان,bu izan,هدهد,hoopoe
ⵉⴱⵉⴱⴹ,ايبيبد,ibibd,هدهد,hoopoe
ⵉⵛⵉⴷⵉ,ايشيدي,ichidi,هدهد,hoopoe
ⵉⵛⵉⴷⵉ,ايشيدي,ishidi,هدهد,hoopoe
ⵉⵛⵉⴱⵉⴱ,ايشيبيب,ichibib,هدهد,hoopoe
ⵉⵛⵉⴱⵉⴱ,ايشيبيب,ishibib,هدهد,hoopoe